time,dB(SPL)
39,80.50284
89,80.70139
139,79.24644
189,79.46348
239,80.95562
288,81.40297
338,80.78828
389,78.91528
438,77.80730
488,75.74921
538,75.64659
600,71.61394
638,75.24006
688,76.77950
738,75.79302
788,75.41998
838,73.93586
889,74.81515
939,76.03493
989,73.77196
1039,74.96531
1088,73.37889
1139,74.48716
1188,75.46988
1238,76.54868
1289,73.59945
1340,72.65319
1389,71.17177
1439,74.13094
1488,73.41605
1538,72.86313
1589,72.82353
1652,72.43391
1691,73.70229
1739,73.59401
1789,68.93695
1839,72.57187
1889,72.04771
1939,71.78782
1989,72.06505
2039,70.21626
2089,73.71483
2139,70.83408
2189,71.43883
2240,71.79676
2289,72.49595
2339,69.83284
2388,68.98339
2438,71.29095
2489,70.09214
2539,69.93306
2588,69.84123
2652,70.75638
2689,72.18548
2739,68.50742
2789,70.04308
2839,68.36603
2889,69.68600
2938,72.42768
2989,70.08398
3039,70.73369
3089,69.67175
3139,69.21495
3189,68.44194
3239,73.52655
3288,72.09100
3338,74.64627
3388,74.78036
3439,70.15172
3489,67.29852
3539,69.29277
3589,65.34813
3655,54.82303
3688,62.85404
3739,66.60015
3789,62.86654
3839,64.45953
3889,65.88491
3939,65.72014
3990,61.39336
4040,58.63932
4090,43.22736
4139,51.84354
4189,33.97940
4239,26.44439
4288,26.44439
4339,26.44439
4388,30.62958
4439,66.67700
4489,73.88684
4539,79.80056
4589,80.53557
4660,78.60981
4689,76.93416
4740,78.00625
4789,76.87711
4839,76.70366
4889,76.20599
4939,75.94951
4990,74.47568
5039,77.27359
5089,76.58993
5139,77.95364
5189,75.12054
5239,78.40455
5289,80.00781
5339,77.47455
5388,79.14736
5438,80.66928
5488,81.04156
5538,80.06318
5588,80.89158
5650,78.31327
5689,76.85718
5739,74.83878
5790,75.24757
5839,72.75780
5889,74.92490
5938,77.33874
5989,76.06094
6039,73.56126
6088,72.88877
6139,72.77777
6189,67.48397
6238,66.98166
6288,65.28218
6339,59.98261
6389,55.70660
6439,57.86414
6488,48.59505
6539,46.72919
6589,44.81098
6667,52.76979
6689,54.40319
6745,54.53454
6788,50.13010
6838,31.36403
6889,31.36403
6939,30.62958
6989,25.57507
7039,63.01513
7089,75.65805
7139,78.65353
7190,77.67550
7239,76.55255
7289,72.63293
7339,76.39877
7389,75.45377
7439,76.83345
7489,77.28666
7538,74.16672
7589,70.74378
7651,68.15801
7689,72.91827
7738,74.71357
7789,79.44683
7841,78.24976
7889,76.40009
7939,74.11385
7989,68.11376
8038,67.03979
8089,68.61440
8139,68.18852
8189,71.61622
8239,75.06093
8288,74.92178
8338,73.10661
8389,71.34994
8438,69.10908
8489,71.37811
8538,70.73622
8589,69.03266
8650,68.46164
8688,68.83704
8738,67.10903
8788,69.68600
8838,68.14782
8889,65.75603
8941,64.14191
8989,57.07396
9039,60.08643
9088,62.44432
9138,62.61311
9189,66.66895
9239,66.63664
9289,66.96610
9339,67.33219
9389,63.69950
9439,64.15269
9489,63.10064
9538,62.23869
9588,62.58090
9649,63.67109
9689,62.77237
9738,61.91036
9789,56.58608
9839,58.29744
9889,57.07396
9939,56.31155
9989,52.90845
10039,52.19189
10089,46.76913
10138,34.80725
10189,28.62728
10239,26.44439
10289,25.57507
10339,25.10545
10389,25.10545
10439,25.57507
10489,25.57507
10539,25.57507
10589,26.44439
10650,25.57507
10689,25.57507
10739,25.57507
10789,45.39026
10838,58.08349
10888,30.62958
10939,25.57507
10988,26.44439
11039,26.44439
11088,35.11750
11139,50.04854
11189,55.91760
11238,62.84153
11288,61.32652
11339,59.51782
11388,59.29462
11438,62.94115
11488,63.51603
11539,62.23197
11590,61.22151
11651,62.21852
11689,63.10672
11739,62.19157
11789,58.53713
11838,59.22842
11889,50.47493
11938,59.95646
11988,64.77597
12038,54.37003
12088,52.23447
12139,52.50625
12189,43.91799
12239,39.55447
12289,56.66294
12339,53.06425
12389,57.46641
12438,61.65571
12488,63.01513
12538,63.94009
12588,55.37276
12638,59.69954
12701,58.43373
12739,53.21731
12789,41.93820
12839,50.52679
12889,58.79039
12939,63.34044
12989,62.09657
13039,63.59678
13088,61.83334
13138,60.31558
13188,51.43418
13238,53.42346
13288,53.16023
13338,50.13010
13388,45.00840
13439,59.65447
13489,61.67722
13539,50.65509
13589,35.11750
13640,55.32826
13701,51.05336
13739,30.62958
13793,46.64877
13838,47.92399
13889,36.39088
13939,57.90845
13990,60.40723
14039,61.37114
14088,62.69629
14138,63.91799
14188,63.00899
14238,63.48120
14289,64.15807
14338,61.43028
14389,47.81870
14439,42.92256
14489,45.00840
14539,30.37028
14588,25.10545
14639,25.57507
14689,35.41704
14751,25.10545
14792,25.57507
14838,25.57507
14889,25.57507
14939,25.57507
14989,25.57507
15039,26.44439
15089,26.44439
15139,25.57507
15189,26.84845
15239,28.29947
15288,48.39911
15338,60.44857
15388,67.72284
15440,70.19211
15489,63.92352
15539,66.97777
15589,63.85692
15639,65.80515
15689,65.80069
15751,82.06170
15789,69.28084
15839,68.45180
15889,65.07645
15939,65.69313
15989,64.57314
16039,67.44719
16089,63.55073
16142,62.83526
16190,64.01701
16239,68.28944
16288,69.04493
16339,70.17598
16389,69.07554
16438,64.61919
16488,63.55650
16539,64.28097
16589,64.23842
16639,65.60246
16688,64.73578
16749,64.49584
16789,62.45742
16838,59.18083
16889,65.23952
16939,66.01191
16989,67.58974
17039,66.23084
17089,66.40293
17139,66.23084
17189,65.97270
17240,64.12572
17289,63.11886
17338,65.03276
17389,64.92505
17439,63.60825
17488,57.81959
17539,64.49066
17589,65.08613
17639,63.00284
17689,65.73811
17759,65.20620
17788,62.71537
17838,60.70859
17888,55.28352
17940,61.38596
17989,63.89029
18039,63.79542
18089,66.92706
18139,65.63884
18189,67.68707
18239,67.07063
18289,71.05336
18347,71.68889
18391,69.72578
18439,65.61612
18489,72.06938
18539,74.42137
18589,64.73578
18639,70.76393
18688,70.94811
18752,69.85521
18808,71.26487
18839,69.17880
18889,69.29575
18939,69.45220
18989,69.29277
19039,70.77399
19089,69.95793
19139,69.72861
19189,72.18335
19239,71.50838
19288,70.13821
19339,70.11927
19389,69.90256
19438,74.70399
19489,72.06505
19539,74.57357
19589,75.36536
19639,67.29477
19689,79.07133
19750,88.13727
19789,73.61215
19839,73.25893
19888,68.23576
19939,66.89963
19989,67.91352
20039,68.57241
20089,68.93695
20139,70.48792
20189,63.55650
20239,70.94565
20288,70.65254
20339,69.26591
20390,70.39656
20439,68.47802
20488,64.92505
20542,69.94136
20589,63.50444
20639,71.58195
20689,72.21107
20739,72.61262
20800,71.23157
20839,66.92706
20889,68.78349
20939,70.22965
20989,67.20429
21039,69.06025
21089,65.44612
21139,62.52263
21190,51.19813
21240,56.28495
21290,72.63090
21339,72.73577
21389,73.29096
21439,75.55289
21489,72.18335
21539,70.71853
21588,64.84088
21639,57.38463
21689,72.80565
21738,73.23057
21800,70.42538
21839,73.98982
21889,72.02599
21939,70.16790
21989,67.21187
22039,70.76393
22089,80.14215
22139,79.66892
22188,75.50638
22239,72.62482
22289,73.17167
22339,72.22809
22388,70.86397
22439,73.79683
22489,76.22211
22539,73.89912
22589,78.60981
22639,76.82969
22688,75.79302
22738,74.89837
22802,76.25426
22839,77.64024
22888,73.52838
22938,74.43127
22989,74.17352
23038,81.25465
23089,77.00680
23141,79.57912
23189,78.30800
23239,75.72082
23290,76.37112
23339,77.61856
23389,76.23016
23439,77.56699
23489,79.32753
23539,78.64542
23589,78.79538
23639,77.74784
23689,72.69760
23739,74.50189
23802,77.34346
23839,75.74779
23889,73.11429
23939,72.01946
23989,70.62191
24039,70.32277
24089,75.87720
24139,75.66377
24189,79.74796
24239,89.45542
24289,84.06392
24340,89.74362
24390,88.45639
24439,71.13811
24488,74.57519
24538,77.04960
24589,73.70408
24639,78.24976
24689,84.47563
24740,88.97474
24789,76.87586
24850,73.11237
