time,x,y,z
9,1.85057,1.97551,9.39037
59,0.32603,1.07405,9.41939
109,1.31110,1.93512,9.77489
159,-0.12756,1.16768,8.73868
220,-0.13205,1.11082,10.03430
260,0.39844,1.86589,10.44379
310,0.16212,1.26274,9.86038
360,1.02258,1.82637,10.54774
410,3.24486,3.93134,9.04767
459,0.41980,0.63293,6.48518
509,-0.24828,-0.40346,12.73296
559,2.16951,2.59535,6.32037
612,0.65186,1.20908,9.29369
659,0.47818,0.25523,9.37946
709,1.08264,0.55327,10.43860
760,1.33833,0.33989,10.04933
809,1.55658,0.56898,9.57484
859,2.67397,0.89548,10.65033
910,1.44904,0.46059,10.19781
960,1.36240,0.53162,9.67027
1010,1.32472,0.30962,10.44724
1059,1.48355,0.59250,9.87953
1110,1.54999,0.59340,9.67227
1160,0.61794,0.90105,10.09354
1221,0.73137,0.51131,8.50818
1260,1.25302,0.73639,10.85188
1311,-0.22141,0.87465,9.39500
1360,1.27556,0.71907,9.82724
1410,0.31377,1.28784,10.47566
1460,0.28622,0.66701,9.19870
1510,0.58890,1.64507,9.69716
1560,0.09499,1.22371,10.33366
1610,0.13197,1.39818,9.08379
1660,0.01834,1.25748,9.93144
1710,-0.01704,1.11258,9.75479
1760,-0.14590,1.14740,9.90460
1809,-0.15588,1.26288,9.78099
1860,0.05833,1.18448,9.82954
1910,-0.08372,1.19618,9.90324
1959,-0.06070,1.26776,9.97292
2009,0.05376,1.25664,9.72957
2060,0.12445,1.39810,9.79053
2110,0.10545,1.33548,9.68517
2160,0.06238,1.34131,9.70503
2222,0.04507,1.31837,9.85272
2260,0.17235,1.41182,9.78815
2309,-0.00056,1.36490,9.70436
2360,0.13593,1.26379,9.75526
2409,0.36134,1.29414,9.53372
2460,0.33159,1.26068,9.82458
2510,0.32339,1.27011,9.74835
2560,0.37062,1.32806,9.78821
2610,0.26714,1.31184,9.83379
2660,0.39375,1.34642,9.66623
2712,0.46935,1.35400,9.71698
2759,0.26378,1.35901,9.93198
2809,0.46960,1.18376,9.67867
2859,0.40981,1.25862,9.81493
2910,0.36217,1.17339,9.81502
2960,0.15135,1.31683,9.70314
3010,0.28606,1.28575,9.61772
3060,0.20947,1.20523,9.73268
3109,0.25804,1.32542,9.63005
3159,0.36183,1.38425,9.88919
3210,0.36490,1.24719,9.74046
3280,0.34088,1.23595,9.81705
3310,0.50667,1.21251,9.77852
3360,0.35416,1.18529,9.82962
3410,0.25299,1.17949,9.79900
3460,0.30066,1.23138,9.81583
3510,0.32104,1.18213,9.69269
3559,0.30211,1.20399,9.70100
3609,0.53177,1.16988,9.74730
3659,0.47820,1.16045,10.01335
3709,0.35022,1.10271,9.80452
3759,0.41638,1.26833,9.80331
3810,0.45930,1.22902,9.67020
3859,0.41263,1.18488,9.81313
3910,0.45683,1.18311,9.82919
3960,0.50557,1.21039,9.67834
4012,0.40230,1.16821,9.93622
4060,0.35608,1.23193,9.68073
4110,0.35197,1.28355,9.67088
4160,0.34259,1.14616,9.71754
4210,0.42039,1.14713,9.90475
4276,0.40158,1.18739,9.72832
4314,0.38023,1.22409,9.83133
4360,0.35106,1.24693,9.76273
4410,0.34045,1.17938,9.70906
4459,0.32561,1.14928,9.67931
4510,0.44435,1.11002,9.86243
4560,0.47989,1.17880,9.68555
4610,0.33107,1.17912,9.79434
4659,0.45747,1.14441,9.75821
4710,0.39987,1.17844,9.86623
4760,0.38046,1.21666,10.01859
4810,0.43065,1.23097,9.67398
4860,0.36951,1.14911,9.73395
4910,0.38188,1.19615,9.78909
4960,0.39970,1.25267,9.88747
5028,0.34938,1.17358,9.76401
5059,0.39851,1.15225,9.88280
5110,0.51872,1.18245,9.78403
5160,0.42558,1.12373,9.80922
5210,0.45975,1.23143,9.82901
5271,0.44286,1.23895,9.74496
5310,0.49573,1.07135,9.77121
5360,0.40535,1.14644,9.88345
5410,0.40234,1.21425,9.63092
5459,0.38850,1.16154,9.77899
5510,0.44307,1.16756,9.84445
5559,0.42311,1.19272,9.38765
5610,0.54414,1.10242,9.98239
5660,0.50272,1.23555,10.07117
5710,0.39494,1.23434,9.81689
5759,0.44209,1.23930,9.84503
5810,0.41634,1.21561,9.87234
5862,0.40717,1.15071,9.80554
5910,0.42661,1.16074,9.76547
5959,0.35950,1.24316,9.80386
6010,0.41295,1.20232,9.71785
6060,0.33734,1.19191,9.90784
6111,0.32278,1.21548,9.85945
6159,0.40622,1.21471,9.75424
6210,0.37482,1.17410,9.71025
6260,0.38066,1.24429,9.91231
6334,0.34502,1.19032,9.77856
6359,0.39375,1.18364,9.81010
6409,0.43581,1.23729,9.74083
6459,0.38371,1.23331,9.89134
6510,0.39191,1.26917,9.82190
6560,0.33665,1.24791,9.83986
6610,0.35753,1.26810,9.92044
6660,0.32281,1.26875,9.80745
6710,0.35876,1.24982,9.88686
6760,0.28040,1.16267,9.78777
6810,0.32587,1.20235,9.73660
6860,0.31654,1.20953,9.77544
6910,0.33218,1.22023,9.61411
6960,0.24994,1.22540,9.80550
7010,0.32353,1.25681,9.91066
7060,0.25195,1.34422,9.64305
7110,0.08081,1.16898,10.27478
