time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
236,52,3705,29.4,-9223372036854775808,1268301,0
1222,52,3705,29.4,-9223372036854775808,701492,0
2223,52,3705,29.4,-9223372036854775808,942123,0
3282,52,3705,29.4,-9223372036854775808,518551,0
4278,52,3705,29.4,-9223372036854775808,542570,0
5275,52,3705,29.4,-9223372036854775808,1119470,0
6335,52,3705,29.4,-9223372036854775808,893974,0
7372,52,3705,29.4,-9223372036854775808,966800,0
8383,52,3705,29.4,-9223372036854775808,640072,0
9373,52,3705,29.4,-9223372036854775808,584357,0
10428,52,3705,29.4,-9223372036854775808,562202,0
11421,52,3705,29.4,-9223372036854775808,803930,0
12439,52,3705,29.4,-9223372036854775808,619454,0
13422,52,3705,29.4,-9223372036854775808,713008,0
14428,52,3705,29.4,-9223372036854775808,467441,0
15429,52,3705,29.4,-9223372036854775808,732092,0
16474,52,3705,29.4,-9223372036854775808,891781,0
17522,52,3705,29.4,-9223372036854775808,899349,0
18521,52,3705,29.4,-9223372036854775808,549480,0
19522,52,3705,29.4,-9223372036854775808,501222,0
20565,52,3705,29.4,-9223372036854775808,630969,0
21522,52,3705,29.4,-9223372036854775808,591486,0
22522,52,3705,29.4,-9223372036854775808,813472,0
23522,52,3705,29.4,-9223372036854775808,482687,0
24555,52,3705,29.4,-9223372036854775808,630311,0
25522,52,3705,29.4,-9223372036854775808,484661,0
26528,52,3705,29.4,-9223372036854775808,575582,0
27573,52,3705,29.4,-9223372036854775808,639853,0
28578,52,3705,29.4,-9223372036854775808,585783,0
29576,52,3705,29.4,-9223372036854775808,755562,0
30573,52,3705,29.4,-9223372036854775808,702150,0
31571,52,3705,29.4,-9223372036854775808,1019555,0
32574,52,3705,29.4,-9223372036854775808,468099,0
33577,52,3705,29.4,-9223372036854775808,494202,0
34575,52,3705,29.4,-9223372036854775808,477642,0
35573,52,3705,29.4,-9223372036854775808,465578,0
36576,52,3705,29.4,-9223372036854775808,1400572,0
37574,52,3705,29.4,-9223372036854775808,536209,0
38572,52,3705,29.4,-9223372036854775808,987748,0
39570,52,3705,29.4,-9223372036854775808,961755,0
40579,52,3705,29.4,-9223372036854775808,732750,0
41626,52,3705,29.4,-9223372036854775808,547616,0
42621,52,3705,29.4,-9223372036854775808,905710,0
