time,azimuth
10,68
60,84
110,80
160,111
236,111
260,102
310,100
360,91
411,70
460,89
510,147
560,80
613,85
659,88
709,88
761,92
810,90
860,75
910,94
960,86
1011,93
1060,83
1110,82
1160,95
1221,89
1260,83
1311,93
1360,73
1410,89
1461,88
1510,90
1560,90
1611,88
1660,91
1711,91
1761,88
1810,86
1860,89
1911,86
1960,85
2010,91
2060,85
2110,89
2161,86
2223,85
2261,84
2310,85
2360,82
2409,84
2460,79
2511,87
2560,83
2610,84
2660,83
2713,91
2760,86
2810,85
2860,86
2911,86
2960,90
3010,84
3061,89
3110,87
3160,86
3210,86
3281,86
3311,84
3360,86
3412,89
3460,84
3510,85
3560,84
3610,83
3660,89
3710,81
3760,84
3811,81
3860,81
3910,82
3961,87
4013,83
4061,87
4111,83
4161,86
4211,83
4278,85
4315,84
4361,88
4411,87
4460,88
4510,86
4560,85
4611,88
4660,85
4710,88
4761,91
4810,86
4860,89
4911,85
4961,85
5029,85
5060,85
5110,85
5161,84
5210,85
5274,86
5310,86
5360,85
5411,86
5460,88
5511,82
5561,87
5610,84
5661,85
5711,87
5760,86
5811,87
5862,88
5911,84
5959,88
6010,91
6060,89
6111,86
6161,83
6211,90
6260,84
6334,88
6359,87
6410,84
6460,88
6511,87
6560,84
6611,85
6661,87
6711,88
6761,83
6811,85
6861,86
6910,87
6961,86
7011,88
7061,84
7110,91
7161,84
7212,86
7261,80
7310,93
7372,84
7410,106
7461,78
7511,77
7560,67
7611,78
7661,93
7711,85
7760,85
7812,97
7861,93
7910,96
7961,90
8011,93
8061,84
8110,97
8160,83
8210,90
8261,89
8311,87
8382,91
8417,88
8460,82
8510,87
8560,94
8610,104
8660,56
8710,66
8760,73
8811,83
8861,98
8910,72
8960,76
9011,72
9060,71
9111,96
9160,78
9210,62
9260,85
9310,76
9373,67
9412,75
9461,83
9510,75
9561,89
9611,81
9660,79
9710,84
9761,89
9810,93
9860,64
9911,82
9960,70
10010,91
10060,90
10111,88
10161,87
10211,128
10262,102
10310,94
10360,84
10427,92
10461,94
10510,96
10560,84
10611,80
10660,77
10711,75
10761,84
10810,84
10861,81
10910,81
10960,91
11011,75
11060,61
11111,41
11166,18
11211,25
11260,-14
11310,-114
11360,-103
11421,-117
11461,-64
11510,-74
11561,-32
11611,-29
11660,75
11711,98
11760,97
11810,103
11860,64
11911,73
11961,71
12010,61
12062,66
12110,57
12161,52
12210,57
12260,33
12311,33
12365,38
12438,40
12462,19
12510,22
12561,-112
12610,-41
12660,-25
12711,121
12770,116
12810,107
12860,82
12911,93
12960,112
13011,64
13060,69
13111,24
13160,14
13211,31
13260,31
13311,-134
13360,-91
13422,-73
13460,-86
13510,-96
13560,-90
13611,117
13660,127
13709,124
13759,127
13812,118
13859,114
13910,109
13960,59
14010,58
14060,28
14110,14
14161,39
14211,41
14260,-136
14311,154
14360,-123
14428,-63
14461,-34
14510,-17
14560,152
14610,127
14660,112
14711,107
14760,114
14810,47
14861,46
14911,33
14961,95
15010,29
15061,101
15110,128
15160,73
15211,86
15260,95
15310,69
15361,92
15429,172
15460,173
15512,-166
15560,-102
15611,-54
15661,5
15712,24
15760,20
15812,20
15861,66
15911,84
15961,74
16011,48
16060,9
16113,-170
16160,-163
16211,-20
16260,-140
16310,-103
16360,-115
16410,-83
16473,-107
16511,-124
16561,-44
16611,-65
16660,-28
16710,-28
16760,-26
16811,-58
16860,70
16910,64
16960,45
17010,99
17060,-137
17110,-142
17162,-100
17211,-131
17260,-85
17310,-113
17360,-128
17410,-101
17460,-111
17522,-98
17561,-71
17610,-60
17661,-17
17710,-33
17760,-40
