time,USER,SYSTEM,IOW,IRQ
236,38,16,1,0
1222,38,16,1,0
2223,38,16,1,0
3282,38,16,1,0
4278,40,14,0,0
5275,40,14,0,0
6335,40,14,0,0
7373,40,14,0,0
8383,38,16,0,0
9373,38,16,0,0
10428,38,16,0,0
11421,38,16,0,0
12439,39,15,0,0
13422,39,15,0,0
14430,39,15,0,0
15429,39,15,0,0
16474,38,15,0,0
17522,38,15,0,0
18521,38,15,0,0
19522,38,15,0,0
20566,37,14,2,0
21522,37,14,2,0
22522,37,14,2,0
23522,37,14,2,0
24556,39,14,0,0
25522,39,14,0,0
26528,39,14,0,0
27573,39,14,0,0
28578,40,15,0,0
29576,40,15,0,0
30573,40,15,0,0
31571,40,15,0,0
32574,39,16,0,0
33577,39,16,0,0
34575,39,16,0,0
35573,39,16,0,0
36576,42,16,0,0
37574,42,16,0,0
38572,42,16,0,0
39570,42,16,0,0
40579,43,14,6,0
41626,43,14,6,0
42621,43,14,6,0
