time,x,y,z
10,-0.04950,-0.56921,-0.58076
60,-0.40697,-0.17061,-0.59415
109,0.40318,-0.19379,-0.52997
160,0.05466,-0.26749,-0.59706
235,-0.54948,0.31088,-0.24971
260,-0.11841,-0.00932,-0.07732
310,-0.19328,-0.12154,-0.01790
360,-0.09325,0.15358,0.29433
410,0.04742,0.45265,-0.31981
460,-0.42699,-0.65891,-0.73634
510,-0.27386,0.40160,1.35722
560,0.31146,1.23172,0.56578
613,-0.34805,-0.59854,-0.27307
659,-0.60141,-0.48373,-0.15118
709,-0.46657,-0.57320,0.08760
761,-0.15179,0.14656,-0.04651
810,0.16766,-0.48622,0.00996
860,-0.08948,-0.08514,0.05658
910,-0.14539,0.39320,0.40550
960,0.14311,0.15167,0.13661
1011,0.03741,0.16698,0.17816
1060,0.16904,0.11438,0.09386
1110,0.20018,-0.19682,0.03291
1160,0.37190,0.09229,0.13158
1221,-0.20680,1.12091,0.05267
1260,-0.37814,1.15897,0.07095
1311,0.96866,-0.88489,-0.34247
1360,0.54832,-0.19206,-0.30833
1410,0.08502,0.10263,-0.60466
1461,0.27464,0.37549,-0.19211
1510,-0.03067,0.14484,0.17339
1560,-0.08641,0.10518,0.16209
1611,-0.04559,0.12083,0.20644
1660,-0.07797,0.03249,0.11095
1711,0.07173,0.07483,0.11398
1760,-0.08876,0.06784,0.10007
1810,-0.00873,0.08725,0.11858
1860,0.06720,-0.00081,0.12704
1910,-0.04694,0.03915,0.08417
1960,0.06194,-0.05765,0.07367
2010,0.10426,-0.07491,0.05801
2060,0.07249,-0.04655,0.06221
2110,0.05028,-0.06087,0.06349
2161,0.05283,-0.08476,0.07260
2222,-0.02498,-0.07381,0.04762
2260,0.05688,-0.03334,0.04553
2310,0.01117,-0.05861,0.03780
2360,0.02267,-0.15639,0.07275
2409,0.03085,-0.17308,0.08890
2460,-0.13286,-0.02647,0.00810
2511,0.01050,0.00124,0.04620
2560,-0.01903,0.01151,0.02115
2610,-0.01320,0.03845,-0.00473
2660,0.01263,-0.02867,-0.00851
2713,-0.05527,0.00780,-0.01024
2760,-0.00108,0.01904,-0.01590
2810,0.01366,-0.03609,0.01598
2860,0.05072,0.01518,0.02547
2911,-0.00690,0.00491,-0.01120
2960,0.03108,-0.01120,-0.00443
3010,-0.01427,0.03458,-0.00732
3060,-0.01112,-0.02962,0.00104
3110,0.03041,-0.05257,0.02805
3160,-0.08261,-0.04143,-0.02638
3210,0.00105,0.00450,-0.00800
3281,-0.03371,0.02826,-0.00620
3311,-0.01820,-0.00313,-0.01373
3360,-0.05911,0.03148,-0.02129
3412,-0.01158,-0.01289,0.00677
3460,-0.00789,0.00130,0.00307
3510,0.01915,-0.00452,0.01599
3560,0.01370,-0.01045,0.01920
3610,-0.00992,-0.05600,0.00594
3660,-0.04944,0.10860,0.00436
3710,0.00658,-0.03555,0.02145
3760,0.04018,-0.05875,0.01364
3810,0.03116,0.00926,-0.01878
3860,-0.00261,-0.01009,-0.01340
3910,0.01552,-0.04761,-0.00801
3961,0.01849,-0.02455,-0.00562
4013,0.00156,-0.01126,-0.02246
4061,0.02917,-0.00024,-0.02155
4111,0.00954,-0.00659,-0.02460
4161,-0.04527,0.09129,-0.01064
4210,-0.04236,-0.01715,0.00104
4277,-0.01147,0.05273,0.02763
4315,-0.03969,0.06450,0.01299
4361,0.00342,0.02280,0.00517
4411,0.00037,0.00807,-0.00201
4460,-0.00468,0.03485,0.01340
4510,-0.00575,-0.03868,0.00278
4560,0.00275,-0.00139,0.00591
4610,-0.00172,-0.04524,-0.00986
4660,0.01697,-0.04108,-0.00003
4710,0.01117,-0.05370,0.00267
4761,-0.02777,0.00142,-0.01424
4810,0.00742,-0.06070,-0.02516
4860,0.03589,0.04190,-0.01044
4911,0.01556,-0.00896,-0.00371
4961,-0.03246,-0.00511,-0.02460
5029,-0.02654,0.00522,-0.02139
5060,-0.01537,0.02979,-0.00075
5110,0.01398,-0.06062,0.00638
5161,-0.02744,0.04637,-0.00418
5210,0.01224,-0.02405,0.01599
5274,-0.03053,-0.05307,-0.01532
5310,0.01952,0.05791,0.01422
5360,0.02315,-0.04994,0.01851
5410,-0.01193,-0.00652,0.00166
5460,0.00122,0.03917,0.00420
5510,0.00169,-0.05321,-0.01018
5560,0.04131,-0.00900,0.01292
5610,-0.04019,-0.05661,-0.00708
5661,0.01939,0.04140,0.02338
5710,-0.00186,-0.03609,0.01813
5760,0.02756,0.02927,0.02838
5811,-0.01239,0.02422,-0.00835
5862,0.02350,0.01210,-0.00443
5910,0.00255,0.06264,0.00958
5959,0.00404,-0.07831,0.00909
6010,0.02034,0.00647,0.00485
6060,-0.02019,0.01736,0.01169
6111,0.00835,-0.00443,0.00745
6161,0.00601,0.01512,-0.00107
6211,0.02823,0.01158,0.00648
6260,0.02005,-0.00444,-0.00177
6334,0.01013,0.00653,0.00021
6359,-0.00201,0.01518,0.00745
6409,0.01274,-0.01462,0.00357
6460,-0.03062,0.00281,-0.00217
6511,0.01988,-0.02043,0.01187
6560,-0.00575,0.00984,-0.00305
6611,0.01430,0.00098,0.00824
6661,0.01192,0.00343,0.00531
6711,0.00676,0.01219,0.00813
6761,0.01454,0.02911,0.01251
6811,0.00102,0.03207,0.00230
6860,0.01192,0.01161,0.00241
6910,-0.00510,0.02542,0.00597
6961,-0.01595,-0.01390,0.00569
7011,0.00038,0.02986,-0.00821
7061,-0.01089,0.08572,-0.02075
7110,0.12979,-0.04054,0.04839
7161,0.03615,0.00217,0.02234
7212,-0.01149,0.07286,0.03394
7261,0.07803,-0.06236,-0.01509
7310,0.10732,0.07661,-0.08597
7371,0.05751,0.05724,-0.18620
7410,0.22282,0.23094,0.00452
7461,-0.56331,-0.58772,0.36041
7510,-0.77299,-0.87202,0.11981
7560,-0.60928,-0.58075,-0.64120
7611,-0.28938,-0.91304,-1.40996
7661,0.37361,-0.24646,-0.44406
7710,0.78697,-0.47583,0.41226
7760,0.01978,0.58481,0.20515
7812,0.23418,0.89882,0.21162
7861,0.21356,1.03831,0.19920
7910,-0.02460,0.40442,0.02144
7961,0.03822,-0.20535,0.02025
8011,-0.15155,-0.21281,0.04784
8060,-0.28873,-0.52597,-0.19040
8110,-0.21364,-0.35876,0.14868
8160,-0.00743,0.20700,0.18924
8210,0.19977,0.24892,0.08696
8260,0.64487,0.53741,0.14796
8310,-0.21132,0.36813,-0.16415
8382,-0.10936,-0.22231,-0.09879
8416,-0.05061,-0.35178,-0.05125
8460,0.25357,0.58131,0.17354
8510,-0.09712,-0.49982,0.40845
8560,-0.29047,-1.12257,0.85747
8610,-0.97374,-0.59364,1.81577
8660,-0.50586,0.18011,0.89391
8710,0.15694,-0.07181,0.18364
8760,1.10368,0.19283,-0.24066
8811,1.33116,1.43466,-0.17757
8861,-0.30794,1.52371,0.31250
8910,0.23714,-0.33615,-0.23845
8960,0.51280,-0.00261,0.17836
9011,-0.64464,0.79913,0.15027
9060,-0.00485,0.40904,-0.10770
9110,-0.04659,-0.24049,0.01225
9160,-0.16624,-0.91130,0.11923
9210,0.01218,-0.74625,0.11583
9260,-0.59335,0.20837,0.04355
9310,-0.06850,-0.92560,0.24142
9373,0.35056,-0.35904,-0.00360
9412,0.02055,1.00259,-0.41397
9460,0.04504,0.80365,-0.55157
9510,0.25343,-0.51918,-0.77545
9561,0.11159,-0.48306,-0.80235
9611,-0.15488,-0.46986,-0.61989
9660,0.11116,0.06462,-0.43146
9710,-0.43694,0.26692,-0.41776
9760,-0.79820,0.42348,-0.61818
9810,-0.43115,0.19380,-0.38329
9860,0.10071,0.05194,-0.40918
9911,-0.78525,-0.02560,-0.32417
9960,0.54131,-0.48230,-0.08667
10010,0.26202,-0.45518,-0.03062
10060,0.21567,0.03906,0.54630
10111,0.64307,0.41946,0.06310
10160,0.42792,0.36066,0.02110
10211,-0.12483,0.00392,0.17213
10261,0.13690,-0.57159,0.59895
10310,0.36299,-1.02591,0.78221
10360,0.06749,-0.92509,0.74486
10427,-1.37352,1.21455,0.16888
10461,0.56273,0.80244,0.06674
10510,0.15337,-0.46794,0.05264
10560,-0.11836,0.06499,0.23598
10611,0.12437,0.06229,0.22804
10660,0.05353,-0.37193,0.24776
10711,0.09477,0.06525,0.15051
10761,-0.18677,-0.18117,0.13576
10810,0.24374,0.08028,0.37875
10861,0.14282,0.10997,0.37082
10910,-0.24730,-0.42630,0.11121
10960,-0.06871,-0.25110,0.37071
11011,-0.09758,-1.65019,0.25298
11060,-0.44968,-3.60358,0.33075
11110,-1.78561,-4.31683,0.10303
11165,-1.63658,-8.68512,0.40697
11211,-1.66284,-7.94572,0.41489
11260,-0.75900,-8.82915,-0.10597
11310,-0.36581,-8.23088,0.30113
11360,-0.22179,-5.05486,0.10550
11421,0.31740,1.26744,0.12119
11460,0.13048,0.96869,0.67538
11510,-0.21220,2.45882,0.26816
11561,0.14034,4.57344,0.00937
11610,0.47455,5.20033,-0.37326
11660,0.70441,6.92116,-0.35486
11711,0.79582,8.12801,0.32913
11760,1.10725,6.83733,0.32899
11810,1.11592,6.50409,0.73634
11860,1.41022,5.44868,0.63820
11911,0.78337,2.08821,0.21225
11960,0.28271,1.49446,0.24982
12010,0.22884,0.22472,0.04071
12061,0.02614,0.19640,-0.05231
12110,-0.09950,-0.57668,-0.28415
12160,-0.01112,-1.04868,-0.45656
12210,-0.72333,-1.59163,-1.06647
12260,-0.57503,-8.35304,-0.70520
12311,-1.04198,-10.56366,-0.53889
12365,-0.84561,-10.64944,-0.48389
12437,0.39528,-9.72713,-0.42296
12462,0.78574,-6.07814,-0.42825
12510,0.79523,-0.88979,-0.41624
12561,0.20894,1.99234,0.45163
12610,0.04590,3.15356,0.27492
12660,0.23112,6.59416,0.32991
12711,-0.20078,11.71964,0.25153
12769,-0.07217,10.88655,0.54138
12810,1.31462,6.67934,0.62149
12860,1.18887,4.04695,0.18951
12911,0.22768,1.08405,-0.49870
12960,0.46469,0.28253,-0.00584
13011,-0.30934,-1.14485,-0.47372
13060,0.31322,-2.60773,-0.61351
13111,-0.30420,-4.29666,-0.78876
13160,-1.21997,-10.92819,-0.93492
13210,-1.11821,-10.04317,-0.63477
13260,-0.49432,-9.63606,-0.44731
13311,0.30896,-6.53716,-0.20341
13360,0.18431,-1.97939,-0.19479
13422,0.28149,2.11150,0.26067
13460,0.52225,0.95975,0.24280
13510,0.01936,1.26353,-0.16028
13560,0.44765,2.78519,0.14301
13610,0.48470,7.51169,0.20107
13659,0.37022,10.58739,0.40158
13709,-0.12779,10.62421,0.48569
13759,1.24130,7.66583,0.76270
13812,1.33887,2.76494,0.45375
13859,0.86241,1.20137,0.22139
13909,0.06978,1.06065,0.34416
13959,-0.46484,-0.93852,-0.08417
14010,-0.47606,-1.95776,-0.30339
14060,-1.08995,-6.10725,-0.25826
14110,-1.65596,-9.51312,-0.71165
14161,-1.01872,-10.91803,-0.83542
14211,0.05095,-10.76352,-0.92584
14260,-0.35492,-10.05974,-0.33374
14310,0.30647,-3.31975,-0.64964
14360,0.12170,0.38229,-0.08171
14427,0.16635,1.03665,-0.05701
14461,1.01440,3.32919,0.64343
14510,-0.59357,7.38116,-0.02512
14560,-0.40256,10.47311,0.05833
14610,0.75986,8.14612,0.61050
14660,0.33754,9.51805,0.70715
14710,-0.56531,7.50197,1.00301
14760,-0.98598,7.13776,0.64348
14810,1.15237,-0.11607,0.38644
14861,0.41519,0.87856,-0.33780
14910,0.83330,-1.02391,-0.02454
14961,1.63655,-2.48061,-0.49687
15010,4.22905,-2.16315,0.71097
15061,4.00311,-1.18939,0.73111
15110,5.15221,-3.01685,2.41284
15160,3.78319,-4.36311,3.12901
15210,4.49529,-4.30641,5.22839
15260,4.00409,-5.01373,5.58633
15310,3.79326,-4.67938,5.34378
15361,4.48178,-4.09636,4.89233
15429,4.68086,-4.44879,4.90631
15460,4.33316,-4.38078,4.59938
15512,3.10432,-4.42955,3.79384
15560,2.31764,-5.31084,2.83165
15611,-0.38011,-5.95680,0.92677
15661,-0.91071,-5.42717,-0.12408
15711,-3.57939,-6.52771,-1.57520
15760,-3.65248,-4.44334,-2.29358
15812,-4.91066,-5.04172,-3.39955
15860,-1.99754,-0.18010,-3.57579
15911,-1.99104,2.30350,-3.51872
15961,-1.84450,9.33777,-3.59491
16011,0.41022,12.77231,-4.15843
16060,0.91095,14.56590,-4.87538
16112,-0.53551,7.58469,-3.08484
16160,1.78525,4.95999,-0.06589
16210,1.65468,7.01711,-2.19167
16260,0.60596,6.39964,-0.89006
16310,1.72198,2.23227,0.16670
16360,0.39751,0.71785,-0.03683
16410,0.21037,0.05052,0.40147
16473,0.30502,-0.61346,0.92009
16511,-0.14723,-0.98027,0.85986
16560,-0.91531,-2.56355,0.28456
16611,-1.54779,-6.74344,-0.53368
16660,-0.04907,-12.33365,-1.15269
16710,-0.34253,-9.72119,-1.58142
16760,0.63478,-7.86502,-1.34138
16810,0.66586,-5.46556,-1.36832
16859,0.37755,-1.43402,-0.96156
16910,0.60947,-0.10512,0.08382
16960,0.62759,2.52756,0.78482
17010,0.26115,4.31410,1.04788
17060,-0.03317,4.13747,0.62230
17110,0.80835,5.74951,1.23456
17162,0.19450,6.60469,0.85786
17211,0.38409,5.02531,0.77887
17260,-0.30492,5.89650,0.61336
17310,-0.17735,5.24969,0.44615
17360,-0.00850,5.83206,0.56087
17410,0.29506,0.45296,0.04178
17460,-0.45132,0.93546,-0.07843
17522,-0.34352,0.46516,-0.00339
17561,-0.21532,-0.87634,-0.32870
17610,0.11931,-2.66637,-0.73611
17661,0.67648,-9.70901,-2.12489
17710,1.04555,-12.14682,-2.63719
17760,1.45013,-11.74004,-1.60666
17810,0.02289,-6.14339,-1.59081
17860,0.72433,-1.49283,-0.72672
17910,0.73761,-0.83392,0.26019
17960,0.42897,1.38914,0.13283
18010,-0.29169,3.20436,0.50099
18062,-0.50941,5.23601,0.82610
18110,-0.50592,5.49770,1.00990
18160,-1.05360,7.10118,0.95683
18210,-1.12349,6.20038,0.78447
18263,-1.12482,6.38654,0.70827
18310,-0.83299,4.93745,0.68719
18361,0.15323,3.93633,0.53955
18411,0.22240,3.30214,0.52487
18460,0.05444,0.28304,-0.22475
18520,-0.14824,-2.51965,-0.79576
18560,0.20731,-6.36676,-1.18388
18610,0.98134,-14.77815,-1.94969
18660,-0.42041,-12.59840,-2.48445
18710,0.34718,-8.78683,-1.99908
18760,1.93494,-2.54813,-1.00841
18810,0.90942,0.83359,0.13470
18861,0.39595,2.98813,0.31847
18911,0.57458,6.86916,0.93054
18961,0.20526,8.68408,1.64992
19010,0.24153,10.64732,1.30736
19060,0.16464,11.26968,1.81044
19111,1.14047,9.87894,1.05695
19160,1.27846,4.82721,0.87943
19210,1.34531,1.01941,-0.36938
19261,0.48366,1.11598,-0.84402
19311,0.57309,-1.45055,-1.50023
19360,0.06555,-5.71523,-1.51970
19411,-2.68672,-17.95799,-4.54753
19460,-1.86861,-12.76321,-6.34695
19522,-0.37927,-7.03105,-3.90997
19561,0.13486,-4.20982,-2.67867
19610,2.14119,-2.01175,-0.96054
19660,0.74414,-1.29225,-0.61307
19710,1.12192,-3.02527,-0.85767
19761,1.19446,-4.20439,-0.65491
19810,3.02127,-4.66187,-0.39084
19861,2.81425,-1.93591,-0.35651
19910,3.81206,-2.71510,-0.50868
19962,4.74094,-2.72580,0.63123
20010,5.24095,-1.98994,-0.28423
20060,5.97536,-1.33888,-1.30753
20111,6.52277,-1.43515,-1.59711
20160,5.97963,1.14867,-1.92633
20212,8.83627,1.47479,-3.51465
20259,8.80762,2.12328,-3.78899
20311,5.65161,2.16040,-1.24315
20360,3.86862,-0.69574,-3.20963
20410,4.61078,0.70650,-3.87051
20460,5.24368,0.18529,-3.16751
20556,2.72876,-0.16907,-1.35785
20575,2.60112,0.66653,-0.58034
20610,0.75334,-0.33084,-0.39145
20660,0.13606,-0.72311,-0.21001
20710,-0.41345,-1.75009,-0.42122
20760,-1.13622,-0.69385,0.73631
20810,-2.10204,-4.78552,1.89394
20860,-0.50275,-6.44373,2.70589
20910,0.28426,-6.12465,2.47839
20961,1.39674,-4.12808,2.12524
21011,2.25180,-4.30733,1.98740
21061,1.37735,-0.05148,1.14359
21112,1.51237,-2.20575,1.01735
21162,1.08818,-2.93497,0.87036
21210,0.77864,-1.33678,0.63974
21261,1.08914,-2.49760,0.24872
21310,0.91859,2.06812,-0.31274
21360,1.18336,3.79686,-0.73277
21410,0.53011,5.08530,-0.78227
21461,-0.12785,7.76134,-0.69595
21522,-0.11659,10.20491,-0.31737
21561,0.03706,7.94142,0.12411
21611,0.24506,6.20454,-0.04259
21661,0.20142,5.54646,-0.13377
21710,-0.40533,1.10037,-0.52664
21761,-0.29263,0.09575,-0.39288
21811,-0.28398,1.20850,-0.14291
21860,0.05148,-0.98407,-0.03137
21911,0.01048,-0.67580,-0.06438
21960,-0.11057,0.01894,-0.11674
22011,0.19772,-0.65886,-0.09532
22060,-0.33180,-4.75076,-1.01019
22112,-0.76454,-10.42479,-1.79158
22162,0.15718,-10.81854,-1.59569
22210,0.74295,-7.21054,-1.31596
22260,0.16035,-8.34828,-1.28566
22310,0.79262,-1.77368,-0.92619
22360,0.12917,0.11955,0.39285
22410,-0.14665,1.74875,-0.02353
22460,0.51999,2.07111,0.43498
22522,0.13297,4.58488,0.74844
22560,0.58177,7.19768,1.13780
22611,0.51270,10.08727,1.26581
22660,-0.57838,9.82379,0.82658
22711,-0.05705,7.87971,0.89261
22760,0.28682,3.54152,0.44937
22810,0.01582,0.38409,0.20886
22860,-0.12933,-0.44984,-0.02519
22910,0.02609,-0.99631,-0.13866
22961,0.38312,-3.71291,-0.69855
23010,-0.29640,-7.06477,-1.46733
23061,-1.08020,-14.10304,-2.27145
23111,-0.49771,-9.60545,-2.18729
23160,0.50409,-8.63870,-2.09180
23211,0.31523,-2.88821,-0.64842
23260,0.69177,0.51241,0.54207
23312,-0.15196,1.39182,0.09784
23361,0.29559,2.72256,0.27574
23410,-0.07056,2.08247,0.07153
23461,-0.09161,7.04465,0.68524
23521,0.18521,8.19879,1.14076
23561,-0.24287,12.08382,1.02322
23610,-0.23813,9.47917,1.34419
23660,0.43991,6.61456,0.69891
23711,-0.12064,-0.85381,0.13300
23760,-0.27014,-1.15164,-0.12491
23810,-0.08383,-5.34203,-0.51880
23860,-0.24185,-12.24081,-1.37427
23910,-0.74472,-14.68867,-1.13205
23960,-0.01971,-9.24304,-1.29762
24011,0.46143,-4.69040,-0.70502
24060,0.82428,-0.23067,0.30254
24111,-0.27029,-0.47238,0.37331
24160,0.53238,1.34962,0.22969
24211,0.26306,3.79086,0.30507
24260,0.26515,5.09998,0.47427
24310,0.24774,8.19119,1.08798
24360,0.32742,9.39807,1.40936
24411,1.06084,8.55986,1.20709
24460,1.09669,7.20607,0.84126
24554,0.82925,4.64723,0.35239
24564,0.91660,2.16936,0.25934
24610,0.60687,1.01620,-0.06853
24661,0.14978,-1.95457,-0.67825
24710,-0.96204,-6.60443,-1.69263
24761,-2.66951,-13.43532,-4.59146
24810,-1.57610,-11.54146,-4.65587
24862,-0.56491,-5.39267,-3.93964
24911,0.21011,-3.56963,-2.55179
24960,0.85902,0.35197,-0.69281
25009,1.45264,-2.59999,-1.87657
25059,0.67407,-4.59772,-2.29532
25110,2.19595,-6.49817,-2.78279
25159,3.58153,-6.69089,-1.68692
25209,2.52930,-4.08887,-0.59521
25259,5.76376,-3.99356,-0.39246
25310,3.46007,-3.31038,0.60803
25360,4.80933,-4.66322,0.40193
25411,5.62543,-2.89629,-0.85579
25460,6.73128,1.76541,-0.10023
25522,7.05353,0.89615,-0.63603
25561,8.05063,1.53152,-2.59639
25610,8.30432,2.33545,-5.72490
25661,7.99243,2.22060,-5.42825
25710,5.43263,-0.28363,-4.64084
25760,4.79851,-0.07312,-5.10138
25810,3.88632,0.10677,-3.18561
25860,3.01183,0.93146,-3.37851
25911,2.29073,2.26913,-1.67679
25960,1.27122,-0.51363,1.41898
26010,0.68576,-2.69739,2.83232
26061,-0.90671,-4.76106,2.97165
26110,1.28439,-7.88664,5.21083
26161,1.91174,-9.23080,5.04224
26210,4.04645,-7.92978,3.30797
26261,3.21542,-5.08730,1.93883
26310,1.69789,-3.64494,1.03152
26360,2.39070,-2.84349,0.24031
26412,1.14111,0.08047,-0.89694
26461,1.04195,6.02675,-1.80444
26527,0.51186,12.03331,-0.99495
26560,1.42484,15.81371,-2.02103
26610,3.07614,12.42270,-0.57599
26660,2.51117,8.07730,-2.88907
26710,-0.17558,2.18808,-2.32495
26760,-0.09892,1.17993,-1.21271
26810,-0.60249,0.35489,-0.98093
26860,-0.83012,-0.77266,-0.60934
26910,-0.11111,-1.45668,-0.62363
26965,-0.40833,-6.40561,-0.64398
27014,0.12312,-8.76476,-1.67484
27061,0.46574,-11.01393,-1.08214
27110,0.39333,-12.32631,-1.82115
27160,1.48767,-9.46852,-1.47958
27210,0.20587,-4.08900,-0.79907
27260,0.20027,0.82350,0.16783
27311,0.16125,0.56989,0.29901
27360,0.51590,1.85425,0.15392
27410,0.16676,6.23491,0.74765
27460,-0.18387,9.01021,0.83325
27511,-1.26175,15.10765,1.56143
27572,-0.11777,11.76244,1.22227
27610,0.22191,9.04953,0.56801
27660,0.61360,-0.36578,-0.03737
27712,-0.34131,0.35400,-0.21289
27760,0.13239,-0.41148,0.08270
27810,-0.22824,-0.01654,-0.14677
27860,0.00073,-0.72235,0.02963
27910,0.50516,0.18156,0.07843
27960,0.51794,-0.42311,0.20795
