time,lx
10,1.00000
60,1.00000
109,1.00000
160,1.00000
236,1.00000
260,1.00000
310,1.00000
360,1.00000
410,1.00000
460,1.00000
510,1.00000
560,1.00000
613,1.00000
659,1.00000
709,1.00000
761,1.00000
810,1.00000
860,1.00000
910,1.00000
960,1.00000
1011,1.00000
1060,1.00000
1110,1.00000
1160,1.00000
1221,1.00000
1260,1.00000
1311,1.00000
1360,1.00000
1410,1.00000
1461,1.00000
1510,1.00000
1560,1.00000
1611,1.00000
1660,1.00000
1711,1.00000
1760,1.00000
1810,1.00000
1860,1.00000
1911,1.00000
1960,1.00000
2010,1.00000
2060,1.00000
2110,1.00000
2161,1.00000
2222,1.00000
2260,1.00000
2310,1.00000
2360,1.00000
2409,1.00000
2460,1.00000
2511,1.00000
2560,1.00000
2610,1.00000
2660,1.00000
2713,1.00000
2760,1.00000
2810,1.00000
2860,1.00000
2911,1.00000
2960,1.00000
3010,1.00000
3061,1.00000
3110,1.00000
3160,1.00000
3210,1.00000
3281,1.00000
3311,1.00000
3360,1.00000
3412,1.00000
3460,1.00000
3510,1.00000
3560,1.00000
3610,1.00000
3660,1.00000
3710,1.00000
3760,1.00000
3811,1.00000
3860,1.00000
3910,1.00000
3961,1.00000
4013,1.00000
4061,1.00000
4111,1.00000
4161,1.00000
4211,1.00000
4278,1.00000
4315,1.00000
4361,1.00000
4411,1.00000
4460,1.00000
4510,1.00000
4560,1.00000
4610,1.00000
4660,1.00000
4710,1.00000
4761,1.00000
4810,1.00000
4860,1.00000
4911,1.00000
4961,1.00000
5029,1.00000
5060,1.00000
5110,1.00000
5161,1.00000
5210,1.00000
5274,1.00000
5310,1.00000
5360,1.00000
5410,1.00000
5460,1.00000
5510,1.00000
5561,1.00000
5610,1.00000
5661,1.00000
5710,1.00000
5760,1.00000
5811,1.00000
5862,1.00000
5910,1.00000
5959,1.00000
6010,1.00000
6060,1.00000
6111,1.00000
6161,1.00000
6211,1.00000
6260,1.00000
6334,1.00000
6359,1.00000
6410,1.00000
6460,1.00000
6511,1.00000
6560,1.00000
6611,1.00000
6661,1.00000
6711,1.00000
6761,1.00000
6811,1.00000
6861,1.00000
6910,1.00000
6961,1.00000
7011,1.00000
7061,1.00000
7110,1.00000
7161,1.00000
7212,1.00000
7261,1.00000
7310,1.00000
7371,1.00000
7410,1.00000
7461,1.00000
7510,1.00000
7560,1.00000
7611,1.00000
7661,1.00000
7711,1.00000
7760,1.00000
7812,1.00000
7861,1.00000
7910,1.00000
7961,1.00000
8011,1.00000
8061,1.00000
8110,1.00000
8160,1.00000
8210,1.00000
8260,1.00000
8311,1.00000
8382,1.00000
8417,1.00000
8460,1.00000
8510,1.00000
8560,1.00000
8610,1.00000
8660,1.00000
8710,1.00000
8760,1.00000
8811,1.00000
8861,1.00000
8910,1.00000
8960,1.00000
9011,1.00000
9060,1.00000
9111,1.00000
9160,1.00000
9210,1.00000
9260,1.00000
9310,1.00000
9373,1.00000
9412,1.00000
9460,1.00000
9510,1.00000
9561,1.00000
9611,1.00000
9660,1.00000
9710,1.00000
9761,1.00000
9810,1.00000
9860,1.00000
9911,1.00000
9960,1.00000
10010,1.00000
10060,1.00000
10111,1.00000
10160,1.00000
10211,1.00000
10261,1.00000
10310,1.00000
10360,1.00000
10427,1.00000
10461,1.00000
10510,1.00000
10560,1.00000
10611,1.00000
10660,1.00000
10711,1.00000
10761,1.00000
10810,1.00000
10861,1.00000
10910,1.00000
10960,1.00000
11011,1.00000
11060,1.00000
11111,1.00000
11165,1.00000
11211,1.00000
11260,1.00000
11310,0.05173
11360,0.05173
11421,0.00000
11461,0.00000
11510,0.00000
11561,0.00000
11610,0.00000
11660,0.00000
11711,0.95004
11760,0.95004
11810,1.00000
11860,1.00000
11911,1.00000
11960,1.00000
12010,1.95105
12061,1.95105
12110,2.00000
12160,2.00000
12210,1.06447
12260,1.06447
12311,1.00000
12365,1.00000
12438,1.00000
12462,1.00000
12510,1.00000
12561,0.05597
12610,0.00000
12660,0.00000
12711,0.00000
12769,0.00000
12810,0.94066
12860,0.94066
12911,1.00000
12960,1.00000
13011,1.95102
13060,1.95102
13111,1.06523
13160,1.06523
13210,1.00000
13260,1.00000
13311,0.04938
13360,0.04938
13422,0.00000
13460,0.00000
13510,0.00000
13560,0.00000
13611,0.00000
13659,0.00000
13709,0.95119
13759,0.95119
13812,1.00000
13859,1.00000
13909,1.00000
13959,1.95036
14010,2.00000
14060,2.00000
14110,1.04861
14161,1.04861
14211,1.00000
14260,1.00000
14310,0.05733
14360,0.05733
14427,0.05733
14461,0.00000
14510,0.00000
14560,0.00000
14610,0.93953
14660,0.93953
14711,0.93953
14760,1.00000
14810,1.00000
14861,1.00000
14910,1.00000
14961,1.00000
15010,1.00000
15061,1.00000
15110,1.00000
15160,1.00000
15210,1.00000
15260,1.00000
15310,1.00000
15361,0.05251
15429,0.05251
15460,0.00000
15512,0.00000
15560,0.95033
15611,0.95033
15661,2.88629
15712,2.88629
15760,2.04863
15812,2.04863
15860,1.04906
15911,1.04906
15961,1.00000
16011,1.00000
16060,0.05345
16113,0.05345
16160,0.00000
16211,0.00000
16260,0.94121
16310,0.94121
16360,1.00000
16410,1.00000
16473,1.00000
16511,1.00000
16561,1.00000
16611,1.00000
16660,1.00000
16710,1.00000
16760,6.70218
16810,6.70218
16860,4.18997
16910,4.18997
16960,1.14781
17010,1.14781
17060,2.90417
17110,2.90417
17162,11.43105
17211,11.43105
17260,4.39648
17310,4.39648
17360,1.14726
17410,1.14726
17460,1.00000
17522,1.00000
17561,1.00000
17610,1.00000
17661,1.00000
17710,1.00000
17760,1.94261
17810,1.94261
17860,1.05702
17910,1.05702
17960,0.05035
18010,0.05035
18062,0.94031
18111,0.94031
18160,5.73579
18210,5.73579
18263,3.14777
18310,3.14777
18361,1.12714
18411,1.12714
18460,1.00000
18521,1.00000
18560,1.00000
18610,1.00000
18660,5.75609
18710,5.75609
18761,1.26550
18810,1.26550
18861,0.04901
18911,0.04901
18961,1.90125
19011,1.90125
19060,3.89774
19111,3.89774
19160,1.14932
19210,1.14932
19261,1.00000
19311,1.00000
19360,1.00000
19411,1.00000
19460,1.94981
19522,1.94981
19562,1.05057
19610,1.05057
19660,1.00000
19710,1.00000
19761,0.04996
19810,0.04996
19861,0.00000
19910,0.00000
19962,0.00000
20011,0.00000
20060,0.00000
20111,0.00000
20160,0.00000
20212,0.00000
20259,0.00000
20311,0.00000
20360,0.95010
20410,0.95010
20461,0.95010
20561,1.00000
20575,1.00000
20610,1.00000
20660,1.00000
20710,1.00000
20760,1.00000
20810,1.00000
20860,1.00000
20910,0.05678
20961,0.94963
21011,0.94963
21061,0.04944
21112,0.04944
21162,0.04944
21210,0.00000
21261,0.00000
21310,0.00000
21360,0.00000
21410,0.00000
21461,0.00000
21522,0.00000
21561,0.95096
21611,0.95096
21661,0.95096
21711,1.95062
21761,1.95062
21811,2.00000
21861,2.95026
21911,2.95026
21960,2.95026
22011,2.04852
22060,2.04852
22112,2.00000
22162,2.00000
22210,1.04980
22260,1.04980
22310,1.00000
22360,0.06049
22410,0.06049
22460,0.00000
22522,0.00000
22560,0.00000
22611,0.95181
22660,0.95181
22711,1.00000
22760,1.00000
22810,1.94560
22860,1.94560
22910,2.00000
22961,2.00000
23010,2.00000
23061,2.00000
23111,1.05452
23160,1.05452
23211,0.04906
23260,0.04906
23312,0.00000
23361,0.00000
23410,0.00000
23461,0.00000
23521,0.95099
23561,0.95099
23610,1.00000
23660,1.00000
23711,1.94800
23760,1.94800
23810,2.00000
23861,2.00000
23910,1.04996
23960,1.04996
24011,1.00000
24060,1.00000
24111,0.04866
24160,0.04866
24211,0.00000
24260,0.00000
24310,0.00000
24360,0.00000
24411,0.94949
24460,0.94949
24554,1.95114
24564,1.95114
24610,2.00000
24661,2.00000
24710,2.00000
24761,2.00000
24811,1.05112
24862,1.05112
24911,1.00000
24960,1.00000
25009,1.00000
25059,1.00000
25110,1.00000
25159,1.00000
25209,1.00000
25259,1.00000
25311,1.00000
25360,1.00000
25411,0.04997
25460,0.04997
25522,0.94313
25561,0.94313
25610,1.00000
25661,1.00000
25710,1.00000
25760,1.00000
25810,1.00000
25860,1.00000
25911,1.00000
25960,1.00000
26010,1.00000
26061,1.00000
26110,0.05742
