time,x,y,z
10,-0.32806,10.93140,-46.67664
59,-1.59760,7.29675,-47.06421
109,-2.85187,9.50623,-45.93506
159,-5.16815,9.42993,-46.75140
235,-4.76227,9.02100,-45.51086
260,-4.46472,10.00366,-46.55457
310,-4.78821,11.36780,-45.41016
360,-4.68140,10.65979,-47.20459
410,-4.24957,10.61401,-46.61102
459,-4.42810,11.36780,-45.51086
510,-5.26581,10.19440,-46.65527
560,-6.43768,13.04321,-45.83740
613,-1.41144,13.04321,-45.51086
659,-2.58484,12.06818,-45.80688
709,-2.58484,14.72015,-45.46967
760,-5.94330,15.10620,-45.33539
809,-5.76782,15.05432,-44.20319
860,-5.59998,16.89758,-44.69299
910,-7.61108,15.55786,-45.34760
960,-5.04456,15.77911,-43.93005
1010,-4.90723,16.15753,-45.42694
1060,-3.81622,15.81116,-44.85779
1110,-4.57458,14.91852,-45.30029
1160,-3.25470,14.55231,-46.00220
1221,-5.41687,14.38599,-44.53888
1260,-3.25165,14.34479,-45.43610
1311,1.06659,16.26129,-44.55566
1360,0.37231,16.21246,-43.67828
1410,-1.12000,12.99896,-45.32166
1461,-1.24359,12.87537,-45.34760
1510,-2.58484,11.19995,-45.02106
1560,0.01984,10.72693,-45.63751
1611,0.50201,11.03516,-46.16699
1660,-0.21667,12.26807,-45.44830
1711,-0.42419,12.10785,-46.18225
1760,0.76752,12.54120,-46.32874
1809,1.94092,12.37335,-45.18433
1860,0.06104,12.66174,-46.97113
1910,1.61743,12.02545,-45.93201
1959,1.38702,12.25586,-46.10138
2010,-0.56458,11.87439,-46.53931
2060,0.93536,11.70349,-47.14661
2110,0.09766,11.53564,-46.65527
2161,0.91858,10.11810,-45.53833
2222,1.08948,10.54077,-45.83740
2260,1.26953,11.50665,-45.55817
2310,1.43738,10.53009,-46.32874
2360,1.26953,11.03210,-47.14661
2409,0.26398,10.69794,-45.18433
2460,-0.07019,9.35822,-46.81549
2511,-0.57373,9.91974,-45.07904
2560,0.24719,9.83276,-45.58716
2610,0.07629,11.09467,-46.26617
2660,0.26398,10.36224,-46.81854
2712,-1.57928,12.20551,-47.63641
2759,-0.40588,11.36780,-46.49200
2810,0.00153,11.63025,-45.30029
2860,-0.51880,11.59363,-46.16394
2910,-0.16327,10.60486,-46.37299
2960,-0.42725,12.13531,-46.39587
3010,0.43182,11.53564,-46.98181
3060,-0.57373,10.53009,-45.67413
3109,-0.33417,11.96594,-46.43555
3160,-0.21515,11.41663,-46.53778
3210,-0.47455,11.10077,-46.02966
3281,-0.28839,11.92017,-45.80231
3310,-0.48828,11.65161,-45.04089
3360,-0.57373,10.86426,-46.65527
3412,-0.91553,12.30621,-45.66650
3460,0.43945,11.52649,-44.56024
3510,0.23804,11.72333,-45.39337
3560,0.43182,12.16736,-46.21887
3610,-0.07019,11.03210,-45.83740
3659,-1.24359,11.53564,-44.69299
3709,1.10321,12.20551,-45.34760
3760,0.09155,12.83417,-45.64514
3810,0.45776,11.22589,-45.40100
3860,0.57526,11.45782,-46.03882
3910,0.35400,11.61194,-45.96863
3961,-0.99945,12.78381,-46.68427
4013,0.34027,11.07941,-46.23871
