time,available,total
236,283234304,1945096192
1222,280682496,1945096192
2223,282624000,1945096192
3282,282419200,1945096192
4279,282955776,1945096192
5275,279445504,1945096192
6335,282828800,1945096192
7373,283201536,1945096192
8383,280969216,1945096192
9373,281038848,1945096192
10428,281579520,1945096192
11421,283525120,1945096192
12439,282497024,1945096192
13423,279527424,1945096192
14431,282009600,1945096192
15429,281620480,1945096192
16474,281419776,1945096192
17522,279625728,1945096192
18521,279670784,1945096192
19522,281739264,1945096192
20566,279613440,1945096192
21522,277553152,1945096192
22522,278179840,1945096192
23522,280326144,1945096192
24556,280227840,1945096192
25522,278089728,1945096192
26528,281313280,1945096192
27573,281370624,1945096192
28578,281600000,1945096192
29576,282386432,1945096192
30573,280629248,1945096192
31571,281026560,1945096192
32574,279928832,1945096192
33577,280379392,1945096192
34575,279461888,1945096192
35573,279543808,1945096192
36576,278974464,1945096192
37574,268939264,1945096192
38573,261181440,1945096192
39570,260620288,1945096192
40579,265015296,1945096192
41626,262631424,1945096192
42621,262635520,1945096192
