time,total received,total sent,mobile received,mobile sent
236,766723009,238583770,0,0
1222,766723009,238583770,0,0
2223,766723009,238583770,0,0
3282,766723009,238583770,0,0
4279,766723009,238583770,0,0
5275,766723009,238583770,0,0
6335,766723009,238583770,0,0
7373,766723009,238583770,0,0
8383,766723009,238583770,0,0
9373,766723009,238583770,0,0
10428,766723009,238583770,0,0
11421,766723009,238583770,0,0
12439,766723009,238583770,0,0
13423,766723009,238583770,0,0
14431,766723009,238583770,0,0
15430,766723009,238583770,0,0
16474,766723009,238583770,0,0
17522,766723009,238583770,0,0
18521,766723098,238583948,0,0
19523,766723098,238583948,0,0
20566,766723098,238583948,0,0
21523,766723170,238583948,0,0
22522,766723170,238583948,0,0
23522,766723170,238583948,0,0
24556,766723492,238583948,0,0
25522,766723492,238583948,0,0
26528,766723492,238583948,0,0
27573,766723492,238583948,0,0
28578,766723492,238583948,0,0
29576,766723492,238583948,0,0
30573,766723492,238583948,0,0
31573,766723492,238583948,0,0
32574,766723492,238583948,0,0
33577,766723492,238583948,0,0
34575,766723492,238583948,0,0
35574,766723492,238583948,0,0
36576,766723492,238583948,0,0
37575,766755421,238591593,0,0
38573,766755421,238591593,0,0
39570,766756082,238592322,0,0
40579,766756082,238592322,0,0
41626,766756082,238592322,0,0
42621,766756082,238592322,0,0
