time,hPa
236,1014.01270
1222,1014.02271
2223,1014.03265
3281,1014.03265
4278,1014.03265
5274,1014.03265
6334,1014.03265
7372,1014.03265
8382,1014.02271
9373,1014.03503
10427,1014.04266
11421,1014.04266
12438,1014.05267
13422,1014.06262
14428,1014.04266
15429,1014.03265
16473,1014.02271
17522,1014.03265
18521,1014.01270
19522,1014.02271
20565,1014.00275
21522,1014.01270
22522,1014.03265
23522,1014.03265
24555,1014.02271
25522,1014.01270
26528,1014.01270
27573,1014.01270
28577,1014.02271
29575,1014.02271
30572,1014.02271
31571,1014.01270
32574,1014.01270
33576,1014.02271
34574,1014.02271
35572,1014.02271
36576,1014.01270
37573,1014.02271
38571,1014.01270
39570,1014.02271
40579,1014.02271
41625,1014.01270
42621,1014.01270
