time,distance
10,5.00000
60,5.00000
110,5.00000
160,5.00000
236,5.00000
260,5.00000
310,5.00000
360,5.00000
411,5.00000
460,5.00000
510,5.00000
560,5.00000
613,5.00000
659,5.00000
709,5.00000
761,5.00000
810,5.00000
860,5.00000
910,5.00000
960,5.00000
1011,5.00000
1060,5.00000
1110,5.00000
1160,5.00000
1221,5.00000
1260,5.00000
1311,5.00000
1360,5.00000
1410,5.00000
1461,5.00000
1510,5.00000
1560,5.00000
1611,5.00000
1660,5.00000
1711,5.00000
1760,5.00000
1810,5.00000
1860,5.00000
1911,5.00000
1960,5.00000
2010,5.00000
2060,5.00000
2110,5.00000
2161,5.00000
2223,5.00000
2261,5.00000
2310,5.00000
2360,5.00000
2409,5.00000
2460,5.00000
2511,5.00000
2560,5.00000
2610,5.00000
2660,5.00000
2713,5.00000
2760,5.00000
2810,5.00000
2860,5.00000
2911,5.00000
2960,5.00000
3010,5.00000
3061,5.00000
3110,5.00000
3160,5.00000
3210,5.00000
3281,5.00000
3311,5.00000
3360,5.00000
3412,5.00000
3460,5.00000
3510,5.00000
3560,5.00000
3610,5.00000
3660,5.00000
3710,5.00000
3760,5.00000
3811,5.00000
3860,5.00000
3910,5.00000
3961,5.00000
4013,5.00000
4061,5.00000
4111,5.00000
4161,5.00000
4211,5.00000
4278,5.00000
4315,5.00000
4361,5.00000
4411,5.00000
4460,5.00000
4510,5.00000
4560,5.00000
4611,5.00000
4660,5.00000
4710,5.00000
4761,5.00000
4810,5.00000
4860,5.00000
4911,5.00000
4961,5.00000
5029,5.00000
5060,5.00000
5110,5.00000
5161,5.00000
5210,5.00000
5274,5.00000
5310,5.00000
5360,5.00000
5411,5.00000
5460,5.00000
5511,5.00000
5561,5.00000
5610,5.00000
5661,5.00000
5711,5.00000
5760,5.00000
5811,5.00000
5862,5.00000
5910,5.00000
5959,5.00000
6010,5.00000
6060,5.00000
6111,5.00000
6161,5.00000
6211,5.00000
6260,5.00000
6334,5.00000
6359,5.00000
6410,5.00000
6460,5.00000
6511,5.00000
6560,5.00000
6611,5.00000
6661,5.00000
6711,5.00000
6761,5.00000
6811,5.00000
6861,5.00000
6910,5.00000
6961,5.00000
7011,5.00000
7061,5.00000
7110,5.00000
7161,5.00000
7212,5.00000
7261,5.00000
7310,5.00000
7372,5.00000
7410,5.00000
7461,5.00000
7510,5.00000
7560,5.00000
7611,5.00000
7661,5.00000
7711,5.00000
7760,5.00000
7812,5.00000
7861,5.00000
7910,5.00000
7961,5.00000
8011,5.00000
8061,5.00000
8110,5.00000
8160,5.00000
8210,5.00000
8261,5.00000
8311,5.00000
8382,5.00000
8417,5.00000
8460,5.00000
8510,5.00000
8560,5.00000
8610,5.00000
8660,5.00000
8710,5.00000
8760,5.00000
8811,5.00000
8861,5.00000
8910,5.00000
8960,5.00000
9011,5.00000
9060,5.00000
9111,5.00000
9160,5.00000
9210,5.00000
9260,5.00000
9310,5.00000
9373,5.00000
9412,5.00000
9460,5.00000
9510,5.00000
9561,5.00000
9611,5.00000
9660,5.00000
9710,5.00000
9761,5.00000
9810,5.00000
9860,5.00000
9911,5.00000
9960,5.00000
10010,5.00000
10060,5.00000
10111,5.00000
10161,5.00000
10211,5.00000
10262,5.00000
10310,5.00000
10360,5.00000
10427,5.00000
10461,5.00000
10510,5.00000
10560,5.00000
10611,5.00000
10660,5.00000
10711,5.00000
10761,5.00000
10810,5.00000
10861,5.00000
10910,5.00000
10960,5.00000
11011,5.00000
11060,5.00000
11111,5.00000
11165,5.00000
11211,5.00000
11260,5.00000
11310,5.00000
11360,5.00000
11421,5.00000
11461,5.00000
11510,5.00000
11561,5.00000
11611,5.00000
11660,5.00000
11711,5.00000
11760,5.00000
11810,5.00000
11860,5.00000
11911,5.00000
11961,5.00000
12010,5.00000
12062,5.00000
12110,5.00000
12161,5.00000
12210,5.00000
12260,5.00000
12311,5.00000
12365,5.00000
