time,dB(SPL)
9,69.04800
59,67.31724
109,66.56759
159,67.25719
220,65.15837
260,66.78903
310,68.12058
360,69.31360
410,65.64338
459,62.79129
509,61.27417
559,64.90038
613,64.76092
659,67.76202
709,64.72066
760,65.50162
809,63.46373
859,65.36688
910,61.93820
960,62.63237
1010,62.06923
1059,60.54699
1110,60.90646
1160,55.64945
1221,61.86843
1260,56.77698
1311,58.96826
1360,57.74109
1410,58.35011
1460,58.41290
1510,56.81466
1560,50.42276
1610,42.34543
1660,41.72720
1710,51.07766
1760,47.71213
1809,29.82723
1860,25.57507
1910,45.62067
1959,62.85404
2009,65.29163
2060,66.72519
2110,67.06678
2160,64.95947
2222,63.81224
2260,65.47854
2309,62.50963
2360,69.24796
2409,70.12198
2460,70.46712
2510,68.75501
2560,68.45180
2610,66.67298
2660,68.69138
2712,67.49863
2759,65.01815
2809,60.00000
2859,58.24444
2910,48.36603
2960,33.97940
3010,33.25516
3060,49.12732
3109,55.22352
3159,58.29744
3210,56.87711
3280,53.38634
3310,50.78152
3360,44.95947
3410,39.46256
3460,52.82948
3510,55.01017
3559,60.64431
3610,58.42332
3659,57.78603
3709,59.17128
3759,60.52249
3810,66.46504
3859,67.92050
3910,68.15801
3960,67.69782
4013,68.22566
4061,66.24778
4110,64.44913
4160,68.10009
4210,67.88203
4277,72.05422
4314,69.50180
4360,68.31615
4410,67.17772
4460,66.49799
4510,63.88473
4560,65.18710
4610,61.90339
4659,61.28167
4710,57.99641
4760,61.83334
4810,60.80413
4860,58.56792
4910,57.60484
4960,62.66439
5028,60.09502
5060,60.27359
5110,61.86843
5160,63.34635
5210,60.29041
5271,59.83338
5310,51.93194
5360,56.97609
5410,68.68818
5459,71.70696
5510,71.70921
5560,68.56594
5610,69.04800
5660,66.35291
5710,66.11133
5760,65.41823
5810,63.00284
5862,65.01815
5910,65.30108
5959,62.62596
6010,57.76359
6060,50.57833
6111,62.02807
6160,63.86806
6210,60.21448
6260,58.96826
6334,73.05846
6359,76.31687
6409,74.42962
6460,73.05073
6510,71.30278
6560,70.89624
6611,69.77383
6661,68.18175
6711,65.70214
6760,63.03352
6810,60.48150
6860,58.10512
6910,43.28706
6960,48.53023
7010,40.82785
7060,56.19119
7110,49.57133
7160,50.55260
7211,38.27628
7260,67.15107
7309,65.82294
7371,66.20111
7410,63.75041
7461,69.10604
7510,68.22229
7560,67.24965
7610,66.01191
7660,69.73428
7710,70.71348
7760,70.62447
7812,67.52058
7860,58.97804
7910,55.34312
7960,58.20181
8010,59.79789
8060,61.74142
8110,60.99211
8160,62.11701
8209,59.14256
8260,59.37899
8310,55.62074
8382,50.26435
8416,41.79810
8460,33.97940
8509,54.45268
8559,41.13810
8609,56.29826
8659,59.02675
8710,58.35011
8760,59.83338
8810,61.52553
8860,61.26667
8910,56.50852
8960,51.48063
9010,47.04365
9060,30.62958
9110,52.74979
9159,63.45789
9210,65.55677
9260,69.01114
9310,64.62429
9372,67.66913
9411,67.12052
9460,66.34873
9510,65.02303
9560,63.95663
9611,64.10950
9660,61.85441
9710,59.73543
9760,59.51782
9810,57.08612
9860,55.74921
9910,66.60015
9960,63.06410
10010,71.50376
10060,61.45235
10110,58.49592
10160,89.67175
10210,89.15431
10261,73.50273
10309,72.75980
10360,68.88714
10426,77.53590
10460,77.75572
10510,64.22241
10560,82.78120
10610,61.74853
10660,52.90845
10710,50.93085
10760,47.34712
10810,45.93330
10861,35.11750
10910,62.65160
10960,67.94489
11010,61.66288
11060,56.19119
11110,66.39877
11165,69.45220
11211,81.94723
11260,79.32002
11310,75.81696
11359,76.91932
11420,75.22201
11460,78.24869
11510,73.13729
11560,76.32085
11610,70.84406
11659,70.74378
11710,69.15461
11760,69.91644
11810,68.30281
11860,69.99649
11910,66.69711
11960,65.55218
12009,60.01735
12061,56.90196
12109,51.88785
12160,65.36688
12210,56.36452
12259,55.16309
12310,64.99375
12364,67.72641
12437,60.41551
12461,69.67175
12510,70.02940
12560,67.65475
12610,80.73178
12660,80.58199
12710,81.18293
12769,82.37191
12809,81.78255
12860,83.86583
12910,73.83400
12960,75.68521
13010,70.12739
13060,69.03880
13110,64.94965
13160,61.81221
13210,63.60252
13259,67.69065
13310,58.99755
13360,67.71213
13422,38.68997
13459,53.49722
13509,55.51949
13559,59.14256
13610,80.94238
13659,84.52529
13709,80.86646
13759,80.01909
13811,75.41410
13859,76.25960
13909,72.09532
13959,72.19829
14010,66.06392
14060,61.32652
14109,58.76038
14161,62.29222
14210,61.67722
14259,56.73913
14310,62.31221
14359,66.64877
14425,44.24375
14460,74.83406
14510,66.83660
14560,82.06855
14610,81.57856
14660,78.14930
14710,80.15581
14759,80.79066
14810,77.15389
14861,71.70921
14910,68.50416
14960,66.39045
15010,62.51613
15060,63.52761
15110,70.12739
15160,75.88418
15210,73.00032
15259,89.73399
15310,82.98069
15360,66.78505
15428,69.49015
15460,69.38171
15510,70.98497
15560,72.28529
15611,69.55111
15660,75.89394
15711,83.55996
15759,69.90811
15810,68.48783
15860,78.93985
15911,62.66439
15961,55.64945
16010,59.39763
16060,59.92147
16112,67.76558
16160,73.18691
16210,68.44851
16259,71.04606
16309,78.77740
16360,71.52683
16410,43.04577
16473,66.51852
16510,65.13435
16560,63.47538
16610,58.53713
16660,66.26469
16710,67.28727
16760,75.24306
16810,73.94284
16859,67.94837
16909,72.79371
16960,82.09179
17010,82.44628
17059,83.21717
17110,83.75549
17161,81.75208
17210,82.79129
17260,80.72699
17309,79.02966
17360,79.22937
17409,78.96141
17460,75.27904
17521,70.92592
17560,69.08470
17610,58.29744
17660,54.40319
17709,65.91574
17760,74.36339
17810,69.89700
17860,66.77311
17910,74.74385
17960,74.35507
18010,75.40231
18061,76.21809
18110,77.92611
18160,77.36348
18210,72.36933
18262,71.61622
18309,70.56290
18360,69.62599
18411,63.67678
18460,57.45478
18520,61.30412
18559,70.11656
18609,68.62406
18660,79.76850
18709,74.54757
18760,77.01292
18810,79.61370
18860,81.04310
18910,78.68391
18960,76.91808
19010,77.29734
19060,75.07013
19110,74.21588
19160,74.95290
19210,71.46208
19260,64.10950
19310,48.84960
19360,43.80663
19410,66.36127
19460,89.47266
19521,90.20312
19559,72.67139
19610,76.43289
19660,78.73630
19710,80.94472
19760,83.66995
19810,77.95034
19860,79.04810
19910,70.03214
19961,63.83461
