time,x,y,z
24,-0.69070,9.33209,4.64731
74,0.00383,8.90923,5.73143
124,-0.45894,9.00034,4.36613
174,-0.16328,8.47263,4.41452
224,0.26939,9.42935,5.48816
274,-0.15253,8.91988,4.70914
324,0.35355,10.38161,6.33800
374,-1.07127,10.47963,5.98779
425,-2.24692,12.01562,7.48846
475,-6.12280,11.54944,7.95450
524,-6.60443,8.67119,2.66245
575,-2.80847,6.88347,-1.27940
625,0.28786,5.03014,-4.60080
675,3.32982,4.36479,-5.58508
725,6.10094,4.12929,-3.90779
775,6.07172,5.09363,-2.13519
836,7.61719,5.10742,-2.81422
875,7.85905,4.59894,-2.69092
924,10.43840,5.20564,-3.67152
974,7.99741,2.17348,-0.06477
1024,9.65158,2.44064,-1.13722
1075,11.72386,2.13759,1.39748
1125,9.44537,2.96823,-0.03748
1175,10.04886,3.21278,0.70479
1224,9.23454,2.56506,0.64432
1274,10.67351,2.85042,-0.17374
1324,8.79568,2.77364,0.25674
1374,9.50691,2.78807,-0.29831
1424,8.05302,4.05183,-1.00920
1475,9.82494,2.83372,-0.64807
1525,9.19939,3.70009,-0.13998
1574,10.32111,3.18575,-0.26656
1625,9.93466,3.85611,-0.59058
1675,8.54150,4.38223,-0.38977
1725,8.49911,4.77319,-0.81966
1775,7.48660,5.71552,0.13895
1835,6.56253,5.42807,-0.99930
1874,7.00999,5.80711,-0.67661
1924,6.36084,6.89442,-0.68260
1974,5.60800,6.86629,-1.99318
2025,5.67053,7.15315,-2.04398
2075,7.32483,7.66032,-2.03668
2125,5.80431,8.07980,-1.56902
2174,4.81868,8.41673,-1.67058
2225,4.81017,8.42279,-1.90646
2274,4.27838,7.68362,-1.81100
2325,5.17072,7.11191,-2.05525
2375,5.13576,7.20564,-3.90820
2425,3.82912,6.72617,-5.03708
2474,-1.17409,7.14630,-5.84077
2525,1.33745,9.20317,-3.50487
2575,-3.39743,8.78926,-6.25926
2625,-2.00815,11.60591,-4.05083
2675,-3.64865,12.51183,-5.18463
2725,-3.99550,12.60846,-4.90529
2775,-4.43303,13.81068,-3.84901
2840,-3.20471,14.34207,-3.64870
2875,-2.55455,11.46684,-4.46196
2925,-1.05249,12.67348,-3.53775
2975,-1.20711,12.90451,-3.46187
3024,-1.59796,13.26358,-2.72118
3075,-0.53217,12.84657,-2.33716
3125,-0.00542,11.12228,-2.30342
3175,0.82027,9.93636,-1.75255
