time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
837,34,3705,29.1,-9223372036854775808,692667,0
1836,34,3705,29.1,-9223372036854775808,440588,0
2842,34,3705,29.1,-9223372036854775808,585336,0
3886,34,3705,29.1,-9223372036854775808,1176473,0
4973,34,3705,29.1,-9223372036854775808,497700,0
5939,34,3705,29.1,-9223372036854775808,721879,0
6936,34,3705,29.1,-9223372036854775808,710390,0
7937,34,3705,29.1,-9223372036854775808,857764,0
8938,34,3705,29.1,-9223372036854775808,871112,0
9938,34,3705,29.1,-9223372036854775808,406343,0
10989,34,3705,29.1,-9223372036854775808,446278,0
11989,34,3705,29.1,-9223372036854775808,498356,0
12991,34,3705,29.1,-9223372036854775808,446934,0
13988,34,3705,29.1,-9223372036854775808,551091,0
14996,34,3705,29.1,-9223372036854775808,395512,0
16002,34,3705,29.1,-9223372036854775808,674832,0
17040,34,3705,29.1,-9223372036854775808,551747,0
18038,34,3705,29.1,-9223372036854775808,535227,0
19041,34,3705,29.1,-9223372036854775808,518050,0
20038,34,3705,29.1,-9223372036854775808,526912,0
21076,34,3705,29.1,-9223372036854775808,357438,0
22043,34,3705,29.1,-9223372036854775808,628553,0
23041,34,3705,29.1,-9223372036854775808,618378,0
24035,34,3705,29.1,-9223372036854775808,469144,0
25069,34,3705,29.1,-9223372036854775808,397372,0
26087,34,3705,29.1,-9223372036854775808,620237,0
27086,34,3705,29.1,-9223372036854775808,695839,0
28086,34,3705,29.1,-9223372036854775808,388510,0
29103,34,3705,29.1,-9223372036854775808,875488,0
30087,34,3705,29.1,-9223372036854775808,429757,0
31091,34,3705,29.1,-9223372036854775808,444418,0
32088,34,3705,29.1,-9223372036854775808,577131,0
33109,34,3705,29.1,-9223372036854775808,519910,0
34089,34,3705,29.1,-9223372036854775808,571988,0
35145,34,3705,29.1,-9223372036854775808,1070455,0
36137,34,3705,29.1,-9223372036854775808,561266,0
37174,34,3705,29.1,-9223372036854775808,1113015,0
38146,34,3705,29.1,-9223372036854775808,667917,0
39139,34,3705,29.1,-9223372036854775808,830237,0
40138,34,3705,29.1,-9223372036854775808,622322,0
41141,34,3705,29.1,-9223372036854775808,654655,0
42187,34,3705,29.1,-9223372036854775808,596347,0
43189,34,3705,29.1,-9223372036854775808,629337,0
44193,34,3705,29.1,-9223372036854775808,581769,0
45217,34,3705,29.1,-9223372036854775808,494306,0
46192,34,3705,29.1,-9223372036854775808,577933,0
47190,34,3705,29.1,-9223372036854775808,908166,0
48187,34,3705,29.1,-9223372036854775808,641393,0
49200,34,3705,29.1,-9223372036854775808,650818,0
50200,34,3705,29.1,-9223372036854775808,673725,0
51190,33,3651,29.2,-9223372036854775808,456274,0
52190,33,3651,29.2,-9223372036854775808,624843,0
53214,33,3651,29.2,-9223372036854775808,539901,0
54195,33,3651,29.2,-9223372036854775808,583085,0
55198,33,3651,29.2,-9223372036854775808,633721,0
56187,33,3651,29.2,-9223372036854775808,639420,0
57192,33,3651,29.2,-9223372036854775808,662218,0
58190,33,3651,29.2,-9223372036854775808,584289,0
59187,33,3651,29.2,-9223372036854775808,527845,0
60236,33,3651,29.2,-9223372036854775808,875832,0
61260,33,3651,29.2,-9223372036854775808,472166,0
62249,33,3651,29.2,-9223372036854775808,294062,0
63239,33,3651,29.2,-9223372036854775808,659696,0
64241,33,3651,29.2,-9223372036854775808,231261,0
65252,33,3651,29.2,-9223372036854775808,509541,0
66238,33,3651,29.2,-9223372036854775808,352919,0
67290,33,3651,29.2,-9223372036854775808,283212,0
68286,33,3651,29.2,-9223372036854775808,315545,0
69289,33,3651,29.2,-9223372036854775808,321902,0
70338,33,3651,29.2,-9223372036854775808,231261,0
71349,33,3651,29.2,-9223372036854775808,298446,0
72342,33,3651,29.2,-9223372036854775808,307324,0
73360,33,3651,29.2,-9223372036854775808,243317,0
74393,33,3651,29.2,-9223372036854775808,174924,0
75397,33,3651,29.2,-9223372036854775808,205942,0
76397,33,3651,29.2,-9223372036854775808,282664,0
77456,33,3651,29.2,-9223372036854775808,199585,0
78439,33,3651,29.2,-9223372036854775808,662875,0
79447,33,3651,29.2,-9223372036854775808,856213,0
80441,33,3651,29.2,-9223372036854775808,783328,0
