time,azimuth
25,-76
75,-74
125,-75
175,-73
225,-75
275,-77
324,-75
374,-76
425,-79
476,-85
525,-100
575,-106
626,19
675,27
726,2
775,-22
836,-28
876,-28
925,-29
975,-93
1024,-28
1075,-111
1125,-61
1175,-98
1225,-86
1275,-72
1325,-74
1375,-64
1425,-56
1475,-73
1526,-68
1575,-58
1625,-61
1675,-64
1725,-59
1775,-66
1835,-52
1875,-52
1925,-56
1974,-48
2026,-49
2075,-44
2126,-53
2175,-54
2225,-53
2275,-49
2326,-41
2376,-25
2426,-18
2475,-70
2526,-38
2576,-123
2626,-103
2676,-103
2725,-91
2775,-102
2842,-89
2875,-89
2925,-73
2976,-75
3025,-80
3075,-72
3126,-74
3176,-73
3226,-101
3276,-57
3326,-53
3376,-61
3427,-66
3475,-59
3526,-70
3575,-79
3626,-82
3675,-64
3725,-57
3775,-47
3824,-44
3886,-42
3925,-42
3975,-23
4025,-62
4075,-33
4125,-57
4175,-53
4225,-54
4275,-49
4325,-51
4377,-49
4425,-50
4475,-49
4525,-46
4576,-52
4626,-55
4676,-71
4725,-66
4775,-65
4826,-85
4876,-67
4973,-70
4976,-77
5027,-70
5078,-66
5126,-67
5175,-61
5225,-76
5275,-64
5326,-61
5376,-63
5425,-56
5476,-51
5526,-51
5575,-42
5626,-45
5675,-46
5726,-46
5776,-45
5825,-44
5876,-44
5939,-45
5976,-47
6026,-47
6075,-50
6125,-45
6176,-42
6226,-53
6276,-51
6325,-52
6375,-62
6425,-59
6474,-62
6525,-84
6575,-80
6625,-80
6675,-87
6725,-72
6775,-75
6825,-71
6875,-67
6936,-66
6975,-57
7026,-53
7076,-54
7125,-50
7176,-54
7225,-62
7275,-71
7326,-71
7377,-70
7426,-75
7476,-82
7526,-58
7576,-62
7626,-59
7675,-52
7727,-55
7779,-55
7829,-49
7875,-51
7936,-44
7975,-42
8025,-43
8075,-44
8125,-44
8175,-48
8225,-56
8275,-58
8325,-58
8376,-53
8425,-54
8476,-47
8525,-47
8576,-46
8625,-52
8676,-52
8726,-56
8775,-56
8827,-58
8877,-54
8937,-56
8975,-54
9029,-53
9076,-53
9124,-55
9175,-58
9225,-65
9275,-65
9325,-64
9376,-65
9427,-64
9475,-65
9526,-63
9575,-62
9625,-57
9676,-55
9725,-60
9776,-67
9825,-71
9875,-72
9937,-67
9976,-63
10025,-42
10075,-35
10126,-29
10175,-37
10229,-37
10276,-39
10326,-39
10375,-42
10425,-42
10476,-40
10526,-30
10575,-29
10625,-24
10677,-22
10725,-23
10775,-23
10825,-26
10875,-26
10926,-29
10989,-30
11026,-27
11075,-33
11127,-37
11176,-41
11225,-44
11275,-35
11326,-32
11376,-38
11426,-38
11476,-32
11525,-32
11575,-35
11626,-35
11676,-43
11726,-54
11775,-52
11827,-59
11876,-55
11926,-56
11989,-62
12025,-66
12075,-60
12125,-54
12175,-69
12225,-40
12276,-39
12325,-45
12377,-25
12425,-5
12475,-23
12526,-54
12575,-58
12625,-57
12676,-53
12726,-51
12775,-47
12826,-45
12877,-41
12925,-40
12990,-36
13030,-35
13077,-34
13125,-35
13175,-34
13225,-32
13275,-32
13325,-32
13376,-32
13425,-30
13476,-30
13526,-26
13577,-20
13625,-19
13676,-10
13726,-12
13776,-36
13825,-49
13876,-45
13925,-51
13988,-55
14026,-65
14075,-30
14126,-66
14175,-57
14226,-52
14276,-41
14326,-24
14376,-8
14425,5
14476,15
14526,24
14576,21
14625,11
14676,-5
14725,-28
14775,-38
14825,-50
14875,-52
14925,-59
14996,-59
15026,-51
15077,-38
15127,0
15175,-46
15226,-67
15275,-31
15325,-58
15375,-52
15425,-51
15475,-41
15525,-35
15576,-19
15626,-7
15675,2
15726,-2
15775,-17
15825,-34
15875,-51
15925,-52
16002,-52
16029,-58
16076,-58
16125,-48
16176,-58
16225,-44
16276,-59
16325,-60
16376,-52
16425,-50
16475,-42
16526,-36
16576,-26
16626,-18
16676,2
16726,1
16776,8
16827,8
16876,-15
16926,-35
16976,-44
17040,-54
17101,-49
17131,-49
17175,-53
17225,-40
17275,-14
17325,-65
17375,-52
17430,-60
17475,-48
17525,-47
17576,-38
17625,-24
17676,-15
17725,0
17776,8
17825,6
17876,2
17925,-30
17975,-32
18038,-46
18076,-51
18125,-57
18175,-51
18225,-59
18276,-40
18325,-25
18376,-60
18426,-61
18476,-52
18526,-48
18576,-44
18625,-28
18676,-13
18726,-2
18775,3
18826,9
18876,3
18925,-7
18976,-30
19040,-41
19076,-47
19126,-51
19177,-48
19225,-57
19276,-55
19325,-51
19375,-65
19425,-54
19476,-48
19526,-45
19575,-30
19625,-25
19674,-9
19725,0
19776,8
19826,9
19876,8
19925,-12
19975,-43
20038,-48
20076,-52
20125,-53
20176,-55
20225,-61
20275,-41
20326,-61
20375,-54
20425,-58
20475,-55
20525,-56
20576,-46
20626,-20
20676,2
20725,16
20777,26
20825,19
20875,12
20926,-14
