time,USER,SYSTEM,IOW,IRQ
837,35,18,19,0
1836,35,18,19,0
2842,35,18,19,0
3886,35,18,19,0
4973,39,13,3,0
5939,39,13,3,0
6937,39,13,3,0
7937,39,13,3,0
8938,36,13,0,0
9938,36,13,0,0
10989,36,13,0,0
11989,36,13,0,0
12991,39,12,0,0
13988,39,12,0,0
14996,39,12,0,0
16002,39,12,0,0
17040,38,14,0,0
18038,38,14,0,0
19041,38,14,0,0
20038,38,14,0,0
21077,37,15,0,0
22043,37,15,0,0
23041,37,15,0,0
24035,37,15,0,0
25070,38,10,1,0
26088,38,10,1,0
27086,38,10,1,0
28086,38,10,1,0
29104,38,14,0,0
30087,38,14,0,0
31091,38,14,0,0
32089,38,14,0,0
33109,38,14,0,0
34090,38,14,0,0
35145,38,14,0,0
36137,38,14,0,0
37174,41,13,7,0
38146,41,13,7,0
39139,41,13,7,0
40138,41,13,7,0
41141,38,15,9,0
42187,38,15,9,0
43189,38,15,9,0
44193,38,15,9,0
45217,40,14,0,0
46193,40,14,0,0
47190,40,14,0,0
48187,40,14,0,0
49200,38,15,0,0
50200,38,15,0,0
51190,38,15,0,0
52190,38,15,0,0
53214,40,16,0,0
54196,40,16,0,0
55198,40,16,0,0
56187,40,16,0,0
57192,39,15,0,0
58190,39,15,0,0
59188,39,15,0,0
60236,39,15,0,0
61260,37,16,2,0
62249,37,16,2,0
63240,37,16,2,0
64241,37,16,2,0
65252,28,16,0,0
66238,28,16,0,0
67290,28,16,0,0
68286,28,16,0,0
69289,24,13,2,0
70338,24,13,2,0
71349,24,13,2,0
72342,24,13,2,0
73360,23,13,7,0
74393,23,13,7,0
75397,23,13,7,0
76398,23,13,7,0
77456,24,15,0,0
78439,24,15,0,0
79447,24,15,0,0
80441,24,15,0,0
