time,x,y,z
25,0.23141,-0.11017,0.21390
75,-0.02385,0.29193,0.03419
125,0.26245,0.35297,0.22502
175,0.23689,-0.19292,0.12886
225,0.22707,0.61389,0.08125
274,0.43672,0.31221,0.19160
324,0.66241,0.65840,-0.02559
374,0.44366,2.14442,-0.53506
425,0.80362,3.13965,-0.45355
475,1.41357,3.01309,0.04630
525,2.40404,2.55550,1.64882
575,2.33769,1.53195,2.88269
625,1.64191,1.31494,3.22832
675,0.51765,0.60686,3.50497
726,-0.03366,-0.48918,3.64551
775,-0.52470,-0.93019,3.31076
836,-0.95090,-0.44968,2.81657
875,-1.02155,-0.66473,2.72415
924,-3.73122,-1.03226,2.70265
974,-2.60211,-0.97472,1.92593
1024,-2.23302,0.24995,1.60123
1075,-1.08446,0.03543,0.22949
1125,-1.21550,-0.79224,0.22603
1175,-0.49602,-0.04294,-0.14005
1225,0.03888,0.11188,-0.21864
1275,0.41998,0.23997,-0.41901
1325,0.91611,0.41855,-0.44559
1375,1.49422,0.69777,-0.71893
1425,1.77379,1.02353,-0.63867
1475,2.20370,1.04466,-0.14290
1525,2.38403,1.05298,0.14413
1574,2.60190,1.23798,-0.13280
1625,2.72549,1.52399,-0.64642
1675,2.43828,1.57338,-1.29245
1725,2.14662,1.44153,-1.11816
1775,1.82948,1.12146,-1.37251
1835,1.48584,0.56918,-0.96115
1875,1.07829,0.11661,-0.95131
1924,0.89485,-0.25380,-1.11597
1974,0.51094,-0.81398,-1.18265
2026,-0.08640,-1.46651,-0.77007
2075,-0.50195,-1.71718,-1.01158
2125,-0.30354,-1.18414,-1.68950
2175,-0.07462,-0.92709,-1.46606
2225,0.10753,-0.62993,-1.11792
2275,0.10542,-0.52513,-0.69508
2325,0.17036,-0.47748,-0.89763
2375,0.24350,-0.31001,-1.39459
2425,0.35701,-0.04752,-1.56096
2475,0.25706,0.00293,-1.90218
2526,-0.42856,-0.14554,-0.67303
2575,-0.40680,0.07503,-0.50436
2626,-0.22166,0.89133,0.23032
2676,0.59079,1.22299,0.26723
2725,0.32466,0.69829,-0.22374
2775,0.01544,0.35831,0.13644
2840,-0.03529,0.42932,0.18282
2875,-0.57072,-0.32001,0.22038
2925,-0.73500,-0.62836,0.74258
2976,-0.80260,-0.67410,0.83731
3025,-0.96729,-0.69992,1.36459
3075,-1.22551,-0.81380,1.58812
3126,-1.55338,-1.07202,1.75983
3176,-1.78221,-1.54654,1.65175
3226,-1.92981,-1.79074,1.77330
3275,-1.98016,-1.90236,1.40096
3326,-1.61507,-1.75951,1.21492
3376,-1.40234,-1.54422,1.10748
3426,-1.32832,-1.41583,1.39020
3475,-1.00758,-1.12132,0.84796
3526,-0.72745,-0.81230,-0.58340
3575,-0.10167,-0.50047,-2.14597
3626,0.70235,0.28003,-2.17801
3675,1.27501,-0.10904,0.27191
3725,1.36510,0.64981,-0.03682
3775,1.49814,1.39244,-0.85072
3824,1.54807,1.71782,-1.21350
3886,1.60899,2.47083,-1.85686
3925,1.68008,3.41978,-1.99751
3975,1.69801,3.94023,-2.10902
4025,1.54120,3.77515,-1.76768
4075,1.35257,3.24487,-1.47905
4125,0.88190,2.67967,-1.31245
4175,0.65445,2.20279,-0.81949
