time,lx
25,0.00000
75,0.00000
125,0.00000
175,0.00000
225,0.00000
274,0.00000
324,0.00000
374,0.00000
425,0.68675
476,0.68675
525,1.69179
575,1.69179
625,2.00000
675,2.00000
726,2.00000
775,2.00000
836,2.00000
875,2.00000
924,1.30798
974,1.30798
1024,0.30646
1075,0.30646
1125,0.00000
1175,0.00000
1225,0.00000
1275,0.00000
1325,0.00000
1375,0.00000
1425,0.00000
1475,0.00000
1525,0.68597
1574,0.68597
1625,1.68655
1675,1.68655
1725,2.69174
1775,2.69174
1835,3.00000
1875,3.00000
1925,2.31334
1974,2.31334
2026,1.31221
2075,1.31221
2126,1.00000
2175,1.00000
2225,1.00000
2275,1.00000
2325,1.00000
2375,1.00000
2425,1.00000
2475,1.00000
2526,1.00000
2575,1.00000
2626,1.00000
2676,1.00000
2725,0.31683
2775,0.31683
2840,0.31683
2875,0.00000
2925,0.00000
2976,0.00000
3025,0.00000
3075,0.00000
3126,0.00000
3176,0.00000
3226,1.37787
3276,1.37787
3326,2.00000
3376,2.00000
3426,1.30740
3475,1.30740
3526,1.00000
3575,1.00000
3626,0.31218
3675,0.31218
3725,0.00000
3775,0.00000
3824,0.69321
3886,0.69321
3925,1.00000
3975,1.00000
4025,0.31433
4075,0.31433
4125,0.00000
4175,0.00000
4225,0.00000
4275,0.00000
4325,0.00000
4376,0.00000
4425,0.00000
4475,0.00000
4525,0.00000
4576,0.00000
4626,0.00000
4676,0.00000
4725,0.00000
4775,0.00000
4826,0.00000
4876,0.00000
4973,0.00000
4976,0.00000
5026,0.00000
5078,0.69202
5125,0.69202
5175,1.00000
5225,1.00000
5275,1.00000
5326,1.00000
5376,1.00000
5425,1.00000
5476,1.00000
5526,1.00000
5575,1.00000
5625,1.00000
5675,0.31067
5726,0.31067
5775,0.00000
5825,0.00000
5876,0.00000
5939,0.00000
5976,0.00000
6025,0.00000
6075,0.00000
6125,0.00000
6176,0.00000
6226,0.00000
6276,0.00000
6325,0.00000
6375,0.00000
6424,0.00000
6474,0.00000
6525,0.00000
6575,0.00000
6625,0.00000
6675,0.00000
6725,0.00000
6775,0.69144
6825,0.69144
6875,1.00000
6936,1.00000
6975,1.00000
7026,1.00000
7075,0.31599
7125,0.31599
7176,0.00000
7225,0.00000
7275,0.00000
7326,0.00000
7377,0.00000
7426,0.00000
7475,0.68364
7525,0.68364
7576,1.00000
7626,1.00000
7675,0.30821
7726,0.30821
7778,0.30821
7829,0.00000
7875,0.00000
7936,0.00000
7975,0.00000
8025,0.00000
8075,0.00000
8125,0.00000
8175,0.00000
8225,0.00000
8275,0.00000
8325,0.00000
8375,0.00000
