time,x,y,z
25,21.86127,-75.27771,43.93616
75,22.08099,-76.27563,44.79828
125,21.85516,-76.23138,43.77289
175,21.69342,-74.44000,44.75403
224,19.51599,-74.27216,45.24536
274,20.58716,-76.01624,44.67926
324,19.51294,-75.78125,45.73822
374,20.50476,-76.40991,46.82922
425,22.71271,-78.32947,47.29919
475,24.37592,-77.45667,47.69745
525,28.90015,-78.63007,50.14954
575,26.68457,-78.42712,54.24194
625,17.83295,-76.47095,59.89838
675,13.53302,-74.99390,61.31134
725,3.25928,-68.82629,62.49237
775,-2.60468,-63.88245,62.57324
836,-9.80988,-54.66614,64.37073
875,-9.80988,-54.66614,64.37073
924,-16.26434,-40.13367,62.94250
974,-17.53387,-36.72333,65.23438
1024,-16.76788,-33.36182,66.39252
1075,-20.03326,-30.03235,67.15088
1125,-20.36743,-28.35693,63.22784
1175,-20.53986,-28.18604,63.08899
1225,-19.17419,-27.84729,65.35950
1275,-18.81561,-27.68555,65.53955
1324,-19.92188,-28.84064,64.68201
1374,-19.86542,-28.85895,63.71765
1424,-19.36188,-30.70221,62.57324
1475,-19.93408,-30.93567,61.95221
1525,-20.26215,-32.84302,59.62524
1574,-19.36188,-32.71332,57.91168
1625,-19.70673,-31.14471,55.81207
1675,-19.97833,-32.99255,53.25623
1725,-20.03326,-35.72998,51.45721
1775,-16.17889,-41.59546,49.33167
1835,-16.17279,-43.89496,47.61963
1874,-12.33978,-48.21472,48.65112
1924,-11.34949,-49.95117,49.32098
1974,-11.72180,-53.29285,51.86310
2025,-8.13446,-56.34155,53.25470
2075,-7.63245,-58.18481,57.99561
2125,-5.50232,-59.76562,61.18469
2175,-1.64795,-63.62152,62.22382
2225,0.86212,-64.66675,63.01117
2274,4.25415,-67.37213,65.88135
2325,5.60608,-70.08362,66.98761
2375,8.12073,-70.58563,68.45856
2425,11.79810,-72.78442,68.64166
2475,15.65704,-72.93243,69.82269
2525,16.83044,-73.64960,70.74432
2575,21.77124,-74.10126,70.76569
2626,20.52155,-74.94354,69.11163
2675,21.02356,-75.44556,67.96722
2725,21.51337,-75.28534,69.07654
2775,20.51697,-73.60840,68.46161
2840,20.01801,-74.44000,68.94836
2875,19.85016,-73.60229,67.80396
2925,21.35925,-73.77014,67.64069
2975,19.85016,-73.26660,64.86206
3025,19.11621,-73.43445,65.19928
3075,16.91589,-73.47260,62.31995
3126,14.48822,-72.41821,60.76508
3176,9.98077,-70.94421,60.38208
3225,6.10962,-67.23480,56.68793
3275,1.08185,-64.88800,54.07257
3326,-0.18158,-62.18262,53.64532
3376,-2.71759,-57.89032,53.05481
3426,-4.78363,-57.13654,52.58942
3475,-6.42395,-53.50647,54.52881
3525,-8.80585,-49.97406,54.56238
3575,-9.97772,-50.14191,56.36139
3625,-7.82166,-52.03247,56.30798
3675,-2.97852,-58.47778,57.11212
3725,-3.29590,-58.61511,59.86633
3775,-1.49384,-58.13904,61.99493
3824,-2.71454,-60.11200,61.59210
3885,-0.25787,-60.19592,62.57324
3925,1.41754,-64.21814,60.28442
3975,5.86243,-66.37726,60.89020
4025,10.36987,-70.35370,58.68378
4075,13.15613,-71.00220,58.51593
4125,15.82947,-73.71216,59.43604
