time,available,total
837,288202752,1945096192
1836,287031296,1945096192
2842,289083392,1945096192
3886,292032512,1945096192
4973,280920064,1945096192
5939,300044288,1945096192
6937,302530560,1945096192
7937,301617152,1945096192
8938,301264896,1945096192
9938,299548672,1945096192
10989,301813760,1945096192
11990,301281280,1945096192
12991,300572672,1945096192
13989,298545152,1945096192
14996,322514944,1945096192
16002,321994752,1945096192
17040,322142208,1945096192
18038,322727936,1945096192
19041,323313664,1945096192
20038,323846144,1945096192
21077,324370432,1945096192
22043,321925120,1945096192
23041,322637824,1945096192
24035,321552384,1945096192
25070,321003520,1945096192
26088,318738432,1945096192
27086,319303680,1945096192
28086,318967808,1945096192
29104,318332928,1945096192
30087,313479168,1945096192
31091,313651200,1945096192
32089,314535936,1945096192
33109,314568704,1945096192
34090,308789248,1945096192
35145,310702080,1945096192
36137,311717888,1945096192
37174,298745856,1945096192
38146,298696704,1945096192
39139,304963584,1945096192
40138,294047744,1945096192
41141,307609600,1945096192
42187,314957824,1945096192
43189,317042688,1945096192
44193,317792256,1945096192
45217,311185408,1945096192
46193,316878848,1945096192
47190,317730816,1945096192
48187,316497920,1945096192
49200,316096512,1945096192
50200,313995264,1945096192
51190,316235776,1945096192
52190,315416576,1945096192
53214,314486784,1945096192
54196,311115776,1945096192
55198,313257984,1945096192
56187,311496704,1945096192
57192,314007552,1945096192
58190,310296576,1945096192
59188,313851904,1945096192
60237,313794560,1945096192
61260,286543872,1945096192
62249,290172928,1945096192
63240,292974592,1945096192
64241,292622336,1945096192
65252,292761600,1945096192
66238,286461952,1945096192
67290,288800768,1945096192
68286,288718848,1945096192
69289,286617600,1945096192
70338,285663232,1945096192
71349,285671424,1945096192
72342,286609408,1945096192
73360,286330880,1945096192
74393,285876224,1945096192
75397,289320960,1945096192
76398,289619968,1945096192
77456,289673216,1945096192
78439,287735808,1945096192
79447,278228992,1945096192
80441,278671360,1945096192
