time,total received,total sent,mobile received,mobile sent
837,507314606,196276140,0,0
1836,507315029,196276674,0,0
2842,507315029,196277672,0,0
3886,507315698,196277764,0,0
4973,507315698,196277900,0,0
5939,507315874,196278072,0,0
6937,507315914,196278164,0,0
7937,507315914,196278216,0,0
8938,507315914,196278296,0,0
9938,507315914,196278296,0,0
10989,507315914,196278336,0,0
11990,507315914,196278336,0,0
12991,507315914,196278336,0,0
13989,507315914,196278416,0,0
14996,507315914,196278508,0,0
16002,507316002,196278604,0,0
17040,507316090,196278696,0,0
18039,507316090,196278748,0,0
19041,507316412,196278748,0,0
20038,507316412,196278788,0,0
21077,507316412,196278788,0,0
22043,507316501,196278966,0,0
23041,507316715,196279256,0,0
24035,507321340,196280603,0,0
25070,507322169,196281496,0,0
26088,507322169,196281544,0,0
27086,507322345,196281592,0,0
28086,507322409,196281664,0,0
29104,507322991,196281664,0,0
30087,507323584,196282385,0,0
31091,507327905,196286223,0,0
32089,507327905,196286275,0,0
33109,507328566,196290272,0,0
34090,507352604,196291506,0,0
35145,507363200,196296536,0,0
36137,507365878,196297754,0,0
37174,507370820,196299574,0,0
38146,507371302,196300393,0,0
39139,507377990,196302764,0,0
40139,507378134,196302764,0,0
41141,507378134,196302764,0,0
42187,507378223,196302942,0,0
43190,507378223,196302942,0,0
44193,507378223,196302982,0,0
45218,507378295,196303054,0,0
46193,507378439,196303210,0,0
47190,507378439,196303306,0,0
48187,507378615,196303306,0,0
49200,507379009,196303378,0,0
50200,507379009,196303418,0,0
51190,507379009,196303418,0,0
52190,507379009,196303458,0,0
53214,507379009,196303458,0,0
54196,507379009,196303458,0,0
55198,507379009,196303458,0,0
56187,507379009,196303458,0,0
57192,507379009,196303458,0,0
58190,507379097,196303554,0,0
59188,507379767,196303554,0,0
60237,507379767,196303554,0,0
61260,507379767,196303554,0,0
62249,507379856,196303732,0,0
63240,507379856,196303732,0,0
64241,507379856,196303772,0,0
65252,507379856,196303772,0,0
66238,507379856,196303812,0,0
67290,507379856,196303864,0,0
68286,507379856,196303952,0,0
69289,507380656,196304678,0,0
70338,507380740,196304678,0,0
71349,507380740,196304678,0,0
72343,507380740,196304678,0,0
73360,507380740,196304678,0,0
74393,507380740,196304678,0,0
75397,507380740,196304678,0,0
76398,507380740,196304770,0,0
77456,507380740,196304770,0,0
78439,507380740,196304822,0,0
79447,507380917,196305096,0,0
80441,507381094,196305274,0,0
