time,hPa
836,998.65112
1835,998.62115
2842,998.61115
3886,998.56116
4973,998.55115
5939,998.54120
6936,998.54120
7936,998.53119
8937,998.53119
9937,998.53119
10989,998.54120
11989,998.54120
12990,998.56116
13988,998.56848
14996,998.56116
16002,998.57117
17040,998.58118
18038,998.58118
19040,998.57117
20038,998.58118
21076,998.58118
22043,998.57117
23041,998.57117
24035,998.57117
25069,998.59119
26087,998.55115
27086,998.57117
28086,998.57117
29103,998.57117
30086,998.58118
31090,998.58118
32088,998.57782
33109,998.56116
34089,998.56116
35145,998.57117
36136,998.58118
37173,998.56116
38146,998.56116
39138,998.56116
40138,998.55115
41141,998.55115
42187,998.55115
43189,998.56116
44192,998.56116
45217,998.56116
46191,998.55115
47190,998.53119
48187,998.53119
49200,998.52118
50200,998.52118
51189,998.51123
52190,998.53119
53213,998.52118
54195,998.53119
55197,998.53119
56187,998.54761
57192,998.54120
58187,998.52435
59187,998.54120
60236,998.54120
61259,998.54120
62249,998.53119
63238,998.51123
64240,998.50122
65251,998.50122
66237,998.50122
67290,998.51038
68286,998.51123
69289,998.51123
70338,998.52118
71348,998.53119
72342,998.54370
73360,998.57117
74393,998.57117
75397,998.56116
76397,998.55115
77455,998.56116
78439,998.58118
79446,998.58118
80440,998.58118
