time,distance
25,0.00000
75,0.00000
125,0.00000
175,0.00000
225,0.00000
275,0.00000
324,0.00000
374,0.00000
425,0.00000
476,5.00000
525,5.00000
575,5.00000
625,5.00000
675,5.00000
726,5.00000
775,5.00000
836,5.00000
876,5.00000
925,5.00000
974,5.00000
1024,5.00000
1075,5.00000
1125,5.00000
1175,5.00000
1225,5.00000
1275,5.00000
1325,5.00000
1375,5.00000
1425,5.00000
1475,5.00000
1526,5.00000
1575,5.00000
1625,5.00000
1675,5.00000
1725,5.00000
1775,5.00000
1835,5.00000
1875,5.00000
1925,5.00000
1974,5.00000
2026,5.00000
2075,5.00000
2126,5.00000
2175,5.00000
2225,5.00000
2275,5.00000
2325,5.00000
2376,5.00000
2426,5.00000
2475,5.00000
2526,5.00000
2576,5.00000
2626,5.00000
2676,5.00000
2725,5.00000
2775,5.00000
2841,5.00000
2875,5.00000
2925,5.00000
2976,5.00000
3025,5.00000
3075,5.00000
3126,5.00000
3176,5.00000
3226,5.00000
3276,5.00000
3326,5.00000
3376,5.00000
3426,5.00000
3475,5.00000
3526,5.00000
3575,5.00000
3626,5.00000
3675,5.00000
3725,5.00000
3775,5.00000
3824,5.00000
3886,5.00000
3925,5.00000
3975,5.00000
4025,5.00000
4075,5.00000
4125,5.00000
4175,5.00000
4225,5.00000
4275,5.00000
4325,5.00000
4376,5.00000
4425,5.00000
4475,5.00000
4525,5.00000
4576,5.00000
4626,5.00000
4676,5.00000
4725,5.00000
4775,5.00000
4826,5.00000
4876,5.00000
4973,5.00000
4976,5.00000
5027,5.00000
5078,5.00000
5126,5.00000
5175,5.00000
5225,5.00000
5275,5.00000
5326,5.00000
5376,5.00000
5425,5.00000
5476,5.00000
5526,5.00000
5575,5.00000
5626,5.00000
5675,5.00000
5726,5.00000
5775,5.00000
5825,5.00000
5876,5.00000
5939,5.00000
5976,5.00000
6025,5.00000
6075,5.00000
6125,5.00000
6176,5.00000
6226,5.00000
6276,5.00000
6325,5.00000
6375,5.00000
6425,5.00000
6474,5.00000
6525,5.00000
6575,5.00000
6625,5.00000
6675,5.00000
6725,5.00000
6775,5.00000
6825,5.00000
6875,5.00000
6936,5.00000
6975,5.00000
7026,5.00000
7075,5.00000
7125,5.00000
7176,5.00000
7225,5.00000
7275,5.00000
7326,5.00000
7377,5.00000
7426,5.00000
7475,5.00000
7526,5.00000
7576,5.00000
7626,5.00000
7675,5.00000
7726,0.00000
7778,0.00000
7829,0.00000
7875,0.00000
7936,0.00000
7975,0.00000
8025,0.00000
8075,0.00000
8125,5.00000
8175,5.00000
8225,5.00000
8275,5.00000
8325,5.00000
8376,5.00000
