time,dB(SPL)
25,25.57507
75,25.57507
125,25.10545
174,25.10545
224,25.10545
274,25.57507
324,25.57507
374,25.57507
425,25.57507
475,25.57507
524,25.10545
575,26.44439
625,25.10545
675,25.10545
725,25.10545
775,41.65571
836,39.73543
875,59.19037
924,55.32826
974,61.56188
1024,60.13787
1075,57.43146
1125,54.59949
1175,44.76092
1225,26.44439
1274,35.11750
1324,41.36372
1374,39.27576
1424,38.98780
1475,38.58838
1525,36.39088
1574,46.27734
1625,51.15014
1675,63.52761
1725,60.35735
1775,55.72082
1835,47.88903
1874,40.42379
1924,38.58838
1974,49.60014
2025,56.72648
2075,42.54210
2125,51.38748
2174,63.00284
2225,71.24348
2274,72.66533
2325,66.43611
2375,59.36966
2425,59.73543
2474,52.23447
2525,50.57833
2575,50.02119
2625,62.54858
2675,62.92876
2725,63.41110
2775,69.91089
2840,65.41823
2875,64.30746
2925,57.74109
2975,63.30489
3025,57.85302
3075,59.61824
3125,59.85990
3176,57.72981
3225,63.32268
3275,65.51544
3326,66.91923
3376,76.07324
3425,70.43844
3475,67.24211
3525,63.35225
3575,64.73578
3625,63.86806
3675,68.75818
3725,62.28555
3775,67.56796
3824,68.14442
3885,66.23931
3925,66.99332
3975,79.38552
4024,76.73913
4075,65.57964
4125,63.84577
4175,64.68528
4225,63.63687
4275,63.84577
4325,66.16275
4375,65.76946
4424,63.75041
4474,64.32332
4524,63.94009
4575,67.81164
4625,39.27576
4675,40.08643
4725,40.50612
4774,27.95880
4825,25.57507
4875,59.86872
4941,48.06241
4975,25.57507
5026,25.57507
5078,25.57507
5125,25.57507
5174,25.57507
5225,25.57507
5275,25.57507
5325,25.57507
5375,25.57507
5425,25.57507
5475,25.57507
5525,25.57507
5575,25.57507
5625,57.94154
5674,59.48102
5725,61.45235
5775,30.88136
5825,25.57507
5875,27.23456
5938,26.44439
5975,26.44439
6025,26.44439
6074,26.44439
6125,25.57507
6175,25.57507
6225,25.57507
6275,25.57507
6324,25.57507
6374,25.57507
6424,25.57507
6474,26.44439
6525,61.97287
6575,61.11521
6625,28.29947
6674,43.22736
6724,25.57507
6775,25.57507
6825,25.57507
6875,25.57507
6936,25.57507
6974,25.57507
7025,25.57507
7075,25.57507
7124,30.37028
7175,26.44439
7225,45.20143
7274,42.34543
7325,25.57507
7377,25.57507
7425,30.62958
7475,30.88136
7525,25.57507
7575,25.57507
7625,25.57507
7675,26.44439
7726,25.57507
7777,25.57507
7827,25.57507
7875,25.57507
7936,63.49282
7974,43.34635
8024,42.67078
8074,35.41704
8124,25.57507
8175,26.84845
8225,32.66937
8274,25.57507
8324,26.44439
8375,25.57507
8425,25.57507
8475,25.57507
8525,25.57507
8575,25.57507
8624,25.57507
8675,26.44439
8725,26.44439
8775,25.57507
8826,25.57507
8876,63.00284
8937,60.25674
8975,45.75603
9029,58.82028
9075,35.41704
9124,30.88136
9175,44.13652
9225,51.10189
9275,62.13741
9325,67.93096
9375,64.00059
9426,50.85651
9475,36.25827
9525,25.57507
9575,25.57507
9624,62.77237
9675,58.14823
9724,30.62958
9775,29.54243
9824,25.57507
9875,25.57507
9936,26.44439
9975,26.44439
10024,25.57507
10075,25.57507
10125,25.57507
10174,51.52683
10227,25.57507
10275,68.01076
10325,48.65939
10375,25.57507
10424,25.57507
10475,25.57507
10525,41.06157
10575,25.57507
10625,64.41784
10676,61.22151
10724,60.07782
10775,51.05336
10825,26.84845
10874,25.57507
10925,25.57507
10987,44.60898
11025,39.08485
11075,25.57507
11126,25.57507
11175,42.21179
11224,61.18369
11275,59.20942
11326,56.31155
11376,52.64915
11425,39.46256
11475,49.21796
11525,43.97314
11575,62.39172
11625,62.54858
11675,59.00730
11725,37.26646
11775,25.57507
11825,25.57507
11875,25.57507
11925,25.57507
11987,25.57507
12024,25.57507
12074,25.57507
12125,25.57507
12174,25.57507
12225,25.57507
12275,53.66094
12324,48.23239
12376,26.44439
12425,42.27887
12475,48.16480
12525,25.57507
12574,41.51094
12625,41.13810
12675,43.46373
12725,32.46499
12775,26.44439
12825,25.57507
12876,25.57507
12925,25.57507
12989,25.57507
13030,25.57507
13076,26.44439
13124,26.44439
13174,26.44439
13225,25.57507
13275,25.57507
13324,25.57507
13375,26.44439
13425,25.57507
13476,25.57507
13525,25.10545
13575,25.57507
13625,25.57507
13676,25.57507
13725,25.57507
13775,25.57507
13825,25.57507
13875,25.57507
13925,25.10545
13987,25.10545
14025,25.57507
14075,26.84845
14125,26.44439
14175,26.44439
14225,25.57507
14275,26.44439
14325,25.57507
14375,30.62958
14425,25.57507
14476,26.44439
14526,26.44439
14575,25.57507
14625,25.57507
14675,25.57507
14724,30.62958
14775,25.57507
14825,25.57507
14874,25.57507
14925,25.57507
14995,25.57507
15025,30.62958
15075,37.84189
15126,25.57507
15175,25.57507
15225,25.57507
15275,26.44439
15324,25.57507
15374,25.57507
15424,27.23456
15474,25.57507
15524,43.04577
15575,39.08485
15625,26.44439
15675,25.57507
15725,26.44439
15774,25.57507
15824,26.44439
15874,25.57507
15924,26.44439
16001,25.57507
16029,26.44439
16075,26.44439
16125,25.57507
16175,25.57507
16225,25.57507
16275,25.57507
16325,25.57507
16375,25.57507
16425,26.44439
16474,26.44439
16525,25.57507
16575,26.44439
16625,25.57507
16675,26.44439
16725,25.57507
16775,26.44439
16826,25.57507
16875,26.44439
16926,25.57507
16975,25.57507
17039,25.57507
17100,25.57507
17130,25.10545
17174,25.57507
17224,25.57507
