time,steps
837,54
18038,55
19041,56
20038,57
21077,58
22043,59
23041,60
24035,62
25069,63
26087,65
27086,66
28086,67
29104,68
30087,70
31091,71
32089,72
33109,73
34089,75
35145,77
36137,79
37174,81
38146,82
39139,84
40138,85
41141,86
42187,87
43189,88
44193,89
45217,91
46193,92
47190,94
48187,96
49200,97
50200,98
51190,99
52190,100
53214,102
54196,103
55198,104
56187,106
57192,108
58190,109
59187,110
60236,111
61260,112
62249,113
63240,114
64241,115
65252,118
66238,120
67290,121
68286,123
69289,124
73360,125
74393,128
75397,131
76397,133
77456,135
78439,136
79447,138
