time,x,y,z
5,-0.07979,-1.12494,9.81508
53,-0.32761,-0.91342,9.39792
103,-0.08032,-1.07327,10.12764
154,-0.08624,-1.22078,9.62335
204,-0.03812,-1.09059,9.81616
258,0.13374,-1.23756,9.92747
304,0.14819,-1.21344,9.83704
354,-0.29657,-0.70004,9.11916
404,0.14256,-1.05804,9.90770
454,0.00621,-1.04207,9.69235
504,0.25345,-0.97092,9.98184
555,0.03069,-0.69817,9.73051
604,-0.33545,-0.52176,9.41672
654,-0.10999,-0.96799,10.15965
704,-0.22478,-1.04852,9.77026
754,-0.39891,-0.81921,9.78284
804,-0.25227,-0.52873,9.56418
854,-0.05910,-0.46782,9.68111
905,-0.33072,-0.51924,9.79659
954,-0.37210,-0.28348,9.62584
1004,-0.23779,-0.47461,9.92996
1053,0.00873,-0.78224,9.81383
1103,0.02795,-0.79398,9.47371
1154,0.02171,-0.75525,9.87006
1204,0.06526,-0.78381,9.91574
1254,-0.12000,-0.66508,9.91821
1307,-0.02840,-0.81096,9.63849
1354,-0.36858,-0.55304,9.43643
1403,0.04164,-0.95903,10.09196
1454,-0.07361,-0.79395,9.69781
1504,-0.01889,-0.86961,9.66168
1553,-0.01547,-0.87775,9.85643
1603,0.17122,-0.69530,9.93246
1655,-0.00093,-0.71059,9.61462
1705,-0.00363,-0.72353,9.39047
1755,0.00635,-0.85666,9.66824
1804,0.51384,-1.12778,10.05676
1854,0.09229,-0.96976,10.55389
1903,0.19749,-0.91435,9.47769
1954,-0.03581,-0.83502,9.33704
2003,0.07208,-1.05638,9.91896
2054,-0.03360,-1.06703,10.07817
2105,-0.08975,-0.92360,9.66971
2153,0.11284,-0.91434,9.76591
2203,0.09862,-0.81316,9.55899
2255,0.31885,-0.72917,9.95181
2314,-0.05084,-0.86606,9.63020
2354,-0.16922,-1.00955,9.66008
2404,0.13826,-0.91573,9.91473
2454,-0.10054,-1.01413,9.65508
2504,0.08032,-0.91084,9.53253
2554,0.35033,-0.82875,10.00723
2604,0.02798,-0.87177,9.77879
2655,0.16464,-0.93974,9.85948
2704,0.21576,-1.03592,9.94737
2754,0.03220,-1.00195,9.56418
2804,0.19389,-0.88968,9.79388
2854,0.20657,-0.77089,9.82919
2904,0.11586,-0.85065,9.84888
2954,0.04158,-1.02866,9.68253
3004,-0.02882,-1.09163,9.62021
3055,0.02649,-0.99919,9.74199
3104,0.02750,-0.98430,9.62927
3154,0.09705,-1.03185,9.53212
3204,0.35104,-0.91342,9.63716
3254,-0.03600,-1.13934,9.74562
3322,0.19141,-1.03716,9.93669
3354,0.35654,-0.95010,10.17322
3404,0.30356,-1.06914,9.99518
3454,0.44263,-0.94597,9.84392
3504,0.27820,-1.07640,9.65314
3554,0.08694,-1.10135,9.63130
3604,0.10042,-1.12715,9.51654
3654,0.40543,-1.01346,9.59651
