time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
259,82,4126,24.7,-9223372036854775808,37000,0
1308,82,4126,24.7,-9223372036854775808,37000,0
2316,82,4126,24.7,-9223372036854775808,37000,0
3324,82,4126,24.7,-9223372036854775808,37000,0
4320,82,4126,24.7,-9223372036854775808,37000,0
5358,82,4126,24.7,-9223372036854775808,37000,0
6360,82,4126,24.7,-9223372036854775808,37000,0
7408,82,4126,24.7,-9223372036854775808,37000,0
8408,82,4126,24.7,-9223372036854775808,37000,0
9407,82,4126,24.7,-9223372036854775808,37000,0
10411,82,4126,24.7,-9223372036854775808,37000,0
11408,82,4126,24.7,-9223372036854775808,37000,0
12464,82,4126,24.7,-9223372036854775808,37000,0
13458,82,4126,24.7,-9223372036854775808,37000,0
14466,82,4126,24.7,-9223372036854775808,37000,0
15507,82,4126,24.7,-9223372036854775808,37000,0
16508,82,4126,24.7,-9223372036854775808,37000,0
17511,82,4126,24.7,-9223372036854775808,37000,0
18518,82,4126,24.7,-9223372036854775808,37000,0
19510,82,4126,24.7,-9223372036854775808,37000,0
20513,82,4126,24.7,-9223372036854775808,37000,0
21516,82,4126,24.7,-9223372036854775808,37000,0
22512,82,4126,24.7,-9223372036854775808,37000,0
23509,82,4126,24.7,-9223372036854775808,37000,0
24561,82,4126,24.7,-9223372036854775808,425000,0
25571,82,4126,24.7,-9223372036854775808,425000,0
26559,82,4126,24.7,-9223372036854775808,425000,0
27564,82,4126,24.7,-9223372036854775808,425000,0
28573,82,4126,24.7,-9223372036854775808,425000,0
29608,82,4126,24.7,-9223372036854775808,425000,0
30609,82,4126,24.7,-9223372036854775808,431000,0
31616,82,4126,24.7,-9223372036854775808,431000,0
32608,82,4126,24.7,-9223372036854775808,431000,0
33633,82,4126,24.7,-9223372036854775808,431000,0
34657,82,4126,24.7,-9223372036854775808,431000,0
35714,82,4126,24.7,-9223372036854775808,431000,0
36711,82,4126,24.7,-9223372036854775808,426000,0
37708,82,4126,24.7,-9223372036854775808,426000,0
38713,82,4126,24.7,-9223372036854775808,426000,0
39709,82,4126,24.7,-9223372036854775808,426000,0
40709,82,4126,24.7,-9223372036854775808,426000,0
41773,82,4126,24.7,-9223372036854775808,426000,0
42811,82,4126,24.7,-9223372036854775808,518000,0
43858,82,4126,24.7,-9223372036854775808,518000,0
44863,82,4126,24.7,-9223372036854775808,518000,0
45861,82,4126,24.7,-9223372036854775808,518000,0
46857,82,4126,24.7,-9223372036854775808,518000,0
47860,82,4126,24.7,-9223372036854775808,518000,0
48862,82,4126,24.7,-9223372036854775808,446000,0
49867,82,4126,24.7,-9223372036854775808,446000,0
50856,82,4126,24.7,-9223372036854775808,446000,0
51859,82,4126,24.7,-9223372036854775808,446000,0
52857,82,4126,24.7,-9223372036854775808,446000,0
53859,82,4126,24.7,-9223372036854775808,446000,0
54864,82,4126,24.7,-9223372036854775808,431000,0
55865,82,4126,24.7,-9223372036854775808,431000,0
56857,82,4126,24.7,-9223372036854775808,431000,0
57863,82,4126,24.7,-9223372036854775808,431000,0
58862,82,4126,24.7,-9223372036854775808,431000,0
59862,82,4126,24.7,-9223372036854775808,431000,0
60857,82,4126,24.7,-9223372036854775808,454000,0
61874,82,4126,24.7,-9223372036854775808,454000,0
62858,82,4126,24.7,-9223372036854775808,454000,0
63856,82,4126,24.7,-9223372036854775808,454000,0
64858,82,4126,24.7,-9223372036854775808,454000,0
65856,82,4126,24.7,-9223372036854775808,454000,0
66857,82,4126,24.7,-9223372036854775808,617000,0
67858,82,4126,24.7,-9223372036854775808,617000,0
68908,82,4126,24.7,-9223372036854775808,617000,0
