time,azimuth
6,-138
54,-139
104,-137
154,-138
204,-138
258,-136
304,-137
354,-140
404,-137
454,-138
504,-136
556,-139
605,-140
655,-139
705,-139
755,-140
805,-140
854,-139
905,-139
954,-139
1005,-140
1054,-138
1104,-138
1155,-138
1204,-138
1255,-139
1307,-138
1354,-140
1404,-138
1455,-139
1504,-138
1554,-138
1603,-139
1656,-139
1706,-138
1756,-138
1804,-136
1855,-138
1904,-138
1955,-138
2004,-138
2054,-138
2105,-139
2154,-138
2204,-138
2256,-138
2316,-139
2355,-139
2404,-138
2454,-139
2505,-138
2554,-138
2604,-139
2656,-138
2705,-137
2754,-138
2805,-138
2854,-138
2905,-139
2954,-138
3004,-138
3055,-138
3104,-138
3154,-138
3205,-138
3255,-138
3323,-138
3354,-138
3404,-138
3454,-138
3504,-138
3555,-138
3605,-138
3655,-137
3705,-138
3754,-138
3804,-138
3854,-138
3904,-138
3955,-138
4004,-138
4054,-138
4104,-138
4154,-138
4204,-138
4255,-138
4319,-138
4353,-137
4404,-137
4455,-137
4504,-138
4555,-138
4604,-138
4654,-138
4704,-138
4754,-138
4805,-138
4854,-138
4905,-138
4955,-138
5005,-138
5056,-138
5105,-138
5154,-138
5205,-138
5255,-137
5304,-138
5358,-138
5405,-138
5454,-138
5504,-137
5554,-137
5605,-138
5655,-139
5704,-136
5755,-147
5804,-148
5854,-114
5905,-135
5955,-138
6004,-134
6054,-142
6105,-124
6155,112
6204,154
6253,-133
6305,-135
6360,-138
6404,-129
6456,-82
6505,132
6554,117
6605,-127
6656,-135
6704,-141
6754,-139
6805,-117
6855,-154
6904,127
6955,-107
7005,-130
7055,-131
7104,-135
7155,-138
7204,-136
7254,-128
7304,153
7354,59
7407,-10
7457,-128
7505,-133
7555,-136
7605,-137
7654,-130
7705,-127
7754,84
7804,115
7855,157
7904,-134
7955,-137
8006,-137
8055,-129
8104,-9
8155,111
8204,80
8254,-94
8304,-84
8354,17
8408,6
8454,-1
8504,-29
8555,-62
8605,-47
8655,-90
8704,-7
8754,16
8804,-38
8854,-48
8905,-99
8955,-99
9005,-113
9055,-78
9105,-15
9154,7
9204,-27
9254,-93
9304,11
9355,-18
9407,-92
9453,-30
9504,-2
9554,-49
9604,23
9654,-15
9704,-65
9754,-44
9804,-88
9854,-28
9904,-25
9955,-169
10004,120
10055,-24
10105,66
10154,17
10205,-18
10255,34
10304,27
10355,33
10411,94
10454,-149
10504,5
10554,28
10604,7
10654,0
10704,30
10754,89
10805,56
10854,26
10904,40
10955,67
11006,55
11055,85
11105,6
11154,-20
11204,14
11254,98
11305,83
11354,46
11408,34
11454,13
11504,-15
11554,27
11604,111
11656,122
11705,32
11756,35
11804,63
11854,4
11904,30
11955,76
12004,61
12054,47
12105,16
12154,-1
12204,7
12254,24
12305,155
12354,120
12405,53
12464,-12
12505,-2
12555,9
12605,25
12654,122
12705,92
12754,51
12804,4
12855,5
12904,14
12955,25
13004,76
13054,103
13103,68
13154,34
13205,5
13255,12
13304,11
13354,28
13405,116
13458,112
13503,55
13555,2
13605,-2
13654,22
13704,31
13756,63
13805,94
13854,58
13905,40
13954,22
14006,10
14054,17
14104,46
14154,105
14205,57
14255,38
14305,-7
14354,-4
14405,28
14465,76
14504,84
14554,64
14604,45
14655,27
14704,32
14755,37
14804,47
14855,39
14905,21
14954,55
15004,44
15055,39
15104,31
15154,47
15204,45
15256,37
15304,42
15355,31
15404,26
15454,30
15506,43
15554,42
15604,43
15654,51
15704,26
15755,35
15805,41
15855,43
15904,21
15954,13
16005,53
16054,39
16104,-1
16154,5
16204,4
16255,6
16304,13
16354,-11
16404,23
16454,14
16508,14
16554,18
16604,-102
16654,-3
16704,-9
16755,-40
16804,4
16855,10
16904,-2
16954,-49
17004,-90
17055,-97
17104,-50
17154,-18
17204,21
17255,36
17305,19
17354,89
17405,-82
17454,-89
17511,4
17554,32
17604,25
17654,-2
17704,-41
17754,-113
17804,-88
17856,-78
17905,4
17955,23
18004,19
18054,-25
18105,-111
18155,-114
18204,-78
18254,-66
18305,33
18354,29
18405,-23
18454,-114
18518,-29
18555,-96
18604,-71
18655,26
18704,16
18754,-35
18804,-137
18855,36
18905,-94
18955,-24
19004,18
19055,28
19105,-1
19155,-60
19205,-94
19254,-124
19304,-109
19354,-87
19405,16
19454,37
19510,19
19554,-42
19604,-86
19655,-124
19704,-89
19754,-30
19805,28
19855,14
19905,-67
19956,-125
20005,-130
20054,-108
20104,-66
20155,-8
20204,18
20254,16
20304,-17
20354,-45
20405,-72
20454,-100
20513,-102
20554,-73
20604,-17
20654,50
20705,40
20754,-38
20804,-99
20854,-113
20905,-62
20954,-48
21004,-43
21054,-62
21104,-58
21154,-42
21204,-45
21255,-100
21305,-82
21354,-93
21404,-106
21455,-130
21516,-108
21554,-107
21604,-97
21654,-11
21706,-116
21754,-54
21804,-153
21854,-153
21904,-167
21954,63
22005,138
22055,-169
22105,106
22156,126
22204,146
22255,177
22304,62
22355,-150
22405,-50
22454,-150
22511,-67
22554,51
22605,142
22654,131
22705,137
22756,150
22805,120
22855,-10
22905,150
22954,167
23004,23
23055,-178
23104,-28
23154,20
23204,-80
23255,125
23305,113
23354,-96
23404,-9
23455,-152
23509,170
23554,9
23605,62
23654,142
23704,173
23755,31
23804,-31
23855,-91
23905,113
23956,144
24004,-57
24054,34
24104,-67
24155,160
24204,7
24255,-39
24305,-12
24355,89
24405,127
24455,124
24504,135
24561,2
24604,106
24655,103
24705,148
24755,128
24805,136
24854,152
24904,48
24955,-26
25004,-57
25056,144
25104,132
25154,167
25204,47
25255,53
25305,146
25354,151
25405,-21
25455,142
25506,151
25570,116
25604,149
25654,7
25704,-122
25755,-171
25804,116
25855,-87
25905,0
25955,13
26004,143
26054,135
26104,68
26154,143
26204,161
26254,-179
26304,112
26354,-7
26405,-101
26454,122
26504,124
26559,-38
26605,-36
26655,171
26704,145
26755,-1
26805,105
26855,100
26905,19
26954,144
27004,166
27054,93
27105,104
27154,41
27205,151
27256,44
27305,81
27355,83
27408,56
27454,84
27505,88
27563,92
27604,-59
27654,54
27704,18
27754,-150
27804,35
27855,30
27906,25
27955,12
28005,31
28055,31
28104,31
28155,4
28204,43
28255,24
28304,29
28354,11
28404,-3
28455,23
28505,-28
28573,-4
28604,-51
28655,-18
28704,-72
28756,1
28805,-40
28855,-24
28904,47
28955,-106
29004,-63
29054,-37
29104,38
29155,22
29204,-50
29255,-71
29304,-100
29354,-93
29404,-102
29454,-104
29504,58
29555,-41
29608,10
29654,-73
29704,-139
29754,-82
29804,-115
29855,-95
29904,29
29954,-13
30006,-14
30056,-74
30105,-111
30156,-104
30205,-93
30254,-23
30304,-22
30354,-25
30405,-19
30454,-73
30506,-108
30554,-103
30609,-105
30654,-91
30704,-39
30756,-19
30805,0
30854,-91
30905,-90
30955,-106
31005,-128
31055,-61
31104,-27
31155,13
31204,-41
31255,-93
31304,-148
31355,-113
31404,-51
31454,-9
31504,-31
31555,-101
31616,-94
31653,-147
31704,-137
31754,136
31804,-8
31855,4
31904,-88
31954,-102
32004,-137
32055,-146
32104,33
32155,-5
32204,-116
32254,-112
32304,-110
32355,-121
32406,-134
32454,22
32504,25
32554,-51
32608,-126
32654,-118
32705,-112
32754,-115
32804,-15
32854,10
32906,-113
32954,-118
33004,-33
33054,77
33105,155
33154,160
33205,-131
33256,-125
33304,-34
33356,-170
33404,-151
33456,-169
33505,177
33555,176
33633,-94
33654,-34
33705,142
33755,-143
33805,-170
33854,-141
33904,150
33955,-69
34005,16
34054,172
34104,-28
34154,-171
34204,-40
34254,-43
34304,-73
34354,-23
34404,-36
34454,-136
34504,-157
34554,120
34604,155
34657,146
34705,131
34755,128
34805,34
34855,-161
34905,-22
34954,38
35004,141
35055,120
35105,131
35154,70
35204,39
35254,46
35304,133
35355,19
35406,-1
35454,-50
35504,72
35554,23
35603,29
35654,104
35713,119
35754,60
35805,53
35856,176
35906,-12
35955,-1
36005,13
36055,160
36105,110
36155,28
36205,87
36255,-114
36305,-7
36355,22
36403,94
36455,139
36504,118
36555,20
36605,-75
36654,-59
36711,65
36754,71
36804,95
36855,132
36906,132
36954,-57
37005,-46
37056,-35
37105,30
37154,97
37205,87
37254,105
37305,77
37354,-114
37404,-130
37454,-25
37504,43
37554,88
37603,70
37653,68
37708,112
37754,133
37805,-127
37856,-151
37904,-81
37955,101
38005,39
38054,58
38104,129
38154,140
38204,-1
38255,-35
38304,-32
38354,35
38404,66
38454,110
38505,131
38554,75
38604,-34
38655,-34
38712,-13
38754,4
38804,29
38854,133
38904,126
38954,140
39004,121
39054,98
39105,104
39154,70
39204,6
39254,84
39305,68
39354,161
39405,160
39455,143
39505,179
39554,-107
39604,-64
39654,142
39709,-63
39753,-19
39804,-128
39854,26
39904,168
39955,180
40005,129
40054,47
40105,180
40155,-15
40204,6
40254,-166
40304,78
40354,-153
40404,-65
40454,142
40504,112
40555,4
40605,-24
40655,-139
40708,-136
40755,-136
40805,-138
40854,-91
40905,-154
40954,41
41006,-2
41054,-28
41105,-130
41154,-128
41205,-125
41255,-131
41304,-72
41356,39
41405,26
41454,-99
41503,-84
41555,-127
41604,-138
41655,-141
41704,-144
41773,49
41804,21
41855,-26
41904,-107
41955,-130
42005,-141
42055,-126
42105,58
42154,39
42204,-88
42254,-119
42305,-122
42353,-114
42405,-93
42454,-116
42505,-161
42555,-55
42604,-104
42655,-116
42706,-110
42754,-108
42811,-53
42854,-144
42904,-144
42954,-124
43005,-113
43054,-111
43105,-114
43154,-140
43204,-164
43255,-171
43305,-125
43355,-127
43404,-107
43455,-119
43504,-142
43554,-173
43604,122
43654,-156
43704,-80
43755,-86
43804,-130
43858,-150
43904,-157
43954,-160
44005,-152
44054,-123
44106,-121
44154,-106
44205,-21
44254,-34
44304,-44
44355,-94
44404,-128
44454,-90
44505,-41
44555,-112
44604,-97
44655,-119
44705,-92
44754,-123
44804,-123
44862,-37
44904,-40
44955,-77
45005,-59
45054,-69
45105,-61
45155,-57
45205,-19
45255,-2
45305,25
45354,4
45405,31
45454,11
45504,17
45555,9
45605,57
45654,34
45704,25
45754,47
45805,81
45861,-42
45904,-144
45955,147
46004,123
46055,-79
46104,37
46154,49
46205,122
46254,81
46305,157
46354,-149
46405,33
46454,133
46504,-168
46554,15
46603,105
46654,53
46704,108
46754,149
46805,32
46857,169
46904,-145
46956,57
47005,98
47055,79
47104,106
47155,173
47204,42
47255,-156
47304,-172
47354,42
47404,98
47454,97
47503,120
47555,30
47605,79
47655,133
47704,33
47754,77
47805,76
47860,117
47904,149
47955,36
48004,49
48054,-165
48104,166
48154,49
48204,110
48255,105
48304,87
48356,38
48405,76
48456,61
48505,133
48555,140
48605,-164
48657,-172
48705,15
48754,14
48804,-155
48862,151
48904,103
48954,126
49005,131
49055,43
49105,26
49155,70
49205,117
49254,84
49305,36
49354,-176
49404,-176
49455,37
49504,45
49555,28
49604,174
49654,152
49705,173
49754,11
49804,117
49866,34
49904,6
49955,-127
50005,-158
50055,84
50105,130
50154,140
50204,-15
50254,67
50304,95
50356,91
50404,52
50455,161
50504,60
50555,29
50605,121
50654,8
50704,-54
50755,170
50806,-173
50856,-45
50904,-109
50954,-93
51004,102
51055,140
51104,102
51156,124
51204,169
51255,-152
51304,-144
51354,-112
51404,-111
51455,-81
51505,-177
51554,171
51603,-71
51654,-99
51704,-54
51755,-30
51804,-49
51858,78
51904,-61
51955,-70
52004,-1
52054,24
52105,9
52155,-83
52205,-101
52256,77
52303,-99
52354,-76
52405,-2
52454,5
52504,-44
52555,-68
52604,-95
52654,-101
52705,-73
52754,-3
52805,17
52857,-52
52904,-99
52955,-94
53004,-109
53055,-113
53105,-39
53154,10
53204,12
53254,-93
53304,-102
53354,-110
53406,-111
53455,-117
53505,-10
53554,37
53604,39
53655,-109
53705,-112
53754,-100
53806,-115
53858,-121
53905,33
53954,56
54005,-100
54054,-99
54105,-108
54154,-116
54205,-115
54254,7
54304,53
54355,34
54405,-91
54454,-100
54504,-111
54555,-119
54605,-13
54655,29
54705,-111
54754,-102
54804,-102
54864,-129
54903,-108
54954,-55
55005,14
55054,18
55104,-108
55156,-129
55205,-138
55254,-101
55304,-121
55354,-137
55408,-153
55455,85
55505,-88
55555,-73
55604,-121
55656,-117
55705,32
55754,-97
55804,-129
55865,-85
55904,-69
55954,-87
56004,-93
56054,-78
56105,-59
56155,-49
56204,-39
56255,-54
56305,-55
56355,-76
56404,-21
56455,-27
56504,-36
56555,-15
56605,-45
56654,43
56704,-17
56754,10
56804,23
56857,-10
56904,6
56954,14
57006,13
57054,2
57105,-55
57154,-134
57205,-154
57255,159
57304,-158
57355,-151
57404,132
57454,46
57503,144
57554,153
57604,9
57655,107
57705,173
57754,-60
57804,-30
57862,87
57904,154
57954,114
58004,146
58055,154
58104,-155
58154,-59
58205,9
58255,-40
58305,99
58354,116
58404,78
58454,166
58505,-142
58554,-83
58605,33
58654,-33
58704,-166
58754,127
58805,111
58862,145
58905,-164
58954,-22
59004,46
59055,31
59104,-119
59155,-175
59203,101
59254,134
59304,146
59354,-62
59404,-14
59454,118
59504,-123
59556,146
59605,101
59654,144
59705,-166
59755,-9
59804,111
59862,-165
59904,-172
59954,156
60005,-148
60054,136
60106,121
60155,118
60206,-162
60254,-93
60305,-176
60354,99
60404,-113
60454,114
60504,115
60555,96
60604,94
60655,-117
60704,-164
60755,101
60804,115
60857,97
60904,110
60955,139
61004,165
61054,9
61104,124
61155,135
61205,86
61254,103
61304,127
61355,122
61405,165
61454,174
61504,139
61554,146
61605,122
61654,147
61705,119
61754,163
61804,141
61873,128
61904,99
61954,144
62005,-48
62055,90
62104,143
62155,-179
62204,145
62255,37
62305,156
62354,106
62404,120
62454,76
62505,122
62554,116
62604,120
62655,90
62705,82
62754,-156
62804,-57
62858,-149
62904,-152
62955,139
63005,36
63057,43
63104,28
63154,47
63204,45
63253,16
63304,-8
63356,25
63405,46
63455,-1
63504,-11
63554,-10
63605,-15
63653,-19
63704,-15
63755,-43
63804,-55
63856,-62
63904,-5
63954,-27
64004,-28
64054,-56
64103,-46
64154,-17
64204,-24
64254,-56
64304,-49
64354,-49
64404,-87
64454,-105
64504,-49
64554,-74
64604,-14
64654,32
64704,29
64754,-55
64804,-78
64858,-106
64904,-98
64954,-99
65004,27
65054,44
65103,39
65154,-47
65204,-100
65254,-90
65304,-106
65354,-88
65404,36
65455,44
65504,-19
65554,-36
65604,-109
65654,-100
65703,-96
65754,-78
65804,-4
65856,42
65904,55
65954,-29
66004,-88
66054,-102
66104,-103
66154,-91
66203,-45
66254,33
66304,31
66354,-45
66403,-74
66454,-96
66504,-103
66554,-84
66604,-2
66654,33
66704,24
66753,-91
66804,-103
66856,-110
66904,-82
66954,-44
67003,36
67054,39
67104,-92
67154,-111
67204,-116
67254,-123
67304,-107
67355,-42
67404,37
67454,39
67504,0
67554,-76
67604,-105
67654,-108
67704,-105
67754,-86
67804,12
67858,40
67904,-56
67954,-60
68004,-123
68054,-135
68103,-79
68154,-31
68205,-132
68253,-10
68304,-57
68354,-118
68404,-50
68454,-106
68505,-63
68553,-116
68605,-10
68654,-42
68704,-57
68754,-73
68804,-68
68854,-64
68907,-61
68954,-56
69004,-55
69054,-71
69104,-60
69154,-70
69204,-86
69253,-71
69304,-59
