time,USER,SYSTEM,IOW,IRQ
259,0,0,0,0
1308,33,66,0,0
2316,25,75,0,0
3324,0,0,0,0
4320,0,0,0,0
5358,0,0,0,0
6360,0,0,0,0
7408,33,66,0,0
8408,0,0,0,0
9407,0,75,0,0
10411,50,50,0,0
11409,0,0,0,0
12464,0,0,0,0
13458,0,0,0,0
14470,50,50,0,0
15507,0,0,0,0
16509,25,75,0,0
17511,0,0,0,0
18519,50,50,0,0
19510,0,0,0,0
20514,0,0,0,0
21517,0,0,0,0
22512,0,0,0,0
23509,0,0,0,0
24561,0,0,0,0
25571,0,0,0,0
26559,60,20,0,0
27564,33,33,0,0
28573,25,50,0,25
29608,33,33,0,0
30610,0,0,0,0
31616,75,25,0,0
32608,25,50,0,0
33633,0,0,0,0
34657,0,0,0,0
35714,50,50,0,0
36711,0,0,0,0
37708,0,0,0,0
38713,25,75,0,0
39709,66,33,0,0
40710,75,25,0,0
41774,66,33,0,0
42812,0,0,0,0
43858,0,0,0,0
44870,0,0,0,0
45861,33,33,0,0
46857,0,0,0,0
47860,0,0,0,0
48863,0,0,0,0
49867,0,0,0,0
50856,0,0,0,0
51859,0,0,0,0
52857,0,0,0,0
53859,0,0,0,0
54865,50,50,0,0
55868,0,0,0,0
56857,0,0,0,0
57864,0,0,0,0
58862,0,0,0,0
59864,50,25,0,25
60857,0,0,0,0
61874,50,50,0,0
62859,0,0,0,0
63856,0,0,0,0
64858,0,0,0,0
65856,60,20,0,0
66857,75,25,0,0
67858,50,50,0,0
68908,0,0,0,0
