time,x,y,z
6,-0.02798,-0.15579,0.01424
54,-0.07805,-0.03775,0.05043
104,-0.19281,0.12244,0.01979
154,0.10703,-0.12695,0.03194
204,-0.09822,-0.05063,-0.00731
258,0.04259,0.05966,0.11501
304,0.23911,0.06747,0.04332
354,0.19849,0.09917,0.20482
404,0.02435,-0.18706,0.23398
454,0.39537,-0.03777,-0.08427
504,-0.11847,0.09923,-0.38457
556,-0.08127,-0.10873,-0.29279
605,-0.23605,0.03056,-0.05675
654,-0.26245,-0.04112,-0.05006
704,-0.03163,-0.06294,-0.09860
755,0.43144,0.21251,-0.08914
805,0.30365,0.25171,-0.04636
854,0.26190,0.11626,0.18547
905,0.03171,-0.04449,0.16930
954,0.01367,-0.18336,-0.04639
1004,-0.18755,-0.13858,0.12726
1053,-0.03209,-0.05864,0.05121
1103,-0.07024,-0.03119,0.03131
1155,-0.10039,0.05020,0.04916
1204,-0.01216,0.03610,0.04427
1254,0.04431,-0.05824,0.03606
1307,-0.01065,-0.09308,0.05212
1354,-0.03705,0.00266,-0.01735
1404,-0.07271,0.00667,0.02002
1455,0.05035,0.05429,-0.00768
1504,0.01094,0.00136,0.03831
1553,0.02470,-0.00734,-0.02812
1603,0.05966,-0.16747,0.00131
1656,0.04596,-0.09756,-0.05142
1705,-0.05664,0.04622,0.01076
1756,-0.31235,0.22028,0.00299
1804,-0.34930,0.09540,0.07333
1855,0.12088,-0.11140,0.10646
1904,0.17953,-0.11005,-0.06590
1954,0.01782,-0.06587,-0.09152
2004,-0.07225,-0.12314,-0.08055
2054,0.01422,0.00746,-0.06737
2105,0.04796,-0.03242,-0.00182
2154,-0.00012,-0.03613,0.01059
2204,0.01799,-0.00644,-0.00883
2255,-0.04846,0.06377,-0.04980
2315,0.01048,0.00955,-0.08324
2355,0.00101,-0.08977,-0.01468
2404,-0.00403,0.04666,-0.01927
2454,0.03522,-0.03723,-0.00621
2505,-0.03404,0.00497,0.04634
2554,-0.06438,-0.06241,0.00917
2604,-0.00067,0.00964,-0.00598
2655,-0.04318,-0.01707,0.02127
2704,0.03001,0.08560,-0.02522
2754,-0.00078,0.01326,-0.00221
2804,-0.03139,-0.02991,0.00314
2854,-0.01370,-0.00829,0.01495
2904,0.00392,-0.02592,-0.03209
2954,0.03835,0.02307,-0.03139
3004,-0.01945,0.00070,-0.00201
3055,-0.01305,-0.04942,0.04591
3104,-0.01370,-0.00517,0.04935
3154,-0.06001,-0.05316,0.08179
3205,-0.08224,-0.00977,0.02815
3255,-0.08333,-0.05045,0.03564
3323,-0.07828,-0.06590,0.08820
3354,-0.04416,-0.03764,0.04716
3404,0.04410,-0.01064,0.04025
3454,0.05653,-0.00101,0.01869
3504,0.03351,0.01674,-0.02660
3554,0.00420,-0.00815,-0.01657
3604,0.03197,0.03685,-0.00986
3655,-0.02812,0.01006,-0.01062
3704,-0.05446,-0.04231,-0.04837
3754,-0.00421,0.02576,0.00111
3804,-0.03362,-0.05411,-0.06747
3854,-0.06310,-0.01285,-0.06874
3904,0.03401,-0.02203,-0.06229
3955,-0.02037,0.02365,-0.06464
4004,0.03331,-0.00523,-0.02795
4054,-0.00717,0.01433,-0.01445
4104,0.00067,-0.00220,-0.01465
4154,-0.02141,0.00572,0.01347
4204,-0.02618,0.00336,0.04744
4255,-0.04279,-0.03413,0.03992
4319,-0.03177,-0.02290,-0.00920
4353,0.02722,0.00703,0.04208
4404,0.04509,-0.00197,-0.02408
4454,-0.04871,0.00436,-0.06250
4504,0.02629,-0.00294,-0.01385
4555,-0.02539,-0.01320,-0.02531
4604,-0.00793,0.01761,0.00015
4654,-0.01700,-0.00482,0.00415
4704,0.02104,0.02408,0.02043
4754,-0.01074,-0.02501,0.02058
4805,0.00897,0.01285,0.01035
4854,0.01682,-0.00681,-0.01392
4905,-0.01714,-0.00716,-0.01196
4955,0.01797,0.00208,-0.00436
5005,0.00716,-0.00575,-0.00095
5056,-0.02855,0.00963,-0.02080
5105,0.00641,0.00079,0.00217
5154,-0.00127,0.00089,0.01726
5205,-0.07716,-0.03085,0.00557
5255,-0.02156,-0.01819,0.01918
5304,-0.04048,0.00027,-0.00644
5358,0.02287,0.01465,0.00261
5405,-0.01570,-0.01247,0.01208
5454,-0.03622,-0.08629,-0.01656
5504,-0.09387,-0.00346,-0.11380
5554,0.32405,-0.77951,-0.23576
5605,1.11107,-0.45805,-0.51064
5655,2.00409,-0.88954,-0.31122
5704,1.03336,1.00172,-0.31808
5754,-0.19563,0.84547,0.48006
5804,-2.16316,1.90779,0.92953
5854,-2.32639,-0.64961,0.30910
5905,-1.93147,-1.57703,-0.77827
5955,2.77510,-0.25322,-0.34717
6004,3.67865,-0.35956,-0.39412
6054,1.92825,-0.01805,-0.74544
6105,0.74496,0.26686,-0.39888
6155,-0.22362,-0.58401,0.04973
6204,-2.83891,-0.43225,0.35703
6253,-3.33183,1.08418,1.92638
6305,-2.32841,-0.58928,2.10452
6360,3.45763,-0.37749,0.12236
6404,5.53578,-1.27625,-0.17572
6455,4.84560,-3.71771,-1.01924
6505,0.77469,-0.05394,-0.49263
6554,-2.60219,3.03772,0.13487
6605,-5.49796,4.52798,0.44975
6655,-4.43031,2.38344,0.50998
6704,0.10252,-1.99310,0.06737
6754,3.98904,-3.51376,-0.41054
6805,4.98741,-5.09575,-1.74576
6854,3.32755,-4.33203,-1.85136
6904,-1.13895,1.77203,-0.36076
6954,-3.22995,3.32573,0.64607
7005,-4.39056,3.76753,1.72368
7054,-6.18141,3.74763,1.36337
7104,-1.95844,-1.52394,0.80695
7155,2.01520,-1.37831,-0.38020
7203,3.42746,-0.62476,-0.84012
7254,4.71902,-0.84172,-1.47934
7304,2.07693,-0.50961,-0.94585
7354,-0.19958,0.39375,-0.33301
7407,-2.51482,0.20168,0.56973
7456,-4.89621,0.72466,1.34209
7505,-5.06175,0.94984,1.05289
7555,0.09880,0.24962,0.46217
7604,3.02016,-0.10939,-0.26228
7654,3.89133,0.09273,-0.87062
7704,3.66975,0.11122,-1.02994
7754,1.77396,0.15712,-0.60397
7804,-0.29448,0.03516,-0.32352
7855,-3.14293,-0.38618,-0.07558
7904,-4.76727,0.02327,0.10210
7955,-2.12338,-0.99814,0.87820
8005,2.53711,-0.45709,-0.24394
8054,5.93079,-2.42009,-1.13391
8104,3.98727,-3.09329,-1.48158
8154,0.98045,-1.22813,-0.90875
8203,-2.49487,2.49292,0.76720
8254,-5.62042,3.80219,2.05347
8304,-6.25453,3.29637,2.00974
8354,-2.39641,-0.81067,1.51141
8408,4.14645,-2.40100,-0.70496
8454,4.12112,-2.63684,-1.72426
8504,2.42346,-3.02690,-2.24278
8555,-0.63071,0.47362,-0.96985
8605,-3.70406,2.67758,0.68814
8655,-5.20428,2.83379,1.48262
8704,-1.32944,0.21645,1.09601
8754,2.97539,-1.43881,-0.44124
8804,3.77477,-1.59338,-0.71960
8854,3.28906,-1.17400,-1.11966
8904,1.84743,-0.59018,-0.81870
8954,-1.23019,0.98878,-0.00610
9005,-3.62852,1.45087,0.97404
9055,-5.00613,0.11542,1.74799
9105,-3.69794,-0.59779,1.27739
9153,3.34131,-0.69463,-0.21266
9204,4.08638,-0.54710,-0.72823
9254,3.11887,-0.39926,-0.56227
9304,0.90530,0.30135,0.17320
9354,-1.26921,1.21924,0.44453
9407,-2.83162,0.55702,0.88278
9453,-2.45923,0.60475,0.51471
9504,-0.78825,0.70317,-0.31470
9554,0.05281,-0.17538,0.31702
9604,-0.37314,0.58165,0.81076
9654,-0.02913,0.83870,1.56284
9704,0.51616,0.24683,2.56699
9754,1.23520,0.19456,3.53772
9804,0.90623,-0.10973,4.15254
9854,1.03122,0.02066,3.90828
9904,-0.66663,1.06386,1.86542
9954,-0.55119,0.67648,2.18687
10004,-1.01981,-0.99231,1.78836
10054,-0.19406,-1.08031,2.20221
10104,0.43414,1.21007,2.06227
10154,-0.03075,2.03566,2.22017
10205,-0.88638,1.78604,2.13451
10255,-0.79436,0.57674,2.07600
10304,0.17880,-0.27428,1.06282
10355,0.13371,-1.02138,0.27205
10411,0.84544,-1.49886,0.38353
10454,1.44275,1.75731,1.55576
10504,1.26405,2.43988,1.96191
10554,0.50697,0.13792,1.93074
10604,-0.09503,-0.25414,1.94910
10654,-0.24658,-0.99072,2.21175
10704,-0.62735,-1.39816,1.96895
10754,-1.09224,-0.35298,2.02432
10804,-1.41592,-0.15149,2.77040
10854,-1.32361,0.46985,2.45218
10904,-0.56866,0.75337,1.04175
10955,-1.56209,0.75308,0.80263
11005,-1.66789,-0.72148,1.42178
11055,-0.16412,-1.95883,0.11385
11105,1.27156,-0.40796,0.54430
11153,2.15800,1.11392,-0.43013
11203,3.94513,1.79915,-1.09047
11253,2.11455,0.49019,-0.48596
11305,-1.92915,-0.90657,1.27075
11354,-4.35532,-0.79543,1.71964
11408,-3.50037,-1.75824,1.44643
11454,0.07259,-1.82407,0.19673
11504,1.26711,0.37994,-0.89905
11554,3.75874,1.59964,-2.32420
11604,3.37576,3.06494,-1.46651
11655,-3.00311,2.25980,-0.26479
11704,-4.34776,1.35675,0.10020
11755,-2.03006,-1.95738,-0.38411
11804,1.09151,-3.72925,-0.47823
11854,1.91478,-2.24448,-0.37334
11904,0.50285,2.49654,-0.50122
11954,-0.92328,6.13237,-0.14561
12003,-1.68967,3.32381,0.37224
12054,0.84375,-3.22758,1.03781
12104,0.81517,-5.04295,0.90077
12154,-0.08266,-3.67906,0.04268
12204,-0.08621,-1.09338,-0.72189
12254,-0.42677,2.73407,-1.30902
12305,-2.01054,6.62714,-0.95729
12354,-3.55356,5.11012,0.87602
12405,0.93964,-3.65050,1.52606
12464,1.10641,-4.40390,0.92400
12505,0.46529,-3.32251,-0.94124
12554,0.73347,-1.14407,-1.48006
12605,-0.24126,2.25694,-1.51062
12654,-1.66437,4.78658,-0.43639
12705,-1.32503,2.76331,1.66608
12754,-0.36438,-2.01425,2.39156
12804,0.02702,-4.45575,1.38814
12855,-0.26085,-3.61530,-0.48801
