time,lx
6,653.00000
54,653.00000
104,653.00000
154,653.00000
204,653.00000
258,653.00000
304,653.00000
354,653.00000
404,653.00000
454,653.00000
504,662.00000
556,662.00000
605,662.00000
654,662.00000
704,650.00000
755,650.00000
805,650.00000
854,650.00000
905,650.00000
954,662.00000
1004,662.00000
1053,662.00000
1103,662.00000
1155,662.00000
1204,662.00000
1254,662.00000
1307,662.00000
1354,662.00000
1404,662.00000
1455,662.00000
1504,662.00000
1553,662.00000
1603,654.00000
1656,654.00000
1705,654.00000
1756,654.00000
1804,661.00000
1855,661.00000
1904,661.00000
1955,661.00000
2004,653.00000
2054,653.00000
2105,653.00000
2154,653.00000
2204,660.00000
2256,660.00000
2315,660.00000
2355,660.00000
2404,660.00000
2454,660.00000
2505,660.00000
2554,660.00000
2604,660.00000
2655,660.00000
2704,660.00000
2754,660.00000
2805,660.00000
2854,660.00000
2905,660.00000
2954,660.00000
3004,660.00000
3055,660.00000
3104,666.00000
3154,666.00000
3205,666.00000
3255,666.00000
3323,658.00000
3354,658.00000
3404,658.00000
3454,658.00000
3504,658.00000
3555,658.00000
3605,658.00000
3655,658.00000
3705,658.00000
3754,658.00000
3804,658.00000
3854,658.00000
3904,658.00000
3955,658.00000
4004,658.00000
4054,658.00000
4104,658.00000
4154,658.00000
4204,658.00000
4255,658.00000
4319,658.00000
4353,658.00000
4404,658.00000
4454,658.00000
4504,658.00000
4555,658.00000
4604,658.00000
4654,658.00000
4704,658.00000
4754,658.00000
4805,658.00000
4854,658.00000
4905,658.00000
4955,658.00000
5005,658.00000
5056,658.00000
5105,658.00000
5154,658.00000
5205,658.00000
5255,658.00000
5304,658.00000
5358,649.00000
5405,649.00000
5454,649.00000
5504,649.00000
5554,654.00000
5605,654.00000
5655,654.00000
5704,654.00000
5755,668.00000
5804,668.00000
5854,668.00000
5905,668.00000
5955,709.00000
6004,709.00000
6054,709.00000
6105,709.00000
6155,683.00000
6204,683.00000
6253,683.00000
6305,683.00000
6360,676.00000
6404,676.00000
6455,676.00000
6505,676.00000
6554,389.00000
6605,389.00000
6655,389.00000
6704,389.00000
6754,686.00000
6805,686.00000
6854,686.00000
6904,686.00000
6954,592.00000
7005,592.00000
7054,592.00000
7104,592.00000
7155,296.00000
7204,296.00000
7254,296.00000
7304,296.00000
7354,628.00000
7407,628.00000
7456,628.00000
7505,628.00000
7555,559.00000
7605,559.00000
7654,559.00000
7704,559.00000
7754,630.00000
7804,630.00000
7855,630.00000
7904,630.00000
7955,621.00000
8005,621.00000
8055,621.00000
8104,621.00000
8155,574.00000
8203,574.00000
8254,574.00000
8304,574.00000
8354,82.00000
8408,82.00000
8454,82.00000
8504,82.00000
8555,610.00000
8605,610.00000
8655,610.00000
8704,610.00000
8754,452.00000
8804,452.00000
8854,452.00000
8905,452.00000
8955,647.00000
9005,647.00000
9055,647.00000
9105,647.00000
9153,650.00000
9204,650.00000
9254,650.00000
9304,650.00000
9355,636.00000
9407,636.00000
9453,636.00000
9504,636.00000
9554,676.00000
9604,676.00000
9654,676.00000
9704,676.00000
9754,659.00000
9804,659.00000
9854,659.00000
9904,659.00000
9955,687.00000
10004,687.00000
10054,687.00000
10104,687.00000
10154,679.00000
10205,679.00000
10255,679.00000
10304,679.00000
10355,642.00000
10411,642.00000
10454,642.00000
10504,642.00000
10554,629.00000
10604,629.00000
10654,629.00000
10704,629.00000
10754,640.00000
10804,640.00000
10854,640.00000
10904,640.00000
10955,684.00000
11005,684.00000
11055,684.00000
11105,684.00000
11154,633.00000
11203,633.00000
11253,633.00000
11305,633.00000
11354,656.00000
11408,656.00000
11454,656.00000
11504,656.00000
11554,659.00000
11604,659.00000
11655,659.00000
11705,659.00000
11755,674.00000
11804,674.00000
11854,674.00000
