time,x,y,z
5,-117.57050,-92.68799,-134.77173
54,-117.86804,-92.56134,-136.79962
104,-118.73932,-92.42401,-136.75690
154,-117.96417,-92.41638,-135.46143
204,-118.12744,-92.36450,-135.68726
258,-118.29681,-92.54303,-135.38666
304,-118.28156,-92.93823,-135.91461
354,-118.34564,-93.58673,-134.93958
404,-118.47229,-93.75916,-134.73511
454,-118.96362,-94.41681,-134.93652
504,-118.50586,-94.50378,-134.68018
555,-117.65900,-94.08112,-134.94568
604,-117.94586,-93.74084,-135.46143
654,-117.58881,-92.78717,-135.04181
704,-117.76733,-92.10663,-135.35614
755,-117.47131,-92.41486,-135.35309
805,-116.57104,-94.03992,-135.29205
854,-115.94238,-94.80133,-134.81293
905,-115.74707,-95.22247,-134.88617
954,-116.84723,-95.17059,-135.98175
1004,-116.40015,-95.33234,-134.56268
1053,-117.44232,-94.78912,-135.41870
1103,-117.47894,-94.83795,-135.27374
1154,-117.10205,-94.55414,-134.71375
1204,-116.88690,-94.25812,-135.02655
1254,-117.08221,-94.14520,-135.02197
1307,-117.63611,-94.40918,-134.69238
1354,-118.31512,-93.83392,-136.54480
1404,-117.76733,-94.03839,-134.43298
1455,-117.75818,-94.00482,-134.94568
1504,-117.75513,-93.96973,-134.90143
1553,-117.72614,-94.02924,-135.17761
1603,-119.01855,-94.02313,-135.60944
1655,-118.45398,-94.50226,-135.28595
1705,-118.83240,-94.36035,-135.78186
1755,-118.21747,-93.95447,-135.24628
1804,-117.54608,-92.81616,-135.78186
1854,-117.94434,-92.23785,-135.80017
1904,-118.38074,-92.97943,-135.30426
1954,-118.21136,-93.14728,-135.67352
2003,-118.55927,-93.03131,-135.75287
2054,-119.08417,-93.12134,-136.31744
2105,-119.43512,-92.96265,-136.44714
2154,-118.71948,-93.29376,-135.35461
2203,-119.17725,-93.12592,-136.26556
2255,-119.16962,-93.21289,-135.51941
2315,-118.75305,-93.14728,-136.42731
2354,-119.15131,-92.83447,-137.16736
2404,-119.05060,-93.07251,-135.85968
2454,-119.16962,-93.01758,-136.13434
2504,-119.20013,-93.18695,-135.93597
2554,-119.15741,-92.60406,-135.88715
2604,-119.53125,-93.00690,-135.78949
2655,-118.74237,-92.81158,-135.57281
2704,-119.08112,-92.62390,-136.16791
2754,-118.80798,-92.64526,-135.76508
2804,-118.82477,-92.63000,-135.99701
2854,-119.50073,-92.49115,-135.92072
2904,-119.47784,-92.43317,-135.60181
2954,-119.37408,-92.54608,-136.84998
3004,-120.08362,-92.80548,-136.65009
3055,-119.14520,-92.64984,-136.39374
3104,-120.00122,-92.60101,-136.16028
3154,-119.23523,-92.66052,-135.64606
3205,-120.00580,-92.36908,-135.52856
3254,-120.10193,-92.25464,-136.13281
3323,-120.43152,-91.99829,-135.94666
3354,-120.30334,-91.82739,-136.15112
3404,-120.13397,-91.69159,-135.80017
3454,-120.68634,-91.95251,-136.11908
3504,-120.79773,-91.94641,-135.65063
3554,-120.49408,-92.10358,-136.16638
3604,-120.60547,-92.25006,-135.73303
3654,-120.58868,-92.37823,-135.53925
3704,-120.42847,-92.11578,-135.93750
3754,-120.71075,-92.16766,-135.82458
3804,-120.17365,-92.23480,-136.45325
3854,-120.07141,-92.20276,-135.72235
3904,-120.43457,-91.99371,-136.64093
3955,-120.06989,-91.73889,-136.26404
4004,-120.80383,-91.97693,-136.38763
4054,-119.95392,-92.21191,-136.74622
4104,-119.94781,-92.33551,-136.04431
4154,-119.62128,-92.12646,-136.17096
4204,-119.43512,-92.11578,-136.27472
4255,-120.67871,-91.99829,-136.02448
4319,-120.49408,-91.71753,-136.10077
4353,-120.59021,-91.40625,-137.32147
4404,-120.19653,-91.83350,-136.01837
4454,-120.39490,-91.86859,-136.74469
4504,-120.44067,-91.87622,-136.04736
4555,-120.23773,-91.76025,-136.57684
4604,-120.30792,-91.78619,-136.19995
4654,-120.28809,-91.68549,-135.92987
4704,-120.56274,-91.43219,-136.30219
4754,-120.34454,-91.68091,-136.01990
4804,-120.41168,-91.74194,-136.28998
4854,-120.58105,-91.53442,-135.92377
4905,-120.69397,-91.75415,-136.17859
4955,-119.94019,-91.49170,-136.42731
5005,-120.25146,-91.79077,-136.10992
5056,-120.06378,-91.74347,-136.17096
5105,-120.30334,-91.63513,-136.11908
5154,-120.06226,-91.82281,-136.16638
5205,-120.46509,-91.66260,-136.33881
5255,-120.35065,-91.36810,-136.04126
5304,-120.73212,-91.18347,-136.58752
5358,-120.15991,-91.40015,-136.09772
5404,-120.81757,-91.27197,-136.43799
5454,-120.43457,-91.29944,-136.50513
5504,-120.68481,-91.14532,-135.94513
5554,-121.32263,-91.30096,-136.72943
5604,-124.25385,-92.57202,-135.95581
5655,-124.83521,-98.10181,-134.41925
5704,-127.52686,-102.91443,-133.08563
5754,-124.40796,-105.11017,-132.65381
5804,-118.63556,-100.68512,-135.02350
5854,-117.81921,-95.92133,-135.50110
5904,-121.80939,-88.15002,-136.13586
5955,-124.15771,-86.90186,-136.17706
6004,-126.65863,-98.50006,-133.58917
6054,-125.93842,-107.82166,-130.93567
6105,-125.20142,-111.28998,-130.18036
6155,-123.80981,-112.49237,-129.29840
6204,-127.28424,-110.55756,-130.01556
6253,-130.00336,-99.60480,-132.47833
6305,-127.95105,-87.31079,-135.08911
6359,-130.88531,-87.11395,-134.09424
6404,-135.47974,-101.32446,-131.47430
6455,-140.12146,-115.24200,-125.54016
6504,-145.49103,-128.54614,-113.58795
6554,-140.98663,-126.01318,-118.38684
6605,-134.55811,-118.18237,-125.61798
6655,-124.48120,-103.81470,-134.03778
6703,-119.32831,-93.12134,-136.99646
6754,-129.48761,-98.42072,-133.14819
6805,-143.37769,-116.50085,-122.61810
6854,-149.30573,-127.67029,-111.24725
6903,-150.16327,-134.13239,-103.79791
6954,-145.71991,-130.49927,-111.16943
7005,-138.80615,-118.35327,-124.10278
7054,-127.70844,-97.48383,-135.12573
7104,-124.53461,-84.26056,-135.50720
7155,-130.94940,-83.40302,-134.21326
7203,-134.03625,-89.25171,-133.84857
7254,-136.34033,-104.16718,-130.57404
7304,-135.98480,-117.10968,-125.70038
7354,-133.74634,-119.66705,-124.12567
7407,-132.63855,-116.35742,-126.18561
7456,-134.29108,-108.41980,-130.58167
7505,-132.92236,-89.27002,-133.86688
7555,-128.87268,-79.22974,-135.46600
7604,-129.06799,-82.28149,-134.77478
7653,-130.97534,-94.09943,-134.05914
7704,-129.92554,-103.63159,-132.89185
7754,-126.31683,-114.98108,-128.27911
7804,-123.40240,-117.82837,-127.46429
7855,-124.02344,-114.56146,-129.32434
7904,-126.08643,-101.10321,-133.57697
7955,-127.05688,-89.81781,-135.28900
8005,-129.76685,-87.17194,-134.71222
8054,-134.81598,-103.00140,-130.70221
8104,-140.36865,-116.79840,-122.63794
8154,-144.12079,-127.56958,-113.22937
8203,-143.49823,-127.97241,-114.07166
8253,-4.43268,-22.12677,-35.23407
8304,5.31158,0.32654,-44.57550
8354,10.73761,13.38196,-45.35675
8408,3.09906,7.98340,-44.14978
8454,-4.23431,-1.74255,-42.28516
8504,-11.98273,-17.30194,-34.10645
8555,-12.76398,-23.26202,-30.76935
8604,-9.10797,-19.22913,-34.28040
8655,0.99640,-2.22015,-43.11981
8704,7.88422,8.73871,-45.50781
8753,6.47278,8.94775,-44.88220
8803,0.11444,-3.54462,-42.18597
8854,-3.44696,-12.73804,-39.05640
8904,-4.04968,-20.07599,-34.89227
8954,-2.77710,-23.22693,-34.05151
9004,-0.16479,-16.25671,-38.63373
9055,2.87170,-0.47760,-43.63251
9104,2.92969,5.37567,-43.67828
9153,1.33209,8.19550,-43.08777
9204,-1.89056,-0.59509,-42.50641
9253,-3.64380,-14.82544,-38.20343
9304,-3.49579,-22.77985,-35.15167
9354,-2.64740,-22.62573,-36.09161
9407,-0.85907,-15.20844,-39.96277
9453,-2.20795,-7.44324,-42.23480
9504,0.01678,1.12762,-43.89954
9554,0.45776,1.47247,-42.46826
9604,1.10779,1.85089,-42.11731
9654,3.41034,3.34015,-42.82227
9704,5.13000,3.78113,-43.74390
9754,2.90527,2.03857,-43.34869
9804,0.36926,0.54169,-43.18390
9854,-2.03552,0.63782,-42.90924
9904,-2.97241,1.33362,-44.29016
9954,0.26550,3.44543,-45.32776
10004,0.48065,6.01501,-45.19806
10054,-3.95355,9.50012,-44.80896
10104,-5.65491,9.54895,-44.20166
10154,0.95520,9.92737,-45.87250
10205,5.39703,11.48987,-47.12677
10255,13.20801,15.24811,-47.62726
10304,13.49487,16.49170,-48.10181
10355,12.22687,15.70282,-47.69287
10411,7.81860,15.08026,-47.10846
10454,8.25043,12.43439,-47.68829
10504,17.48047,7.02972,-47.85614
10554,22.65625,2.42310,-46.96045
10604,21.28296,0.86517,-46.16699
10654,16.81366,0.45013,-46.37909
10703,13.34686,0.67902,-46.65222
10754,7.14722,3.49731,-46.66748
10804,5.40161,8.47931,-47.00775
10854,4.80042,12.76703,-47.73712
10904,8.62579,17.34924,-48.19641
10955,10.55603,19.40002,-49.24316
11005,13.78937,24.78027,-47.73254
11055,8.62885,28.67126,-46.58966
11105,4.62341,27.54669,-46.54846
11153,4.60815,22.28546,-48.44360
11203,8.32977,15.35187,-49.98169
11253,15.51666,1.49841,-46.65375
11304,14.70642,0.46997,-46.67206
11354,11.47614,7.50122,-48.31848
11408,6.79169,24.16840,-47.41058
11454,1.99280,29.66919,-46.31042
11504,-3.33862,27.95105,-45.31555
11554,-0.73090,19.03229,-47.20154
11604,4.02985,8.46863,-47.20306
11655,17.63916,4.74701,-47.47314
11704,23.45581,14.87427,-48.11859
11755,24.28589,27.94495,-46.77734
