time,available,total
259,2461761536,6019244032
1308,2461761536,6019244032
2316,2463776768,6019244032
3324,2464272384,6019244032
4320,2463969280,6019244032
5358,2465345536,6019244032
6360,2465243136,6019244032
7410,2465021952,6019244032
8408,2479837184,6019244032
9407,2480160768,6019244032
10412,2479620096,6019244032
11410,2479501312,6019244032
12464,2479169536,6019244032
13458,2478792704,6019244032
14470,2478809088,6019244032
15507,2477961216,6019244032
16509,2476277760,6019244032
17512,2475470848,6019244032
18519,2474102784,6019244032
19511,2474561536,6019244032
20514,2474594304,6019244032
21517,2474786816,6019244032
22512,2474270720,6019244032
23510,2476355584,6019244032
24561,2478505984,6019244032
25571,2478583808,6019244032
26559,2477805568,6019244032
27564,2476990464,6019244032
28573,2475466752,6019244032
29608,2474168320,6019244032
30610,2480173056,6019244032
31616,2480410624,6019244032
32608,2480553984,6019244032
33633,2479091712,6019244032
34657,2478735360,6019244032
35714,2481172480,6019244032
36711,2480951296,6019244032
37708,2480631808,6019244032
38713,2480283648,6019244032
39710,2480410624,6019244032
40712,2479099904,6019244032
41774,2478821376,6019244032
42812,2478710784,6019244032
43858,2477469696,6019244032
44870,2478342144,6019244032
45861,2478850048,6019244032
46857,2478243840,6019244032
47860,2478014464,6019244032
48863,2478186496,6019244032
49867,2477707264,6019244032
50856,2477694976,6019244032
51859,2477391872,6019244032
52857,2477027328,6019244032
53859,2478493696,6019244032
54865,2478366720,6019244032
55871,2478018560,6019244032
56857,2477510656,6019244032
57864,2477879296,6019244032
58862,2477133824,6019244032
59864,2476466176,6019244032
60857,2476306432,6019244032
61874,2476163072,6019244032
62859,2476924928,6019244032
63856,2475601920,6019244032
64859,2454409216,6019244032
65856,2459275264,6019244032
66857,2458292224,6019244032
67859,2444546048,6019244032
68908,2443448320,6019244032
