time,total received,total sent,mobile received,mobile sent
259,746129597,182162345,0,0
1308,746130223,182162437,0,0
2316,746130223,182162437,0,0
3325,746130223,182162437,0,0
4320,746130223,182162437,0,0
5358,746130223,182162437,0,0
6360,746130223,182162437,0,0
7410,746130223,182162437,0,0
8409,746130223,182162437,0,0
9407,746130223,182162437,0,0
10412,746130223,182162437,0,0
11410,746130223,182162437,0,0
12464,746130223,182162520,0,0
13458,746130223,182162520,0,0
14470,746130223,182162520,0,0
15507,746130223,182162520,0,0
16509,746130223,182162520,0,0
17512,746130223,182162520,0,0
18519,746130223,182162520,0,0
19511,746130223,182162520,0,0
20514,746130223,182162520,0,0
21517,746130223,182162520,0,0
22512,746130223,182162520,0,0
23510,746130223,182162520,0,0
24561,746130223,182162520,0,0
25571,746130223,182162520,0,0
26559,746130223,182162520,0,0
27566,746130223,182162520,0,0
28573,746130329,182162572,0,0
29608,746130329,182162572,0,0
30610,746130329,182162572,0,0
31617,746130329,182162572,0,0
32608,746130329,182162572,0,0
33634,746130329,182162572,0,0
34657,746130647,182162834,0,0
35714,746130647,182162834,0,0
36711,746130647,182162834,0,0
37708,746130647,182162834,0,0
38713,746130647,182162834,0,0
39710,746130647,182162834,0,0
40714,746130647,182162917,0,0
41774,746130647,182162917,0,0
42812,746130647,182162917,0,0
43858,746130647,182162917,0,0
44870,746130778,182163048,0,0
45862,746130778,182163048,0,0
46857,746130778,182163048,0,0
47860,746130778,182163048,0,0
48863,746130778,182163048,0,0
49867,746132032,182163770,0,0
50856,746132032,182163770,0,0
51859,746132032,182163770,0,0
52857,746132032,182163770,0,0
53860,746132032,182163770,0,0
54866,746132032,182163770,0,0
55871,746132032,182163770,0,0
56858,746132032,182163770,0,0
57864,746132032,182163770,0,0
58862,746132032,182163770,0,0
59864,746135574,182164950,0,0
60858,746136008,182166205,0,0
61874,746136008,182166205,0,0
62859,746136008,182166205,0,0
63856,746136008,182166205,0,0
64863,746165593,182174132,0,0
65856,746165593,182174132,0,0
66857,746166294,182174961,0,0
67859,746171835,182176413,0,0
68908,746171835,182176413,0,0
