time,distance
6,5.00031
54,5.00031
104,5.00031
154,5.00031
204,5.00031
258,5.00031
304,5.00031
354,5.00031
404,5.00031
454,5.00031
504,5.00031
556,5.00031
605,5.00031
655,5.00031
704,5.00031
755,5.00031
805,5.00031
854,5.00031
905,5.00031
954,5.00031
1005,5.00031
1053,5.00031
1104,5.00031
1155,5.00031
1204,5.00031
1254,5.00031
1307,5.00031
1354,5.00031
1404,5.00031
1455,5.00031
1504,5.00031
1553,5.00031
1603,5.00031
1656,5.00031
1706,5.00031
1756,5.00031
1804,5.00031
1855,5.00031
1904,5.00031
1955,5.00031
2004,5.00031
2054,5.00031
2105,5.00031
2154,5.00031
2204,5.00031
2256,5.00031
2316,5.00031
2355,5.00031
2404,5.00031
2454,5.00031
2505,5.00031
2554,5.00031
2604,5.00031
2655,5.00031
2705,5.00031
2754,5.00031
2805,5.00031
2854,5.00031
2905,5.00031
2954,5.00031
3004,5.00031
3055,5.00031
3104,5.00031
3154,5.00031
3205,5.00031
3255,5.00031
3323,5.00031
3354,5.00031
3404,5.00031
3454,5.00031
3504,5.00031
3555,5.00031
3605,5.00031
3655,5.00031
3705,5.00031
3754,5.00031
3804,5.00031
3854,5.00031
3904,5.00031
3955,5.00031
4004,5.00031
4054,5.00031
4104,5.00031
4154,5.00031
4204,5.00031
4255,5.00031
4319,5.00031
4353,5.00031
4404,5.00031
4455,5.00031
4504,5.00031
4555,5.00031
4604,5.00031
4654,5.00031
4704,5.00031
4754,5.00031
4805,5.00031
4854,5.00031
4905,5.00031
4955,5.00031
5005,5.00031
5056,5.00031
5105,5.00031
5154,5.00031
5205,5.00031
5255,5.00031
5304,5.00031
5358,5.00031
5405,5.00031
5454,5.00031
5504,5.00031
5554,5.00031
5605,5.00031
5655,5.00031
5704,5.00031
5755,5.00031
5804,5.00031
5854,5.00031
5905,5.00031
5955,5.00031
6004,5.00031
6054,5.00031
6105,5.00031
6155,5.00031
6204,5.00031
6253,5.00031
6305,5.00031
6360,5.00031
6404,5.00031
6456,5.00031
6505,5.00031
6554,5.00031
6605,5.00031
6655,5.00031
6704,5.00031
6754,5.00031
6805,5.00031
6854,5.00031
6904,5.00031
6955,5.00031
7005,5.00031
7055,5.00031
7104,5.00031
7155,5.00031
7204,5.00031
7254,5.00031
7304,5.00031
7354,5.00031
7407,5.00031
7457,5.00031
7505,5.00031
7555,5.00031
7605,5.00031
7654,5.00031
7704,5.00031
7754,5.00031
7804,5.00031
7855,5.00031
7904,5.00031
7955,5.00031
8005,5.00031
8055,5.00031
8104,5.00031
8155,5.00031
8203,5.00031
8254,5.00031
8304,5.00031
8354,5.00031
8408,5.00031
8454,5.00031
8504,5.00031
8555,5.00031
8605,5.00031
8655,5.00031
8704,5.00031
8754,5.00031
8804,5.00031
8854,5.00031
8905,5.00031
8955,5.00031
9005,5.00031
9055,5.00031
9105,5.00031
9154,5.00031
9204,5.00031
9254,5.00031
9304,5.00031
9355,5.00031
9407,5.00031
9453,5.00031
9504,5.00031
9554,5.00031
9604,5.00031
9654,5.00031
9704,5.00031
9754,5.00031
9804,5.00031
9854,5.00031
9904,5.00031
9955,5.00031
10004,5.00031
10054,5.00031
10104,5.00031
10154,5.00031
10205,5.00031
10255,5.00031
10304,5.00031
10355,5.00031
10411,5.00031
10454,5.00031
10504,5.00031
10554,5.00031
10604,5.00031
10654,5.00031
10704,5.00031
10754,5.00031
10804,5.00031
10854,5.00031
10904,5.00031
10955,5.00031
11005,5.00031
11055,5.00031
11105,5.00031
11154,5.00031
11203,5.00031
11253,5.00031
11305,5.00031
11354,5.00031
