time,dB(SPL)
5,22.92256
54,25.10545
104,28.29947
154,32.86905
204,32.25568
258,33.80392
304,36.90196
354,46.80888
404,54.26981
454,60.00868
504,48.59505
555,47.88903
604,41.86843
654,45.66602
704,42.47703
755,45.34343
804,46.02060
854,42.73441
905,40.58768
954,45.39026
1004,46.06392
1053,46.88785
1103,45.97706
1154,32.66937
1204,38.48559
1254,39.46256
1307,27.23456
1354,33.25516
1403,28.94316
1454,30.62958
1504,30.10300
1553,29.24796
1603,30.62958
1655,32.66937
1705,33.06425
1755,41.93820
1804,39.91270
1854,40.08643
1904,39.64542
1954,40.00000
2003,39.64542
2054,43.75041
2105,42.92256
2153,35.70660
2203,36.39088
2255,38.06180
2314,39.64542
2354,38.06180
2404,34.96376
2454,41.06157
2504,35.56303
2554,29.82723
2604,27.60422
2655,31.36403
2704,40.66848
2754,37.38463
2804,35.70660
2854,38.16970
2904,37.02517
2954,28.29947
3004,33.06425
3055,31.82129
3104,26.44439
3154,28.94316
3205,25.57507
3254,32.04120
3323,31.82129
3354,30.37028
3404,26.84845
3454,41.43764
3504,41.58362
3554,41.72720
3604,41.43764
3654,40.66848
3704,42.86030
3754,46.60828
3804,38.38156
3854,44.86076
3904,33.80392
3954,30.10300
4003,31.12605
4054,27.60422
4104,29.82723
4154,37.02517
4204,34.48552
4255,28.29947
4319,27.23456
4353,27.23456
4404,26.44439
4454,22.92256
4504,26.84845
4555,24.08240
4604,24.08240
4654,25.57507
4704,27.95880
4754,25.10545
4804,25.10545
4854,32.86905
4905,35.41704
4954,31.12605
5005,27.95880
5056,30.62958
5105,30.10300
5154,20.82785
5205,19.08485
5254,26.02060
5304,22.27887
5358,24.60898
5404,29.82723
5454,27.60422
5503,28.94316
5554,18.06180
5604,29.54243
5654,36.90196
5704,39.27576
5754,49.27786
5804,50.85651
5854,51.02900
5904,49.48433
5954,51.54984
6004,50.42276
6054,47.38432
6104,45.84512
6155,49.12732
6204,54.50189
6253,54.85450
6305,51.79899
6359,55.54854
6404,57.29022
6455,51.86572
6504,51.90992
6554,51.00457
6604,48.39911
6655,50.37028
6703,49.93859
6754,48.75501
6804,47.56796
6854,47.04365
6903,45.10545
6954,47.92399
7005,48.94316
7054,48.19866
7104,45.24902
7155,47.08217
7203,46.84845
7253,48.91208
7304,51.26962
7354,50.68052
7407,49.71443
7456,52.10610
7505,50.83158
7555,51.31696
7604,48.46492
7653,50.37028
7704,46.10703
7753,49.42583
7804,50.04854
7854,50.90614
7904,50.62958
7955,49.09690
8005,47.34712
8054,45.20143
8104,48.84960
8154,48.09667
8203,48.97413
8253,47.78332
8304,48.88090
8354,46.02060
8407,45.34343
8454,48.69138
8504,49.36695
8554,44.34968
8604,46.60828
8654,47.23456
8704,48.39911
8753,48.56270
8803,48.09667
8854,48.29947
8904,48.88090
8954,50.73117
9004,53.10277
9054,51.45743
9104,50.80659
9153,50.78152
9203,50.60399
9253,49.27786
9304,48.23239
9354,50.90614
9407,48.94316
9453,49.51342
9504,46.27734
9554,60.92210
9604,47.49497
9654,49.68600
9704,49.39644
9754,46.64877
9804,44.24375
9854,43.57954
9904,44.86076
9954,49.99374
10004,49.96621
10054,49.03573
10104,46.02060
10154,47.00496
10205,48.59505
10255,45.29636
10304,42.98438
10355,52.94766
10411,46.02060
10454,45.48316
10504,47.04365
10554,44.19030
10604,48.33281
10654,48.43208
10703,47.04365
10754,46.23508
10804,45.34343
10854,46.92706
10904,54.50189
