time,x,y,z
12,-0.59361,0.48990,10.03870
60,0.72350,1.00795,9.64879
111,0.26569,0.80414,9.52852
162,0.26071,0.96255,9.38492
212,0.58122,1.02501,9.02554
262,0.45811,0.82675,9.99968
311,0.48804,0.72682,10.16771
361,0.34955,0.68509,9.47650
410,0.41875,0.85010,8.71414
461,-0.05293,0.45024,9.96721
512,0.51443,0.76260,9.54333
563,0.04724,0.47029,9.28369
611,0.17705,0.43460,9.88879
675,0.33508,0.45287,9.65016
710,0.08176,0.42270,9.09712
761,0.17148,0.19675,9.45010
811,0.52357,0.03186,9.84163
861,0.23918,-0.02646,10.07928
911,0.36340,-0.27623,9.77205
962,0.23882,-0.30939,9.84042
1011,0.28178,-0.28374,9.49124
1061,0.16872,-0.46080,9.66129
1111,0.24431,-0.42191,9.71457
1160,0.25299,-0.53870,9.83751
1211,0.59099,-0.38454,9.91209
1261,0.27339,-0.65234,9.90768
1312,0.18690,-0.58272,9.64087
1362,0.31563,-0.58833,9.69223
1411,0.27979,-0.54698,9.60992
1461,0.22835,-0.67036,9.98474
1511,0.38849,-0.51077,9.65176
1562,0.35538,-0.56088,9.84174
1611,0.40167,-0.56924,9.72688
1661,0.38155,-0.58809,9.76840
1718,0.17198,-0.71951,9.64592
1761,0.49883,-0.43842,9.73346
1812,0.32600,-0.59293,9.81557
1861,0.37654,-0.57426,9.77539
1911,0.47009,-0.52698,9.48402
1962,0.21461,-0.65250,9.58487
2011,0.46649,-0.60794,9.72371
2062,0.24483,-0.56683,9.86342
2111,0.40623,-0.60751,9.95860
2161,0.24388,-0.63382,9.83069
2210,0.40387,-0.63092,9.55238
2261,0.36386,-0.73991,9.60246
2311,0.24619,-0.57205,9.57359
2361,0.41867,-0.50562,9.69121
2412,0.19901,-0.63814,10.13428
2462,0.48140,-0.58762,9.83307
2511,0.38358,-0.64685,9.82918
2563,0.30713,-0.56645,9.54115
2611,0.04590,-0.62419,9.57657
2661,0.33224,-0.57524,9.78430
2711,0.22649,-0.57770,9.87308
2769,0.34543,-0.66930,9.66179
2810,0.34561,-0.63591,9.68617
2862,0.35942,-0.54027,9.51234
2911,0.37440,-0.53653,9.79715
2961,0.41846,-0.66283,10.13017
3010,0.50026,-0.59346,9.80377
3061,0.23254,-0.78821,9.48999
3111,0.22813,-0.64493,9.65634
3161,0.18646,-0.72722,9.93481
3211,0.38394,-0.64249,9.91814
3261,0.37944,-0.66164,9.68773
3311,0.38242,-0.57718,9.63232
3361,0.26311,-0.68559,9.71695
3412,0.40411,-0.57115,9.71718
3461,0.15631,-0.69629,9.63763
3511,0.21895,-0.67241,9.70181
3562,0.24384,-0.72198,9.65511
3611,0.19820,-0.83717,9.66258
3662,0.38974,-0.63223,9.65948
3711,0.51457,-0.74771,10.19597
3761,0.64638,-0.67143,10.13293
3820,0.53239,-0.72795,9.68156
3861,0.33995,-0.76300,9.42218
3911,0.28419,-0.70528,9.70000
3961,0.22714,-0.62959,9.82613
4011,0.13387,-0.82230,9.91835
4063,0.37201,-0.76971,9.69272
4112,0.26575,-0.65065,9.57919
4162,0.40404,-0.61960,9.66426
4211,0.34608,-0.74631,9.74652
4263,0.28943,-0.68001,9.63701
4312,0.26772,-0.72321,9.80212
4362,0.37599,-0.61012,10.26295
4412,0.52676,-0.64685,9.75652
4461,0.23863,-0.75684,9.49879
4511,0.28146,-0.70497,9.65511
4561,0.31075,-0.57686,9.65511
4611,0.02635,-0.92209,9.78915
4662,0.25853,-0.61121,9.66853
4711,0.25912,-0.66753,9.64986
4761,0.32399,-0.63640,9.65298
4818,0.47615,-0.61356,9.81400
4861,0.45148,-0.57030,9.65109
4910,0.25861,-0.63850,9.60033
4962,0.32721,-0.80051,9.59122
5011,0.27998,-0.85803,9.93562
5060,0.34091,-0.88843,9.94655
5111,0.47697,-0.81325,9.90675
5161,0.55107,-0.62546,9.64314
5212,0.38156,-0.70752,9.67424
5261,0.42201,-0.73100,9.72816
5311,0.37198,-0.72638,9.69260
5362,0.26549,-0.75072,9.72688
5412,0.29964,-0.60570,9.64372
5461,0.52245,-0.11243,10.28177
5511,1.10777,-0.08171,12.66289
5561,0.06021,-1.16441,12.84077
5611,0.16205,-0.76053,10.55052
5661,-0.21887,-0.56927,8.03940
5711,-0.41943,-0.21399,6.56322
