time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
684,83,4126,27.6,-9223372036854775808,177000,0
1719,83,4126,27.6,-9223372036854775808,177000,0
2769,83,4126,27.6,-9223372036854775808,177000,0
3820,83,4126,27.6,-9223372036854775808,177000,0
4819,83,4126,27.6,-9223372036854775808,177000,0
5816,83,4126,27.6,-9223372036854775808,177000,0
6875,83,4126,27.6,-9223372036854775808,177000,0
7869,83,4126,27.6,-9223372036854775808,177000,0
8866,83,4126,27.6,-9223372036854775808,177000,0
9877,83,4126,27.6,-9223372036854775808,177000,0
10874,83,4126,27.6,-9223372036854775808,177000,0
11879,83,4126,27.6,-9223372036854775808,177000,0
12919,83,4126,27.6,-9223372036854775808,177000,0
13917,83,4126,27.6,-9223372036854775808,177000,0
14918,83,4126,27.6,-9223372036854775808,177000,0
15918,83,4126,27.6,-9223372036854775808,177000,0
16924,83,4126,27.6,-9223372036854775808,177000,0
17976,83,4126,27.6,-9223372036854775808,177000,0
18970,83,4126,27.6,-9223372036854775808,177000,0
19966,83,4126,27.6,-9223372036854775808,177000,0
