time,azimuth
13,-146
61,-146
111,-145
162,-146
212,-145
263,-146
312,-146
362,-145
411,-146
461,-145
512,-145
564,-146
611,-145
679,-144
711,-146
761,-145
812,-144
862,-144
912,-143
963,-144
1012,-143
1062,-143
1112,-143
1161,-143
1211,-142
1263,-143
1312,-143
1363,-143
1411,-143
1462,-143
1512,-143
1564,-143
1612,-143
1661,-143
1718,-143
1762,-143
1815,-143
1861,-143
1912,-142
1963,-143
2011,-142
2063,-143
2112,-143
2161,-143
2211,-143
2262,-142
2311,-143
2361,-143
2412,-143
2464,-143
2511,-142
2564,-142
2612,-143
2662,-143
2711,-143
2769,-142
2811,-142
2863,-142
2911,-143
2962,-143
3011,-143
3061,-142
3112,-143
3161,-143
3212,-143
3261,-142
3312,-143
3361,-143
3414,-143
3461,-143
3511,-143
3562,-143
3611,-142
3663,-143
3711,-142
3761,-142
3820,-142
3861,-142
3912,-143
3962,-144
4011,-143
4064,-143
4113,-143
4162,-143
4211,-142
4266,-143
4313,-143
4363,-143
4412,-142
4462,-143
4511,-142
4563,-143
4612,-143
4663,-143
4712,-143
4762,-143
4819,-142
4862,-143
4911,-143
4963,-142
5012,-142
5061,-142
5112,-142
5162,-142
5213,-142
5262,-142
5312,-142
5363,-143
5413,-142
5461,-145
5512,-144
5562,-142
5612,-142
5661,-141
5711,-142
5762,-143
5816,-142
5862,-143
5911,-141
5963,-143
6012,-144
6062,-143
6111,-142
6164,-142
6211,-142
6262,-143
6311,-143
6362,-146
6412,-141
6463,-141
6513,-144
6562,-144
6611,-143
6661,-142
6711,-141
6763,-143
6812,-143
6875,-146
6911,-144
6962,-141
7012,-142
7061,-143
7112,-143
7162,-142
7213,-143
7262,-142
7313,-144
7364,-147
7412,-146
7464,-144
7514,-142
7562,-143
7612,-144
7662,-143
7711,-143
7762,-142
7812,-143
7869,-145
7911,-148
7961,-148
8012,-142
8062,-143
8112,-144
8162,-145
8211,-145
8261,-145
8311,-143
8361,-139
8411,-136
8461,-130
8511,-132
8562,-136
8612,-133
8662,-133
8711,-132
8762,-129
8811,-133
8865,-131
8911,-138
8963,-137
9012,-135
9062,-135
9112,-136
9163,-137
9212,-138
9262,-138
9312,-139
9363,-141
9413,-141
9462,-140
9512,-136
9561,-134
9612,-137
9662,-142
9712,-144
9763,-143
9812,-141
9877,-138
9912,-138
9963,-136
10011,-138
10063,-140
10111,-142
10161,-145
10212,-145
10262,-144
10312,-142
10361,-139
10413,-137
10461,-136
10511,-137
10561,-138
10611,-142
10662,-144
10712,-146
10762,-142
10812,-140
10874,-139
10911,-139
10961,-138
11011,-136
11061,-137
11112,-139
11162,-141
11212,-142
11262,-142
11312,-141
11363,-140
11412,-138
11461,-137
11513,-135
11561,-135
11611,-137
11663,-142
11712,-143
11762,-145
11811,-143
11879,-138
11911,-139
11961,-138
12011,-136
12062,-137
12112,-139
12162,-140
12211,-141
12261,-140
12312,-140
12361,-136
12412,-136
12462,-135
12511,-144
12561,-140
12612,-129
12661,-141
12711,-138
12764,-139
12812,-137
12861,-135
12919,-137
12961,-135
13011,-135
13062,-134
13112,-145
13161,-135
13211,-137
13263,-143
13311,-139
13363,-138
13411,-140
13461,-136
13512,-144
13561,-141
13613,-142
13662,-138
13711,-134
13761,-132
13812,-140
13862,-140
13917,-140
13961,-140
14011,-140
14062,-138
14114,-138
14161,-136
14212,-136
14262,-136
14311,-140
14361,-141
14412,-140
14461,-139
14512,-139
14562,-138
14614,-138
14661,-136
14712,-137
14761,-137
14812,-140
14861,-141
14918,-140
14961,-139
15011,-139
15062,-138
15113,-137
15162,-135
15212,-135
15263,-139
15310,-140
15361,-140
15412,-140
15461,-140
15511,-140
15562,-138
15611,-136
15662,-136
15711,-137
15761,-140
15811,-141
15861,-142
15918,-140
15961,-140
16011,-138
16061,-139
16111,-139
16162,-138
16211,-138
16262,-139
16312,-138
16361,-138
16412,-138
16461,-137
16511,-136
16562,-132
16612,-130
16662,-129
16711,-129
16762,-131
16812,-131
16861,-132
16923,-134
16960,-133
17011,-133
17062,-135
17112,-136
17161,-139
17212,-139
17262,-137
17312,-137
17362,-137
17411,-139
17462,-139
17511,-142
17563,-142
17611,-144
17661,-142
17712,-141
17761,-142
17811,-140
17862,-138
17911,-139
17971,-140
18010,-143
18062,-144
18111,-143
18163,-143
18213,-142
18262,-141
18312,-140
18362,-140
18411,-138
18469,-138
18512,-142
18562,-143
18611,-143
18662,-142
18711,-141
18762,-140
18813,-138
18862,-136
18912,-138
18970,-142
19011,-143
19061,-142
19112,-142
19162,-141
19212,-141
19261,-139
19311,-137
19363,-137
19412,-138
19462,-142
19511,-141
19562,-140
19611,-148
19663,-137
19712,-137
19761,-135
19811,-140
19862,-140
19912,-140
19966,-140
20011,-138
20062,-139
20111,-139
20162,-139
20211,-140
20261,-139
20311,-139
20361,-140
20411,-139
