time,x,y,z
12,-0.03210,-0.15402,0.00166
61,0.08913,-0.21298,0.27075
111,0.08847,0.01430,0.00005
162,-0.04793,0.04245,0.12157
212,-0.11520,0.01984,0.07333
263,-0.38953,-0.00819,0.01128
311,0.05135,-0.00337,-0.01305
362,0.30446,0.05237,-0.04475
411,-0.09554,-0.03584,-0.06520
461,-0.30141,0.04204,-0.00331
512,-0.02158,0.03552,-0.00299
563,-0.15514,0.04076,-0.03387
611,-0.15816,0.02676,0.01686
678,0.00082,0.01849,0.00638
710,-0.17278,0.00999,0.03194
761,-0.51393,-0.07547,0.08640
812,-0.42775,-0.00365,0.08643
862,-0.29539,-0.01534,0.00516
912,-0.04109,0.00412,0.01619
963,-0.02423,-0.00668,-0.03195
1012,-0.09673,-0.00722,-0.01563
1062,-0.12454,-0.04112,-0.00659
1111,-0.19878,0.01585,0.00171
1161,-0.18268,-0.00458,0.00410
1211,-0.07925,-0.08383,-0.03746
1262,0.07309,-0.08145,-0.08928
1312,0.01216,-0.00481,0.01190
1362,-0.03372,0.00597,-0.00301
1411,-0.03975,-0.00465,0.01953
1462,-0.02962,0.01437,0.00586
1511,0.08736,-0.00737,0.03654
1563,0.00758,-0.08072,-0.02765
1611,-0.00406,0.00421,0.03470
1661,0.05136,-0.06163,-0.00598
1718,-0.02113,0.03105,0.03696
1762,-0.01730,0.00113,0.04594
1814,-0.01360,-0.02560,-0.01273
1861,0.04991,0.03468,0.04053
1912,0.06183,-0.02097,-0.03369
1962,-0.08743,0.06248,0.01744
2011,-0.06847,0.04898,-0.01347
2062,-0.03114,-0.02827,-0.04353
2111,0.01067,0.01892,0.01003
2161,0.06244,0.02597,-0.03375
2210,0.05481,0.01408,0.01064
2261,-0.01756,0.02757,-0.02136
2311,-0.02672,0.01259,0.00708
2361,-0.06664,-0.02196,-0.05750
2412,-0.03250,0.01033,-0.00502
2463,0.04547,0.01543,-0.01466
2511,0.05148,0.02165,-0.02477
2564,0.07852,-0.00748,-0.05426
2612,-0.03772,0.01758,-0.00349
2662,-0.04669,-0.00320,-0.00304
2711,0.04359,-0.03069,0.01114
2769,-0.00113,0.02133,0.02184
2810,-0.01302,0.01987,-0.00693
2863,0.02330,-0.02229,0.00302
2911,-0.10129,-0.01758,0.00336
2961,-0.03804,0.00009,-0.00800
3010,0.06581,0.00623,-0.00415
3061,0.01414,0.00104,-0.03087
3111,-0.03622,-0.01167,-0.02380
3161,-0.06360,-0.01326,0.00270
3211,0.02213,-0.00218,0.01804
3261,0.06062,-0.00674,0.02361
3312,0.00612,0.02951,0.02594
3361,-0.00145,-0.00342,0.00549
3413,0.00821,-0.00401,0.00882
3461,0.00142,0.01501,0.03094
3511,-0.03265,0.01727,0.05334
3562,-0.03458,-0.00024,0.03499
3611,-0.01857,-0.02625,0.03665
3662,-0.06146,-0.03856,0.05122
3711,-0.08591,-0.02034,0.01328
3761,0.02628,-0.01268,0.01456
3820,0.12569,0.00996,-0.03882
3861,0.03267,0.01503,-0.03757
3912,-0.08769,-0.00156,-0.02335
3961,-0.05026,0.00964,-0.01111
4011,0.02869,0.00568,-0.02003
4064,0.09625,0.01141,0.01558
4112,0.07108,-0.00032,0.02159
4162,-0.05206,-0.00661,0.00914
4211,-0.01375,0.00017,-0.00529
4264,0.01749,-0.02744,-0.00427
4313,-0.05522,-0.03062,-0.02159
4363,-0.03789,-0.00171,-0.00101
4412,0.12729,-0.00063,-0.02666
4462,0.04062,0.01421,-0.01616
4511,-0.00774,-0.00717,0.00450
4563,0.00754,-0.00612,-0.01343
4612,-0.03976,0.01392,-0.00635
4662,0.00201,0.00346,0.04102
4712,0.00160,-0.02589,0.02196
4762,-0.05403,-0.00124,0.03745
4818,0.00723,-0.02129,0.03226
4861,0.01401,0.00677,0.00342
4911,-0.02354,0.00175,-0.01727
4962,-0.04741,-0.04730,-0.02643
5011,-0.09911,-0.01711,0.01022
5061,0.00758,0.00204,0.00426
5112,0.01675,-0.00395,0.02977
5162,0.04814,0.01563,0.00900
5213,-0.01471,0.01945,-0.02765
5262,-0.00890,0.02718,-0.01747
5312,0.02388,0.02652,-0.03616
5363,-0.00990,0.04857,-0.01642
5412,0.00943,0.04227,-0.02419
5461,-0.09567,-0.02827,-0.00995
5512,-0.14473,0.00716,-0.15091
