time,lx
12,560.00000
61,569.00000
111,569.00000
162,569.00000
212,567.00000
263,567.00000
312,567.00000
362,567.00000
411,617.00000
461,617.00000
512,617.00000
563,617.00000
611,639.00000
678,639.00000
711,639.00000
761,639.00000
812,667.00000
862,667.00000
912,667.00000
963,667.00000
1012,708.00000
1062,708.00000
1112,708.00000
1161,708.00000
1211,713.00000
1262,713.00000
1312,713.00000
1363,713.00000
1411,713.00000
1462,713.00000
1512,713.00000
1563,713.00000
1611,713.00000
1661,713.00000
1718,713.00000
1762,713.00000
1814,713.00000
1861,713.00000
1912,713.00000
1962,713.00000
2011,713.00000
2063,713.00000
2111,713.00000
2161,713.00000
2210,713.00000
2261,713.00000
2311,713.00000
2361,713.00000
2412,713.00000
2463,713.00000
2511,713.00000
2564,713.00000
2612,713.00000
2662,713.00000
2711,713.00000
2769,713.00000
2811,713.00000
2863,713.00000
2911,713.00000
2961,713.00000
3011,713.00000
3061,713.00000
3112,713.00000
3161,713.00000
3211,713.00000
3261,713.00000
3312,713.00000
3361,713.00000
3414,713.00000
3461,713.00000
3511,713.00000
3562,713.00000
3611,713.00000
3662,713.00000
3711,713.00000
3761,713.00000
3820,713.00000
3861,705.00000
3912,705.00000
3962,705.00000
4011,705.00000
4064,715.00000
4112,715.00000
4162,715.00000
4211,715.00000
4266,708.00000
4313,708.00000
4363,708.00000
4412,708.00000
4462,716.00000
4511,716.00000
4563,716.00000
4612,716.00000
4663,716.00000
4712,716.00000
4762,716.00000
4818,716.00000
4862,716.00000
4911,716.00000
4963,716.00000
5012,716.00000
5061,716.00000
5112,709.00000
5162,709.00000
5213,709.00000
5262,709.00000
5312,709.00000
5363,709.00000
5412,709.00000
5461,709.00000
5512,709.00000
5562,715.00000
5612,715.00000
5661,715.00000
5711,715.00000
5762,729.00000
5816,729.00000
5861,729.00000
5911,729.00000
5962,692.00000
6011,692.00000
6061,692.00000
6111,692.00000
6163,720.00000
6211,720.00000
6261,720.00000
6311,720.00000
6362,700.00000
6412,700.00000
6463,700.00000
6513,700.00000
6562,736.00000
6611,736.00000
6661,736.00000
6711,736.00000
6762,733.00000
6812,733.00000
6874,733.00000
6911,733.00000
6962,728.00000
7012,728.00000
7061,728.00000
7112,728.00000
7162,728.00000
7213,728.00000
7262,738.00000
7313,738.00000
7364,738.00000
7412,738.00000
7463,715.00000
7514,715.00000
7562,715.00000
7612,715.00000
7661,736.00000
7711,736.00000
7761,736.00000
7812,736.00000
7869,736.00000
7911,668.00000
7961,668.00000
8011,668.00000
8062,668.00000
8112,698.00000
