time,x,y,z
12,-118.62488,-91.86249,-144.25659
61,-120.95490,-91.77704,-145.60394
111,-120.30182,-92.05322,-145.99457
162,-120.33691,-92.65137,-143.95905
212,-119.90967,-92.55829,-144.08417
262,-120.19806,-91.05835,-145.05157
311,-120.54443,-90.44189,-145.02869
362,-120.25146,-91.36658,-144.51752
411,-120.06683,-91.81976,-144.08112
461,-120.04852,-91.17889,-144.35883
512,-120.11566,-89.96582,-145.04089
563,-119.96460,-90.16418,-144.34204
611,-120.55969,-89.35089,-145.01190
676,-120.27435,-89.11285,-144.39850
710,-120.32776,-88.68103,-145.67566
761,-121.76208,-86.90643,-146.36230
811,-121.63086,-85.35156,-146.24939
862,-121.01440,-83.90350,-146.15631
912,-121.18835,-83.26874,-145.77484
962,-121.15631,-83.02307,-145.93201
1012,-121.21887,-83.08563,-146.80328
1062,-121.30737,-82.51801,-146.56067
1111,-121.30280,-82.01752,-147.05963
1161,-121.81396,-81.23627,-146.62170
1211,-121.34857,-80.71136,-146.77887
1262,-121.78955,-80.56030,-146.80939
1312,-121.64459,-80.94330,-146.88416
1362,-121.92078,-80.96161,-146.68121
1411,-122.13745,-80.40314,-147.54028
1462,-122.84088,-80.20325,-147.18781
1511,-122.10541,-80.42908,-147.12372
1562,-122.07336,-80.49469,-146.70410
1611,-122.21527,-80.50079,-146.64917
1661,-122.57996,-80.41229,-146.31042
1718,-122.44110,-80.59540,-146.44470
1761,-123.25592,-80.03693,-146.85211
1814,-122.48993,-80.21088,-146.37604
1861,-122.18170,-80.29480,-146.80481
1912,-122.22443,-80.76477,-146.16699
1962,-121.94061,-80.79224,-146.27533
2011,-121.82312,-80.15137,-146.51184
2062,-122.21222,-80.00336,-146.49963
2111,-123.40393,-79.25873,-148.70300
2161,-122.42126,-80.18799,-146.10443
2210,-122.65472,-80.03693,-147.90497
2261,-121.97571,-80.26276,-146.63391
2311,-122.44263,-80.32379,-146.41724
2361,-122.39685,-80.00946,-147.04285
2412,-122.44110,-79.75159,-145.62378
2463,-122.41821,-79.84467,-145.98999
2511,-121.85211,-79.85992,-146.20667
2564,-121.92841,-80.41840,-146.02509
2611,-121.85974,-80.50842,-146.43860
2662,-121.89178,-80.13763,-146.13953
2711,-121.93909,-80.33142,-146.16852
2769,-122.50061,-80.39551,-146.54694
2810,-122.26410,-80.07355,-147.23206
2863,-121.32721,-80.26733,-146.39435
2911,-122.25342,-80.35889,-145.82367
2961,-122.87750,-79.79431,-146.28906
3010,-123.21014,-79.64325,-148.13232
3061,-122.63489,-80.02167,-146.33484
3111,-121.96503,-80.27191,-146.49506
3161,-122.78290,-80.02167,-146.37146
3211,-122.44568,-80.05524,-145.74127
3261,-122.12067,-80.11475,-145.94116
3311,-122.08405,-79.83093,-146.70410
3361,-122.27631,-79.72107,-146.65527
3413,-122.05353,-79.85992,-145.63904
3461,-121.79260,-80.13763,-146.09833
3511,-121.79413,-79.67377,-146.03882
3562,-121.44775,-79.75159,-145.96100
3611,-121.60797,-79.70276,-146.13953
3662,-122.34344,-79.13208,-146.13647
3711,-122.27020,-78.95508,-146.43097
3761,-122.74170,-78.77960,-146.87805
3820,-122.24884,-78.97034,-146.80176
3861,-122.87292,-79.29077,-147.43652
3912,-122.18170,-79.60358,-146.02051
3961,-122.29309,-79.40216,-146.16699
4011,-122.40448,-79.31366,-146.35162
4063,-122.35107,-79.39606,-145.65430
4112,-121.75903,-80.08575,-146.28906
4162,-122.21527,-79.80957,-145.86487
4211,-121.80786,-79.85840,-145.60852
4263,-121.74225,-79.82941,-146.03119
4313,-121.77124,-79.65546,-145.71686
4362,-122.07794,-79.14734,-145.82825
4412,-121.81396,-79.77753,-145.66040
4462,-122.26715,-80.00031,-145.94116
4511,-121.81244,-79.96674,-146.34094
4562,-121.72394,-80.26886,-145.86182
4612,-121.78650,-80.06592,-146.01135
4662,-121.99249,-79.98505,-145.49561
4711,-121.56525,-80.12390,-145.64972
4762,-121.57440,-80.00031,-145.75043
4818,-122.25952,-79.85229,-145.81299
4861,-122.59064,-79.62646,-147.61505
4911,-122.39532,-79.63257,-145.63599
4962,-122.04895,-79.90265,-145.59021
5011,-122.23358,-79.21600,-145.99915
5061,-122.38464,-78.94592,-146.00830
5111,-122.21375,-79.03900,-146.33636
5162,-122.36023,-79.11987,-145.71991
5212,-122.23663,-79.44641,-146.07544
5262,-121.67053,-78.96118,-146.18835
5312,-122.30377,-79.35638,-145.66040
5363,-122.18323,-79.02222,-146.57135
5412,-121.88110,-79.29993,-145.82825
5461,-122.06573,-79.34875,-145.72144
5511,-121.91010,-78.54309,-146.06476
5562,-121.61407,-79.35333,-145.51697
5612,-119.87152,-81.56128,-144.67773
5661,-116.80756,-88.23547,-141.93573
5711,-115.87372,-90.39307,-140.86761
5762,-114.21356,-91.68396,-140.96680
5815,-114.41193,-91.06750,-140.90729
5861,-115.87677,-88.22174,-143.10303
5911,-118.75610,-83.08563,-144.31305
5962,-120.92590,-78.80859,-145.91980
6011,-122.81952,-76.44501,-146.80786
6061,-123.23303,-76.47095,-146.50269
6111,-120.57495,-80.35583,-145.41473
6163,-117.24854,-85.91919,-143.50739
6211,-114.03809,-88.65204,-142.58118
6261,-112.75177,-91.31470,-141.45050
6311,-112.36115,-91.58325,-140.80658
6361,-112.56561,-90.76538,-141.45508
6412,-114.65912,-88.24463,-143.03589
6462,-116.68549,-84.77478,-144.17725
6512,-120.44830,-79.36859,-146.78802
6562,-121.61102,-77.92358,-147.14508
6611,-120.49103,-80.18799,-145.57037
6661,-117.17682,-84.50775,-144.21387
6711,-115.56549,-87.38403,-143.31970
6762,-113.71613,-89.36615,-142.31720
6812,-112.17194,-90.14893,-141.24451
6874,-111.73096,-89.75983,-141.11328
6911,-114.17542,-87.38403,-143.54095
6962,-115.78064,-85.01740,-143.79883
7011,-119.74792,-80.30243,-146.02356
7061,-122.90192,-77.88696,-146.23718
7112,-124.01581,-77.48260,-146.15326
7162,-123.88763,-78.62549,-145.94116
7212,-120.11261,-81.64673,-144.00940
7262,-115.85541,-86.65771,-143.16864
7312,-113.99078,-89.34937,-141.42303
7363,-111.91406,-90.77301,-141.16821
7412,-112.86926,-91.15143,-140.39154
7463,-113.16376,-90.53497,-140.97290
7514,-116.22925,-86.98425,-143.03131
7562,-119.37103,-83.91876,-144.26270
7611,-122.40906,-79.96979,-145.24078
7661,-123.25745,-79.31061,-145.42236
7711,-121.17767,-81.43158,-144.60907
7761,-117.08221,-86.12366,-143.91937
7811,-115.31982,-89.20135,-141.67786
7869,-113.25531,-92.39502,-139.95667
7911,-113.65814,-92.53998,-140.84778
7961,-114.33563,-91.28265,-140.57159
8011,-118.22205,-86.39526,-143.64777
8062,-122.27478,-81.58264,-144.39392
8112,-123.93036,-78.36304,-145.17059
8161,-124.47052,-79.29077,-145.44373
8211,-122.40906,-81.04706,-146.09070
8261,-118.55621,-83.34503,-146.89789
8311,-116.12396,-84.81140,-147.07794
8361,-111.10687,-86.21063,-146.39893
8411,-107.09381,-88.76648,-143.77289
8461,-104.63562,-92.64832,-142.76581
8511,-102.56958,-97.00775,-139.29596
8561,-105.08118,-98.76404,-137.54120
8611,-107.59888,-101.01471,-135.98175
8662,-113.00964,-100.31738,-135.56976
8710,-116.20026,-100.37689,-136.11603
8761,-121.92993,-99.58649,-135.41412
8811,-125.93231,-99.25232,-134.41162
