time,available,total
684,2591412224,6019244032
1719,2592473088,6019244032
2770,2622017536,6019244032
3821,2627915776,6019244032
4819,2627235840,6019244032
5817,2626568192,6019244032
6875,2622242816,6019244032
7870,2625814528,6019244032
8866,2624917504,6019244032
9879,2622771200,6019244032
10874,2621808640,6019244032
11880,2622525440,6019244032
12919,2622099456,6019244032
13918,2621448192,6019244032
14919,2621743104,6019244032
15918,2623328256,6019244032
16924,2623053824,6019244032
17976,2622197760,6019244032
18971,2621091840,6019244032
19966,2621902848,6019244032
