time,total received,total sent,mobile received,mobile sent
684,745726412,181943717,0,0
1719,745726412,181943717,0,0
2770,745726412,181943717,0,0
3821,745726412,181943717,0,0
4819,745726412,181943717,0,0
5818,745726412,181943717,0,0
6876,745726412,181943717,0,0
7870,745726412,181943717,0,0
8866,745726412,181944154,0,0
9879,745726725,181944194,0,0
10874,745726725,181944194,0,0
11880,745726725,181944194,0,0
12920,745726725,181944194,0,0
13918,745726725,181944194,0,0
14919,745726725,181944194,0,0
15918,745726725,181944194,0,0
16925,745726725,181944194,0,0
17977,745726725,181944194,0,0
18971,745726725,181944194,0,0
19966,745726725,181944194,0,0
