time,distance
12,5.00031
61,5.00031
111,5.00031
162,5.00031
212,5.00031
263,5.00031
312,5.00031
362,5.00031
411,5.00031
461,5.00031
512,5.00031
563,5.00031
611,5.00031
678,5.00031
711,5.00031
761,5.00031
812,5.00031
862,5.00031
912,5.00031
963,5.00031
1012,5.00031
1062,5.00031
1112,5.00031
1161,5.00031
1211,5.00031
1263,5.00031
1312,5.00031
1363,5.00031
1411,5.00031
1462,5.00031
1512,5.00031
1563,5.00031
1611,5.00031
1661,5.00031
1718,5.00031
1762,5.00031
1815,5.00031
1861,5.00031
1912,5.00031
1962,5.00031
2011,5.00031
2063,5.00031
2112,5.00031
2161,5.00031
2211,5.00031
2262,5.00031
2311,5.00031
2361,5.00031
2412,5.00031
2463,5.00031
2511,5.00031
2564,5.00031
2612,5.00031
2662,5.00031
2711,5.00031
2769,5.00031
2811,5.00031
2863,5.00031
2911,5.00031
2962,5.00031
3011,5.00031
3061,5.00031
3112,5.00031
3161,5.00031
3211,5.00031
3261,5.00031
3312,5.00031
3361,5.00031
3414,5.00031
3461,5.00031
3511,5.00031
3562,5.00031
3611,5.00031
3662,5.00031
3711,5.00031
3761,5.00031
3820,5.00031
3861,5.00031
3912,5.00031
3962,5.00031
4011,5.00031
4064,5.00031
4113,5.00031
4162,5.00031
4211,5.00031
4266,5.00031
4313,5.00031
4363,5.00031
4412,5.00031
4462,5.00031
4511,5.00031
4563,5.00031
4612,5.00031
4663,5.00031
4712,5.00031
4762,5.00031
4818,5.00031
4862,5.00031
4911,5.00031
4963,5.00031
5012,5.00031
5061,5.00031
5112,5.00031
5162,5.00031
5213,5.00031
5262,5.00031
5312,5.00031
5363,5.00031
5413,5.00031
5461,5.00031
5512,5.00031
5562,5.00031
5612,5.00031
5661,5.00031
5711,5.00031
5762,5.00031
5816,5.00031
5861,5.00031
5911,5.00031
5962,5.00031
6012,5.00031
6062,5.00031
6111,5.00031
6163,5.00031
6211,5.00031
6262,5.00031
6311,5.00031
6362,5.00031
6412,5.00031
6463,5.00031
6513,5.00031
6562,5.00031
6611,5.00031
6661,5.00031
6711,5.00031
6763,5.00031
6812,5.00031
6875,5.00031
6911,5.00031
6962,5.00031
7012,5.00031
7061,5.00031
7112,5.00031
7162,5.00031
7213,5.00031
7262,5.00031
7313,5.00031
7364,5.00031
7412,5.00031
7464,5.00031
7514,5.00031
7562,5.00031
7612,5.00031
7661,5.00031
7711,5.00031
7761,5.00031
7812,5.00031
7869,5.00031
7911,5.00031
7961,5.00031
8011,5.00031
8062,5.00031
8112,5.00031
8162,5.00031
8211,5.00031
8261,5.00031
8311,5.00031
8361,5.00031
8411,5.00031
8461,5.00031
8511,5.00031
8562,5.00031
8612,5.00031
8662,5.00031
8710,5.00031
8762,5.00031
8811,5.00031
8865,5.00031
8911,5.00031
8962,5.00031
9012,5.00031
9062,5.00031
9112,5.00031
9163,5.00031
9212,5.00031
9262,5.00031
9312,5.00031
9362,5.00031
9413,5.00031
9462,5.00031
9512,5.00031
9561,5.00031
9612,5.00031
9662,5.00031
9712,5.00031
9763,5.00031
9812,5.00031
9877,5.00031
9912,5.00031
9962,5.00031
10011,5.00031
10063,5.00031
10111,5.00031
10161,5.00031
10212,5.00031
10262,5.00031
10312,5.00031
10361,5.00031
10412,5.00031
10461,5.00031
10511,5.00031
10561,5.00031
10611,5.00031
10662,5.00031
10712,5.00031
10762,5.00031
10812,5.00031
10874,5.00031
10911,5.00031
10961,5.00031
11011,5.00031
11061,5.00031
11111,5.00031
11162,5.00031
11212,5.00031
11262,5.00031
11312,5.00031
11362,5.00031
11412,5.00031
11461,5.00031
11513,5.00031
11561,5.00031
11611,5.00031
11663,5.00031
11712,5.00031
11762,5.00031
11811,5.00031
11879,5.00031
11911,5.00031
11961,5.00031
12011,5.00031
12062,5.00031
12112,5.00031
12161,5.00031
12211,5.00031
12261,5.00031
12312,5.00031
12361,5.00031
12411,5.00031
12462,5.00031
12511,5.00031
12561,5.00031
12612,5.00031
12661,5.00031
12711,5.00031
12763,5.00031
12811,5.00031
12861,5.00031
12919,5.00031
12961,5.00031
13011,5.00031
13062,5.00031
13112,5.00031
13161,5.00031
13211,5.00031
13263,5.00031
13311,5.00031
13363,5.00031
13411,5.00031
13461,5.00031
13512,5.00031
13561,5.00031
13613,5.00031
13662,5.00031
13711,5.00031
13761,5.00031
13812,5.00031
13862,5.00031
13917,5.00031
13961,5.00031
14011,5.00031
14062,5.00031
14114,5.00031
14161,5.00031
14211,5.00031
14262,5.00031
14311,5.00031
14361,5.00031
14412,5.00031
14461,5.00031
14512,5.00031
14562,5.00031
14614,5.00031
14661,5.00031
14711,5.00031
14761,5.00031
14812,5.00031
14861,5.00031
14918,5.00031
14961,5.00031
15011,5.00031
15062,5.00031
15113,5.00031
15162,5.00031
15212,5.00031
15263,5.00031
15310,5.00031
15361,5.00031
15412,5.00031
15461,5.00031
15511,5.00031
15562,5.00031
15611,5.00031
15662,5.00031
15711,5.00031
15761,5.00031
15811,5.00031
15861,5.00031
15918,5.00031
15961,5.00031
16010,5.00031
16061,5.00031
16111,5.00031
16161,5.00031
16211,5.00031
16262,5.00031
16312,5.00031
16361,5.00031
16412,5.00031
16461,5.00031
16511,5.00031
16562,5.00031
16612,5.00031
16662,5.00031
16711,5.00031
16762,5.00031
16812,5.00031
16861,5.00031
16923,5.00031
16960,5.00031
17011,5.00031
17062,5.00031
17112,5.00031
17161,5.00031
17212,5.00031
17262,5.00031
17312,5.00031
17362,5.00031
17411,5.00031
17462,5.00031
17511,5.00031
17562,5.00031
17611,5.00031
17661,5.00031
17712,5.00031
17761,5.00031
17811,5.00031
17862,5.00031
17911,5.00031
17971,5.00031
18010,5.00031
18062,5.00031
18111,5.00031
18163,5.00031
18212,5.00031
18262,5.00031
18312,5.00031
18362,5.00031
18411,5.00031
18469,5.00031
18512,5.00031
18562,5.00031
18611,5.00031
18662,5.00031
18711,5.00031
18762,5.00031
18813,5.00031
18862,5.00031
18912,5.00031
18970,5.00031
19011,5.00031
19061,5.00031
19112,5.00031
19162,5.00031
19212,5.00031
19261,5.00031
19311,5.00031
19363,5.00031
19412,5.00031
19462,5.00031
19511,5.00031
19562,5.00031
19611,5.00031
19663,5.00031
19712,5.00031
19761,5.00031
19811,5.00031
19862,5.00031
19912,5.00031
19966,5.00031
20011,5.00031
20062,5.00031
20111,5.00031
20162,5.00031
20211,5.00031
20261,5.00031
20311,5.00031
20361,5.00031
20411,5.00031
