time,dB(SPL)
12,28.62728
61,25.10545
111,28.29947
162,33.97940
212,26.02060
262,27.60422
311,27.95880
361,33.97940
410,30.62958
461,25.57507
512,26.02060
563,30.10300
611,20.82785
675,26.02060
710,28.29947
761,28.29947
811,24.08240
861,32.25568
911,36.52150
962,34.32007
1011,36.25827
1062,33.44196
1111,30.10300
1161,36.39088
1211,32.86905
1262,34.80725
1312,34.80725
1362,32.25568
1411,35.26856
1462,36.12360
1511,34.48552
1562,34.48552
1611,33.06425
1661,28.94316
1718,32.04120
1761,33.44196
1812,30.88136
1861,38.06180
1911,41.65571
1962,37.95254
2011,40.82785
2062,42.14420
2111,39.82452
2161,40.42379
2210,42.47703
2261,33.25516
2311,40.42379
2361,39.55447
2412,30.37028
2463,28.29947
2511,25.10545
2563,28.29947
2611,27.95880
2661,31.82129
2711,31.59567
2769,33.80392
2810,37.02517
2862,38.98780
2911,44.34968
2961,45.48316
3010,43.40523
3061,32.46499
3111,33.44196
3161,32.46499
3211,27.23456
3261,31.59567
3311,32.66937
3361,27.60422
3412,29.24796
3461,30.88136
3511,44.86076
3562,41.43764
3611,40.00000
3662,37.38463
3711,37.61627
3761,36.12360
3820,31.36403
3861,34.64788
3911,35.70660
3961,31.12605
4011,29.24796
4063,29.82723
4112,29.54243
4162,28.62728
4211,27.23456
4263,25.57507
4313,31.12605
4362,33.97940
4412,32.66937
4461,32.46499
4511,35.98681
4562,36.90196
4612,36.90196
4662,34.64788
4711,35.56303
4762,34.48552
4818,32.86905
4861,30.88136
4911,33.62482
4962,32.66937
5011,33.06425
5061,32.25568
5111,28.94316
5161,26.84845
5212,35.41704
5262,31.82129
5312,31.36403
5363,34.64788
5412,29.24796
5461,35.11750
5511,35.56303
5562,44.71057
5612,47.88903
5661,50.15712
5711,47.19671
5762,48.84960
5815,47.42136
5861,48.43208
5911,47.15870
5962,44.29688
6011,43.34635
6061,45.57507
6111,48.06241
6163,46.36127
6211,48.53023
6261,49.82723
6311,47.30976
6361,46.68908
6411,44.45433
6462,37.38463
6512,48.16480
6562,47.38432
6610,46.52672
6661,37.26646
6711,44.13652
6762,41.58362
6811,41.28916
6874,43.91799
6911,40.98436
6961,37.14665
7011,40.90646
7061,44.08240
7112,44.08240
7161,40.17200
7212,37.72981
7262,27.23456
7312,30.88136
7363,43.40523
7412,46.72919
7463,45.29636
7514,42.86030
7561,47.78332
7611,43.97314
7661,38.06180
7711,37.61627
7761,34.80725
7811,33.62482
7869,40.98436
7911,45.88932
7961,46.23508
8011,45.66602
8061,46.52672
8112,47.34712
8161,41.65571
8211,38.88965
8261,37.02517
8311,38.88965
8361,37.61627
8411,47.99347
8461,45.93330
8511,48.69138
8561,48.46492
8611,49.15764
8662,44.29688
8710,44.91025
8761,48.39911
8811,47.67631
8865,47.04365
8911,51.05336
8962,49.54243
9011,61.13047
9061,61.25164
